#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 40 (Div. 2),Nov/08/2010 19:00,13,4,197,1697,Expert
2,Codeforces Beta Round 41,Nov/18/2010 19:00,239,1,-73,1624,Expert
3,Codeforces Beta Round 50,Jan/11/2011 11:15,59,3,137,1761,Expert
4,Codeforces Beta Round 51,Jan/14/2011 11:00,104,3,43,1804,Expert
5,Codeforces Beta Round 53,Jan/25/2011 19:00,95,3,59,1863,Expert
6,Codeforces Beta Round 56,Feb/19/2011 19:00,144,2,-31,1832,Expert
7,Manthan 2011,Mar/13/2011 19:30,145,2,34,1866,Expert
8,Codeforces Beta Round 62,Mar/18/2011 19:00,480,1,-133,1733,Expert
9,Codeforces Beta Round 71,Apr/30/2011 19:00,4,3,217,1950,Candidate Master
10,Yandex.Algorithm Open 2011: Qualification 1,May/04/2011 09:00,216,3,-57,1893,Expert
11,Yandex.Algorithm 2011: Round 1,May/20/2011 19:00,142,3,127,2020,Candidate Master
12,Yandex.Algorithm 2011: Round 2,May/22/2011 19:10,265,0,-86,1934,Candidate Master
13,Codeforces Beta Round 73 (Div. 1 Only),Jun/07/2011 19:00,113,2,28,1962,Candidate Master
14,Codeforces Beta Round 74 (Div. 1 Only),Jun/16/2011 19:00,234,1,-78,1884,Expert
15,Yandex.Algorithm 2011: Finals,Jul/15/2011 16:00,67,0,-8,1876,Expert
16,Codeforces Beta Round 81,Aug/13/2011 19:00,157,2,37,1913,Candidate Master
17,Codeforces Beta Round 83 (Div. 1 Only),Aug/23/2011 19:00,322,1,-62,1851,Expert
18,Codeforces Beta Round 84 (Div. 1 Only),Aug/29/2011 20:00,70,3,118,1969,Candidate Master
19,Codeforces Beta Round 87 (Div. 1 Only),Sep/15/2011 19:00,106,2,52,2021,Candidate Master
20,Codeforces Beta Round 88,Sep/23/2011 19:00,31,3,112,2133,Master
21,"School Regional Team Contest, Saratov, 2011",Oct/18/2011 10:30,66,9,-41,2092,Candidate Master
22,Codeforces Beta Round 91 (Div. 1 Only),Oct/27/2011 19:00,99,3,2,2094,Candidate Master
23,Codeforces Beta Round 92 (Div. 1 Only),Nov/03/2011 19:10,158,2,-46,2048,Candidate Master
24,Codeforces Beta Round 94 (Div. 1 Only),Nov/15/2011 10:10,121,2,-18,2030,Candidate Master
25,Codeforces Beta Round 97 (Div. 1),Dec/09/2011 19:05,87,3,51,2081,Candidate Master
26,Codeforces Round 100,Jan/04/2012 19:00,136,3,62,2143,Master
27,Codeforces Round 102 (Div. 1),Jan/12/2012 19:05,250,1,-69,2074,Candidate Master
28,Codeforces Round 104 (Div. 1),Jan/22/2012 11:00,72,2,37,2111,Master
29,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,44,3,86,2197,Master
30,Codeforces Round 109 (Div. 1),Feb/24/2012 19:00,323,1,-89,2108,Master
31,Codeforces Round 110 (Div. 1),Feb/29/2012 21:30,281,1,-75,2033,Candidate Master
32,VK Cup 2012 Round 1,Mar/11/2012 19:05,37,4,174,2207,Master
33,VK Cup 2012 Round 2,Mar/25/2012 19:05,103,2,27,2234,Master
34,Codeforces Round 114 (Div. 1),Mar/27/2012 19:00,163,2,-83,2151,Master
35,Croc Champ 2012 - Round 1,Apr/06/2012 19:00,19,3,95,2246,Master
36,VK Cup 2012 Round 3,Apr/08/2012 19:05,69,2,15,2261,Master
37,Codeforces Round 115,Apr/14/2012 12:00,219,2,-113,2148,Master
38,Croc Champ 2012 - Round 2,Apr/20/2012 19:05,74,3,-5,2143,Master
39,ABBYY Cup 2.0 - Hard,Apr/28/2012 16:00,138,10,-65,2078,Candidate Master
40,Codeforces Round 122 (Div. 1),Jun/03/2012 19:30,42,1,55,2133,Master
41,Codeforces Round 124 (Div. 1),Jun/12/2012 17:00,145,1,-54,2079,Candidate Master
42,Codeforces Round 131 (Div. 1),Jul/30/2012 19:30,198,1,-74,2005,Candidate Master
43,Codeforces Round 136 (Div. 1),Aug/31/2012 19:30,294,1,-71,1934,Candidate Master
44,Codeforces Round 138 (Div. 1),Sep/16/2012 19:30,68,3,81,2015,Candidate Master
45,Codeforces Round 144 (Div. 1),Oct/11/2012 19:30,130,1,-25,1990,Candidate Master
46,Codeforces Round 146 (Div. 1),Oct/21/2012 11:10,205,1,-55,1935,Candidate Master
47,Codeforces Round 148 (Div. 1),Nov/04/2012 20:00,72,2,60,1995,Candidate Master
48,Codeforces Round 156 (Div. 1),Dec/16/2012 19:30,301,1,-73,1922,Candidate Master
49,Codeforces Round 160 (Div. 1),Jan/13/2013 19:30,120,2,47,1969,Candidate Master
50,Codeforces Round 162 (Div. 1),Jan/20/2013 17:00,90,3,90,2059,Candidate Master
51,Codeforces Round 165 (Div. 1),Feb/01/2013 19:30,106,3,49,2108,Master
52,Codeforces Round 168 (Div. 1),Feb/20/2013 19:30,34,3,86,2194,Master
53,Codeforces Round 170 (Div. 1),Feb/28/2013 19:30,181,1,-62,2132,Master
54,Codeforces Round 172 (Div. 1),Mar/10/2013 19:30,142,1,-45,2087,Candidate Master
55,Codeforces Round 174 (Div. 1),Mar/17/2013 19:30,126,2,8,2095,Candidate Master
56,Codeforces Round 176 (Div. 1),Mar/23/2013 12:00,190,1,-54,2041,Candidate Master
57,Codeforces Round 179 (Div. 1),Apr/11/2013 19:30,32,4,129,2170,Master
58,Croc Champ 2013 - Round 1,Apr/15/2013 19:35,43,5,114,2284,Master
59,Codeforces Round 180 (Div. 1),Apr/19/2013 19:30,22,3,72,2356,International Master
60,Croc Champ 2013 - Round 2,Apr/22/2013 19:35,104,2,-41,2315,International Master
61,Codeforces Round 183 (Div. 1),May/12/2013 17:00,391,1,-98,2217,Master
62,Codeforces Round 187 (Div. 1),Jun/07/2013 19:30,92,2,-12,2205,Master
63,ABBYY Cup 3.0,Jun/12/2013 17:00,251,7,-71,2134,Master
64,Codeforces Round 188 (Div. 1),Jun/14/2013 19:30,129,2,12,2146,Master
65,Codeforces Round 189 (Div. 1),Jun/23/2013 17:00,80,2,33,2179,Master
66,MemSQL start[c]up Round 1,Jul/13/2013 21:00,774,0,-99,2080,Candidate Master
67,Codeforces Round 192 (Div. 1),Jul/20/2013 17:30,409,1,-96,1984,Candidate Master
68,Codeforces Round 194 (Div. 1),Jul/27/2013 12:30,128,2,53,2037,Candidate Master
69,MemSQL start[c]up Round 2 - online version,Aug/03/2013 21:00,21,4,114,2151,Master
70,Codeforces Round 200 (Div. 1),Sep/14/2013 19:30,112,3,8,2159,Master
71,Codeforces Round 202 (Div. 1),Sep/27/2013 19:30,150,1,-49,2110,Master
72,Codeforces Round 204 (Div. 1),Oct/04/2013 19:30,456,0,-102,2008,Candidate Master
73,Codeforces Round 206 (Div. 1),Oct/13/2013 19:30,87,2,91,2099,Candidate Master
74,Codeforces Round 210 (Div. 1),Nov/10/2013 21:00,52,1,55,2154,Master
75,Codeforces Round 213 (Div. 1),Nov/19/2013 19:30,203,1,-64,2090,Candidate Master
76,Codeforces Round 219 (Div. 1),Dec/13/2013 18:00,101,3,61,2151,Master
77,Good Bye 2013,Dec/30/2013 19:30,55,5,100,2251,Master
78,Codeforces Round 223 (Div. 1),Jan/12/2014 19:30,231,2,-79,2172,Master
79,Codeforces Round 225 (Div. 1),Jan/20/2014 19:30,119,2,6,2178,Master
80,Codeforces Round 228 (Div. 1),Feb/03/2014 19:40,257,2,-66,2112,Master
81,Codeforces Round 236 (Div. 1),Mar/16/2014 19:30,119,2,19,2131,Master
82,Codeforces Round 238 (Div. 1),Mar/22/2014 19:30,151,3,-20,2111,Master
83,Codeforces Round 240 (Div. 1),Apr/06/2014 19:40,68,4,98,2209,Master
84,RCC 2014 Warmup (Div. 1),Apr/17/2014 19:40,86,2,7,2216,Master
85,Codeforces Round 243 (Div. 1),Apr/27/2014 19:30,59,2,51,2267,Master
86,Codeforces Round 245 (Div. 1),May/11/2014 19:40,533,1,-103,2164,Master
87,Codeforces Round 250 (Div. 1),Jun/01/2014 17:00,192,2,-48,2116,Master
88,Zepto Code Rush 2014,Jun/13/2014 19:30,99,3,116,2232,Master
89,Codeforces Round 263 (Div. 1),Aug/26/2014 18:00,349,2,-91,2141,Master
90,Codeforces Round 265 (Div. 1),Sep/07/2014 19:30,182,2,1,2142,Master
91,Codeforces Round 270,Sep/28/2014 19:35,107,4,104,2246,Master
92,Bayan 2015 Contest Warm Up,Oct/05/2014 17:00,281,3,-85,2161,Master
93,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,47,3,119,2280,Master
94,Codeforces Round 278 (Div. 1),Nov/21/2014 20:20,249,1,-83,2197,Master
95,Codeforces Round 290 (Div. 1),Feb/02/2015 19:30,74,3,109,2306,International Master
96,Rockethon 2015,Feb/07/2015 20:00,114,7,44,2350,International Master
97,Codeforces Round 292 (Div. 1),Feb/17/2015 19:35,220,2,-77,2273,Master
98,Codeforces Round 296 (Div. 1),Mar/17/2015 19:45,80,3,66,2339,International Master
99,ZeptoLab Code Rush 2015,Apr/04/2015 19:35,166,4,8,2347,International Master
100,Codeforces Round 299 (Div. 1),Apr/14/2015 19:35,106,2,-14,2333,International Master
101,"VK Cup 2015 - Round 2 (unofficial online mirror, Div. 1 only)",Apr/17/2015 19:00,144,3,-69,2264,Master
102,"VK Cup 2015 - Round 3 (unofficial online mirror, Div. 1 only)",May/03/2015 19:00,61,2,32,2296,Master
103,Codeforces Round 302 (Div. 1),May/07/2015 19:30,141,2,-18,2278,Master
104,Codeforces Round 305 (Div. 1),May/26/2015 19:35,255,1,-69,2209,Master
105,Codeforces Round 313 (Div. 1),Jul/22/2015 17:00,289,2,-62,2147,Master
106,Codeforces Round 315 (Div. 1),Aug/10/2015 19:30,73,2,113,2260,Master
107,Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 1),Aug/29/2015 19:30,99,3,73,2333,International Master
108,Codeforces Round 319 (Div. 1),Sep/10/2015 19:30,423,1,-113,2220,Master
109,Codeforces Round 325 (Div. 1),Oct/12/2015 12:10,94,3,16,2236,Master
110,Codeforces Round 326 (Div. 1),Oct/15/2015 19:30,207,2,-23,2213,Master
111,Codeforces Round 333 (Div. 1),Nov/24/2015 19:35,51,3,83,2296,Master
112,Codeforces Round 334 (Div. 1),Dec/01/2015 18:35,216,2,-56,2240,Master
113,Codeforces Round 335 (Div. 1),Dec/09/2015 19:05,49,3,72,2312,International Master
114,Codeforces Round 336 (Div. 1),Dec/23/2015 19:35,273,2,-77,2235,Master
115,Good Bye 2015,Dec/30/2015 18:05,347,4,-19,2216,Master
116,Wunder Fund Round 2016 (Div. 1 + Div. 2 combined),Jan/29/2016 20:10,1264,2,-128,2088,Candidate Master
117,8VC Venture Cup 2016 - Elimination Round,Feb/13/2016 20:35,167,5,65,2153,Master
118,"Manthan, Codefest 16",Feb/26/2016 20:15,44,5,121,2274,Master
119,VK Cup 2016 - Round 1 (Div.1 Edition),Mar/28/2016 19:35,28,3,92,2366,International Master
120,Codeforces Round 349 (Div. 1),Apr/29/2016 19:35,34,3,68,2434,Grandmaster
121,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,134,2,-51,2383,International Master
