#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 598 (Div. 3),Nov/04/2019 16:15,5723,0,-128,1372,Pupil
2,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,4424,1,-84,1288,Pupil
3,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,3370,1,-18,1270,Pupil
4,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,4062,1,-32,1238,Pupil
5,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,4327,1,31,1269,Pupil
6,Codeforces Round 617 (Div. 3),Feb/04/2020 17:35,7714,1,-65,1204,Pupil
7,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,2462,3,121,1325,Pupil
8,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,2560,2,64,1389,Pupil
9,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,5207,2,-40,1349,Pupil
10,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,1124,3,122,1471,Specialist
11,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,1780,3,82,1553,Specialist
12,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,2330,2,-39,1514,Specialist
13,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,1290,4,65,1579,Specialist
14,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,1408,4,51,1630,Expert
15,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,3218,3,-4,1626,Expert
16,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,430,5,143,1769,Expert
17,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1183,3,13,1782,Expert
18,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,1646,3,9,1791,Expert
19,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,1505,4,16,1807,Expert
20,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,594,4,46,1853,Expert
21,Codeforces Round 638 (Div. 2),May/01/2020 17:35,849,4,36,1889,Expert
22,Codeforces Round 641 (Div. 2),May/12/2020 15:35,112,4,99,1988,Candidate Master
23,Codeforces Round 645 (Div. 2),May/26/2020 17:35,1110,4,-22,1966,Candidate Master
24,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,884,4,-4,1962,Candidate Master
25,Codeforces Round 646 (Div. 2),May/31/2020 17:35,1567,3,-28,1934,Candidate Master
26,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,705,2,16,1950,Candidate Master
27,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,280,6,70,2020,Candidate Master
28,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,195,5,62,2082,Candidate Master
29,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,494,3,1,2083,Candidate Master
30,Codeforces Global Round 8,Jun/18/2020 17:45,839,4,15,2098,Candidate Master
31,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,333,5,12,2110,Master
32,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,750,3,-24,2086,Candidate Master
33,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,557,2,13,2099,Candidate Master
34,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,1759,3,-76,2023,Candidate Master
35,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,1018,3,-32,1991,Candidate Master
36,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,222,4,60,2051,Candidate Master
37,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,98,4,82,2133,Master
38,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,684,2,-19,2114,Master
39,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,1019,1,-85,2029,Candidate Master
40,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,146,4,76,2105,Master
41,Codeforces Global Round 11,Oct/10/2020 17:50,869,4,-3,2102,Master
42,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,3186,3,-134,1968,Candidate Master
43,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,301,4,29,1997,Candidate Master
44,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,56,4,107,2104,Master
45,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,842,1,-85,2019,Candidate Master
46,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,451,2,29,2048,Candidate Master
47,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,486,3,10,2058,Candidate Master
48,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,739,2,-53,2005,Candidate Master
49,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,33,5,135,2140,Master
50,Codeforces Global Round 12,Dec/06/2020 17:35,1347,3,-64,2076,Candidate Master
51,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,138,5,38,2114,Master
52,Good Bye 2020,Dec/30/2020 17:35,1035,6,-6,2108,Master
53,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,322,3,50,2158,Master
54,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,848,1,-64,2094,Candidate Master
55,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,5833,2,-179,1915,Candidate Master
56,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,178,5,90,2005,Candidate Master
57,Codeforces Global Round 13,Feb/28/2021 16:35,1153,4,2,2007,Candidate Master
58,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,510,3,1,2008,Candidate Master
59,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,1996,3,-100,1908,Candidate Master
60,Codeforces Round 721 (Div. 2),May/20/2021 17:35,604,4,14,1922,Candidate Master
61,Codeforces Round 722 (Div. 1),May/24/2021 17:35,395,3,91,2013,Candidate Master
62,Codeforces Round 723 (Div. 2),May/28/2021 17:05,752,4,-28,1985,Candidate Master
63,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,353,3,103,2088,Candidate Master
64,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,253,4,11,2099,Candidate Master
65,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,91,5,59,2158,Master
66,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,481,4,11,2169,Master
67,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,691,1,-91,2078,Candidate Master
68,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,616,4,-34,2044,Candidate Master
69,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,219,2,113,2157,Master
70,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,591,5,1,2158,Master
71,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,196,6,87,2245,Master
72,Codeforces Global Round 15,Jul/25/2021 17:35,1096,4,-65,2180,Master
73,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,456,3,8,2188,Master
74,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,250,3,52,2240,Master
75,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,576,5,-9,2231,Master
76,Codeforces Global Round 16,Sep/12/2021 17:35,865,6,-42,2189,Master
77,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,150,6,100,2289,Master
78,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,183,3,19,2308,International Master
79,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,388,3,-12,2296,Master
80,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,138,3,44,2340,International Master
81,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,250,5,26,2366,International Master
82,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,487,3,-58,2308,International Master
83,Codeforces Global Round 18,Dec/24/2021 17:35,487,4,-18,2290,Master
84,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,944,4,-56,2234,Master
85,Hello 2022,Jan/03/2022 17:35,974,4,-49,2185,Master
86,Codeforces Global Round 19,Feb/12/2022 17:35,338,5,50,2235,Master
87,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,362,3,-8,2227,Master
88,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,381,2,-7,2220,Master
89,Codeforces Global Round 20,Apr/23/2022 17:05,934,5,-58,2162,Master
90,Codeforces Round 789 (Div. 1),May/08/2022 17:35,140,4,109,2271,Master
91,Codeforces Round 794 (Div. 1),May/25/2022 20:35,195,2,8,2279,Master
92,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,782,1,-109,2170,Master
93,Codeforces Global Round 22,Sep/30/2022 17:35,335,5,49,2219,Master
94,Dytechlab Cup 2022,Oct/07/2022 17:35,1094,3,-83,2136,Master
95,Codeforces Global Round 23,Oct/15/2022 17:35,726,4,0,2136,Master
96,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,588,4,-26,2110,Master
97,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,197,5,73,2183,Master
98,Codeforces Global Round 24,Nov/26/2022 17:05,530,4,-14,2169,Master
99,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,280,5,90,2259,Master
