#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 355 (Div. 2),Jun/01/2016 19:35,2595,1,-78,1422,Specialist
2,Codeforces Round 379 (Div. 2),Nov/15/2016 19:35,2474,2,-43,1379,Pupil
3,"Codeforces Round 380 (Div. 2, Rated, Based on Technocup 2017 - Elimination Round 2)",Nov/20/2016 12:05,1634,1,-48,1331,Pupil
4,"Codeforces Round 423 (Div. 2, rated, based on VK Cup Finals)",Jul/11/2017 19:45,394,2,150,1481,Specialist
5,Codeforces Round 429 (Div. 2),Aug/18/2017 18:05,1186,3,27,1508,Specialist
6,Codeforces Round 430 (Div. 2),Aug/29/2017 18:05,748,2,60,1568,Specialist
7,Codeforces Round 431 (Div. 2),Sep/01/2017 16:35,1046,2,4,1572,Specialist
8,"Codeforces Round 432 (Div. 2, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,2250,1,-63,1509,Specialist
9,Codeforces Round 446 (Div. 2),Nov/17/2017 17:35,810,3,38,1547,Specialist
10,Educational Codeforces Round 33 (Rated for Div. 2),Nov/23/2017 18:05,1561,3,-44,1503,Specialist
11,Codeforces Round 453 (Div. 2),Dec/19/2017 18:35,1375,2,2,1505,Specialist
12,Технокубок 2018 - Отборочный Раунд 4,Dec/23/2017 17:05,105,3,86,1591,Specialist
13,Educational Codeforces Round 35 (Rated for Div. 2),Dec/28/2017 17:05,628,3,28,1619,Expert
14,Good Bye 2017,Dec/29/2017 18:40,1784,3,19,1638,Expert
15,Codeforces Round 456 (Div. 2),Jan/05/2018 17:35,267,2,79,1717,Expert
16,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,652,3,51,1768,Expert
17,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,1017,2,-49,1719,Expert
18,Codeforces Round 465 (Div. 2),Feb/19/2018 19:35,1168,2,-41,1678,Expert
19,Codeforces Round 466 (Div. 2),Feb/24/2018 12:35,35,5,169,1847,Expert
