#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,2282,3,527,527,Newbie
2,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,7185,2,250,777,Newbie
3,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,3939,3,235,1012,Newbie
4,Technocup 2021 - Elimination Round 2,Nov/29/2020 10:05,156,3,266,1278,Pupil
5,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,353,6,206,1484,Specialist
6,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,1968,2,43,1527,Specialist
7,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,2822,2,-4,1523,Specialist
8,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,3651,2,-9,1514,Specialist
9,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,7254,1,-94,1420,Specialist
10,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,3957,1,-9,1411,Specialist
11,Технокубок 2021 - Финал,Mar/21/2021 13:20,587,2,-19,1392,Pupil
12,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,7172,1,-96,1296,Pupil
13,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,6107,2,-34,1262,Pupil
14,Codeforces Round 715 (Div. 2),Apr/16/2021 17:35,7978,1,-74,1188,Newbie
15,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,2264,3,114,1302,Pupil
16,Codeforces Round 719 (Div. 3),May/05/2021 17:35,6399,3,-33,1269,Pupil
17,Codeforces Round 721 (Div. 2),May/20/2021 17:35,2670,2,82,1351,Pupil
18,Codeforces Round 723 (Div. 2),May/28/2021 17:05,728,4,160,1511,Specialist
19,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,3227,2,-4,1507,Specialist
20,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,6206,2,-65,1442,Specialist
21,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,1346,3,78,1520,Specialist
22,Codeforces Round 725 (Div. 3),Jun/10/2021 17:35,7,7,306,1826,Expert
23,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,3230,3,-71,1755,Expert
24,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,2677,3,-70,1685,Expert
25,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,246,3,93,1778,Expert
26,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,6607,1,-145,1633,Expert
27,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,2722,2,-25,1608,Expert
28,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,447,3,121,1729,Expert
29,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,6484,2,-127,1602,Expert
30,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,1039,3,59,1661,Expert
31,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,9809,0,-177,1484,Specialist
32,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,12225,1,-137,1347,Pupil
33,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,787,5,94,1441,Specialist
34,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,875,3,113,1554,Specialist
35,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,8596,1,-123,1431,Specialist
36,Codeforces Global Round 16,Sep/12/2021 17:35,1350,5,119,1550,Specialist
37,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,729,3,94,1644,Expert
38,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,204,5,134,1778,Expert
39,Technocup 2022 - Elimination Round 1,Oct/17/2021 14:05,307,3,-51,1727,Expert
