#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,793,4,638,638,Newbie
2,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,611,3,471,1109,Newbie
3,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,425,5,414,1523,Specialist
4,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,897,4,200,1723,Expert
5,Codeforces Global Round 15,Jul/25/2021 17:35,764,4,161,1884,Expert
6,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,263,4,102,1986,Candidate Master
7,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,461,4,8,1994,Candidate Master
8,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,650,2,10,2004,Candidate Master
9,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,422,3,10,2014,Candidate Master
10,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,336,4,24,2038,Candidate Master
11,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,495,4,-15,2023,Candidate Master
12,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,927,3,-50,1973,Candidate Master
13,Codeforces Global Round 16,Sep/12/2021 17:35,1837,5,-54,1919,Candidate Master
14,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,236,4,60,1979,Candidate Master
15,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,464,1,-26,1953,Candidate Master
16,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,189,3,59,2012,Candidate Master
17,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,71,6,84,2096,Candidate Master
18,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,35,6,89,2185,Master
19,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,567,4,-9,2176,Master
20,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,391,2,-31,2145,Master
21,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,553,1,-86,2059,Candidate Master
22,Codeforces Global Round 17,Nov/23/2021 17:35,266,5,91,2150,Master
23,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,653,4,-12,2138,Master
24,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,198,4,71,2209,Master
25,Codeforces Global Round 18,Dec/24/2021 17:35,736,3,-29,2180,Master
26,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,466,5,34,2214,Master
27,Hello 2022,Jan/03/2022 17:35,858,4,-33,2181,Master
28,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,245,4,63,2244,Master
29,Codeforces Global Round 19,Feb/12/2022 17:35,625,5,-17,2227,Master
30,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,3833,2,-210,2017,Candidate Master
31,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,70,4,89,2106,Master
32,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,388,5,62,2168,Master
33,Codeforces Round 789 (Div. 1),May/08/2022 17:35,671,2,-76,2092,Candidate Master
34,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,2254,2,-129,1963,Candidate Master
35,Codeforces Round 791 (Div. 2),May/14/2022 12:35,297,4,16,1979,Candidate Master
36,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,562,2,-26,1953,Candidate Master
37,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,4091,2,-139,1814,Expert
38,Codeforces Round 800 (Div. 2),Jun/16/2022 17:35,1257,3,-34,1780,Expert
39,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,295,3,82,1862,Expert
40,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,14,4,200,2062,Candidate Master
41,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1942,3,-76,1986,Candidate Master
42,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,146,4,64,2050,Candidate Master
