#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Global Round 14,May/02/2021 17:35,607,5,721,721,Newbie
2,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,247,5,474,1195,Newbie
3,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,545,4,362,1557,Specialist
4,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,104,6,260,1817,Expert
5,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,530,3,50,1867,Expert
6,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,13,5,196,2063,Candidate Master
7,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,59,5,66,2129,Master
8,Codeforces Global Round 18,Dec/24/2021 17:35,169,5,117,2246,Master
9,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,173,5,99,2345,International Master
10,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,204,5,35,2380,International Master
11,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,150,4,44,2424,Grandmaster
12,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,28,6,155,2579,Grandmaster
