#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 624 (Div. 3),Feb/24/2020 17:35,399,4,79,1579,Specialist
2,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,3051,2,-41,1538,Specialist
3,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,2833,2,-56,1482,Specialist
4,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,4533,2,-49,1433,Specialist
5,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,1526,4,30,1463,Specialist
6,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,3229,3,10,1473,Specialist
7,Codeforces Global Round 7,Mar/19/2020 17:35,3089,4,47,1520,Specialist
8,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,2950,3,32,1552,Specialist
9,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,1932,4,34,1586,Specialist
10,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,1180,2,71,1657,Expert
11,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,2998,3,-25,1632,Expert
12,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,522,3,97,1729,Expert
13,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,148,5,160,1889,Expert
14,Codeforces Global Round 10,Aug/16/2020 17:35,873,5,47,1936,Candidate Master
15,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,694,4,8,1944,Candidate Master
16,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,151,5,90,2034,Candidate Master
17,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,641,2,2,2036,Candidate Master
18,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,190,5,39,2075,Candidate Master
19,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,294,4,4,2079,Candidate Master
20,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,1667,3,-90,1989,Candidate Master
21,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,1008,4,-34,1955,Candidate Master
22,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,500,3,41,1996,Candidate Master
23,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,1450,4,-70,1926,Candidate Master
24,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,770,4,-14,1912,Candidate Master
25,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,1186,3,-40,1872,Expert
26,Codeforces Global Round 16,Sep/12/2021 17:35,1295,5,8,1880,Expert
27,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,1788,3,-60,1820,Expert
28,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,134,5,101,1921,Candidate Master
29,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,196,4,59,1980,Candidate Master
30,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,530,4,-11,1969,Candidate Master
31,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,1686,3,-74,1895,Expert
32,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,1026,3,-19,1876,Expert
33,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,1580,3,-47,1829,Expert
34,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,1473,3,-23,1806,Expert
35,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,34,6,162,1968,Candidate Master
36,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,1794,3,-80,1888,Expert
37,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,153,5,81,1969,Candidate Master
38,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,534,4,-11,1958,Candidate Master
39,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,200,4,43,2001,Candidate Master
40,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,26,5,133,2134,Master
