#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round #FF (Div. 2),Jul/13/2014 17:00,738,2,37,1537,Specialist
2,Codeforces Round 256 (Div. 2),Jul/17/2014 18:00,1345,1,-90,1447,Specialist
3,Codeforces Round 268 (Div. 2),Sep/20/2014 17:00,1494,2,-77,1370,Pupil
4,Codeforces Round 274 (Div. 2),Oct/19/2014 13:00,772,2,83,1453,Specialist
5,Codeforces Round 286 (Div. 2),Jan/18/2015 16:00,55,2,224,1677,Expert
6,Codeforces Round 294 (Div. 2),Feb/28/2015 16:00,394,3,-47,1630,Expert
7,Codeforces Round 295 (Div. 2),Mar/02/2015 10:00,418,2,-56,1574,Specialist
8,Codeforces Round 337 (Div. 2),Dec/27/2015 14:20,743,2,6,1580,Specialist
9,Good Bye 2015,Dec/30/2015 18:05,2179,2,-15,1565,Specialist
10,Codeforces Round 338 (Div. 2),Jan/08/2016 17:05,785,2,22,1587,Specialist
11,Codeforces Round 340 (Div. 2),Jan/23/2016 18:35,331,3,70,1657,Expert
12,Codeforces Round 341 (Div. 2),Jan/31/2016 17:05,543,3,28,1685,Expert
13,Codeforces Round 342 (Div. 2),Feb/07/2016 12:05,403,3,24,1709,Expert
14,Codeforces Round 344 (Div. 2),Mar/03/2016 19:35,511,2,-2,1707,Expert
15,Codeforces Round 345 (Div. 2),Mar/07/2016 12:25,946,3,-46,1661,Expert
16,Codeforces Round 346 (Div. 2),Mar/30/2016 19:05,139,5,102,1763,Expert
17,Codeforces Round 349 (Div. 2),Apr/29/2016 19:35,994,2,-72,1691,Expert
18,Codeforces Round 350 (Div. 2),May/05/2016 19:05,413,5,23,1714,Expert
19,"Codeforces Round 351 (VK Cup 2016 Round 3, Div. 2 Edition)",May/07/2016 18:05,383,4,0,1714,Expert
20,Codeforces Round 352 (Div. 2),May/11/2016 19:35,485,2,2,1716,Expert
21,Codeforces Round 353 (Div. 2),May/16/2016 19:35,141,3,84,1800,Expert
22,Codeforces Round 354 (Div. 2),May/25/2016 18:05,36,4,124,1924,Candidate Master
23,Codeforces Round 362 (Div. 1),Jul/14/2016 19:35,350,2,-14,1910,Candidate Master
24,Codeforces Round 363 (Div. 1),Jul/19/2016 16:05,513,1,-69,1841,Expert
25,Codeforces Round 364 (Div. 2),Jul/22/2016 19:35,225,4,30,1871,Expert
26,Codeforces Round 367 (Div. 2),Aug/11/2016 19:35,104,4,61,1932,Candidate Master
27,AIM Tech Round 3 (Div. 1),Aug/24/2016 19:35,466,1,-41,1891,Expert
28,Codeforces Round 369 (Div. 2),Aug/29/2016 15:05,135,4,44,1935,Candidate Master
29,Codeforces Round 371 (Div. 1),Sep/13/2016 19:35,346,1,-3,1932,Candidate Master
30,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,444,4,36,1968,Candidate Master
31,Canada Cup 2016,Oct/22/2016 18:05,380,4,31,1999,Candidate Master
32,Codeforces Round 381 (Div. 1),Nov/23/2016 19:35,318,2,-11,1988,Candidate Master
33,Codeforces Round 383 (Div. 1),Dec/06/2016 17:35,377,2,-32,1956,Candidate Master
34,Codeforces Round 385 (Div. 1),Dec/17/2016 19:35,325,2,5,1961,Candidate Master
35,Good Bye 2016,Dec/30/2016 17:15,2074,2,-74,1887,Expert
36,Codeforces Round 390 (Div. 2),Jan/06/2017 17:35,27,3,125,2012,Candidate Master
37,Codeforces Round 395 (Div. 1),Feb/02/2017 16:35,299,1,2,2014,Candidate Master
38,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Feb/14/2017 11:05,222,5,54,2068,Candidate Master
39,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,329,4,19,2087,Candidate Master
40,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,574,3,-26,2061,Candidate Master
41,"Codeforces Round 405 (rated, Div. 1, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,304,1,-48,2013,Candidate Master
42,Codeforces Round 407 (Div. 1),Mar/29/2017 19:05,398,1,-66,1947,Candidate Master
43,Codeforces Round 411 (Div. 1),May/04/2017 17:50,458,2,-43,1904,Candidate Master
44,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,413,3,39,1943,Candidate Master
45,Codeforces Round 419 (Div. 1),Jun/17/2017 17:35,370,1,2,1945,Candidate Master
46,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",Jul/13/2017 18:05,228,2,37,1982,Candidate Master
47,Codeforces Round 429 (Div. 1),Aug/18/2017 18:05,431,1,-56,1926,Candidate Master
48,AIM Tech Round 4 (Div. 1),Aug/24/2017 19:35,80,2,170,2096,Candidate Master
49,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,101,2,85,2181,Master
50,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,151,2,-2,2179,Master
51,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Sep/06/2017 15:55,41,4,122,2301,International Master
52,"Manthan, Codefest 17",Sep/24/2017 17:35,89,4,35,2336,International Master
53,Codeforces Round 438 by Sberbank and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Oct/05/2017 10:05,758,2,-144,2192,Master
54,"Codeforces Round 441 (Div. 1, by Moscow Team Olympiad)",Oct/16/2017 14:05,403,2,-108,2084,Candidate Master
55,Codeforces Round 443 (Div. 1),Oct/26/2017 17:45,188,1,1,2085,Candidate Master
56,Codeforces Round 446 (Div. 1),Nov/17/2017 17:35,413,0,-101,1984,Candidate Master
57,Codeforces Round 449 (Div. 1),Dec/02/2017 17:05,296,1,-10,1974,Candidate Master
58,Codeforces Round 453 (Div. 1),Dec/19/2017 18:35,235,1,14,1988,Candidate Master
59,Good Bye 2017,Dec/29/2017 18:40,1034,3,-26,1962,Candidate Master
60,Hello 2018,Jan/08/2018 17:45,109,5,146,2108,Master
61,"Codecraft-18 and Codeforces Round 458 (Div. 1 + Div. 2, combined)",Jan/20/2018 18:35,90,5,100,2208,Master
62,Codeforces Round 459 (Div. 1),Jan/29/2018 17:35,194,2,-38,2170,Master
63,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,133,4,52,2222,Master
