#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,206,4,189,1689,Expert
2,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,292,3,88,1777,Expert
3,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,334,4,73,1850,Expert
4,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,1038,3,-39,1811,Expert
5,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,4023,1,-119,1692,Expert
6,Codeforces Global Round 5,Oct/16/2019 17:35,864,5,81,1773,Expert
7,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,90,5,149,1922,Candidate Master
8,Codeforces Round 599 (Div. 1),Nov/06/2019 18:05,718,1,-70,1852,Expert
9,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,96,5,86,1938,Candidate Master
10,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,189,4,48,1986,Candidate Master
11,Codeforces Global Round 6,Dec/17/2019 18:05,678,4,13,1999,Candidate Master
12,Codeforces Round 610 (Div. 2),Dec/24/2019 17:35,266,4,17,2016,Candidate Master
13,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,775,4,-44,1972,Candidate Master
14,Good Bye 2019,Dec/29/2019 17:05,453,5,73,2045,Candidate Master
15,Hello 2020,Jan/04/2020 15:05,611,4,33,2078,Candidate Master
16,Educational Codeforces Round 80 (Rated for Div. 2),Jan/14/2020 17:35,255,4,-1,2077,Candidate Master
17,Codeforces Round 614 (Div. 1),Jan/19/2020 16:35,818,1,-93,1984,Candidate Master
18,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,108,5,81,2065,Candidate Master
19,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,240,3,68,2133,Master
20,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,555,3,-23,2110,Master
21,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,707,4,-12,2098,Candidate Master
22,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,292,4,-3,2095,Candidate Master
23,"Codeforces Round 623 (Div. 1, based on VK Cup 2019-2020 - Elimination Round, Engine)",Feb/23/2020 19:05,471,1,-80,2015,Candidate Master
24,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,356,3,54,2069,Candidate Master
25,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,17,6,146,2215,Master
26,Codeforces Global Round 7,Mar/19/2020 17:35,1041,5,-42,2173,Master
27,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,1095,2,-84,2089,Candidate Master
28,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,431,4,9,2098,Candidate Master
29,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,949,4,-34,2064,Candidate Master
30,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,220,3,109,2173,Master
31,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,571,3,-4,2169,Master
32,Codeforces Round 641 (Div. 1),May/12/2020 15:35,372,3,34,2203,Master
33,Codeforces Global Round 8,Jun/18/2020 17:45,180,5,95,2298,Master
34,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,656,3,-54,2244,Master
35,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,65,3,145,2389,International Master
36,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,816,2,-92,2297,Master
37,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,894,2,-96,2201,Master
38,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,179,3,70,2271,Master
39,Codeforces Global Round 11,Oct/10/2020 17:50,331,4,34,2305,International Master
40,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,837,4,-52,2253,Master
41,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,387,2,-14,2239,Master
42,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,213,3,41,2280,Master
43,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,445,3,-38,2242,Master
44,Codeforces Global Round 12,Dec/06/2020 17:35,633,4,-20,2222,Master
45,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,374,2,-15,2207,Master
46,Good Bye 2020,Dec/30/2020 17:35,1091,5,-33,2174,Master
47,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,451,3,-4,2170,Master
48,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,313,3,50,2220,Master
49,Codeforces Global Round 13,Feb/28/2021 16:35,128,5,127,2347,International Master
50,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,370,3,-24,2323,International Master
51,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,507,2,-60,2263,Master
52,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,315,4,38,2301,International Master
53,Codeforces Global Round 14,May/02/2021 17:35,252,5,45,2346,International Master
54,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,74,5,128,2474,Grandmaster
55,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,408,5,-52,2422,Grandmaster
