#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,1087,3,605,605,Newbie
2,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,292,4,495,1100,Newbie
3,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,557,4,317,1417,Specialist
4,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1955,3,157,1574,Specialist
5,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,48,5,265,1839,Expert
6,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,210,4,108,1947,Candidate Master
7,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,685,2,-53,1894,Expert
8,Codeforces Global Round 21,Jun/25/2022 17:35,1999,3,-44,1850,Expert
9,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,420,4,37,1887,Expert
10,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,177,4,81,1968,Candidate Master
11,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,572,2,6,1974,Candidate Master
12,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,80,5,101,2075,Candidate Master
13,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,60,5,84,2159,Master
14,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,318,5,63,2222,Master
15,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,662,2,-76,2146,Master
16,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,556,4,4,2150,Master
