#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,1095,4,63,1563,Specialist
2,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,1522,3,53,1616,Expert
3,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1642,4,57,1673,Expert
4,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,759,3,14,1687,Expert
5,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,195,4,93,1780,Expert
6,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,93,4,121,1901,Candidate Master
7,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,481,1,24,1925,Candidate Master
8,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,338,3,102,2027,Candidate Master
9,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,783,4,23,2050,Candidate Master
10,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,317,3,13,2063,Candidate Master
11,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,177,5,36,2099,Candidate Master
12,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,174,5,113,2212,Master
13,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,309,5,36,2248,Master
14,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,324,2,-27,2221,Master
15,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,233,3,62,2283,Master
16,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,269,5,35,2318,International Master
17,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,288,3,-4,2314,International Master
18,Codeforces Global Round 18,Dec/24/2021 17:35,124,5,92,2406,Grandmaster
19,Hello 2022,Jan/03/2022 17:35,240,5,26,2432,Grandmaster
20,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,690,2,-105,2327,International Master
21,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,270,3,4,2331,International Master
22,Codeforces Global Round 19,Feb/12/2022 17:35,133,6,85,2416,Grandmaster
23,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,74,3,96,2512,Grandmaster
24,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,316,2,-70,2442,Grandmaster
25,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,384,2,-65,2377,International Master
26,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,50,3,127,2504,Grandmaster
27,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,190,5,11,2515,Grandmaster
28,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,349,3,-69,2446,Grandmaster
29,Codeforces Global Round 22,Sep/30/2022 17:35,108,6,63,2509,Grandmaster
30,Dytechlab Cup 2022,Oct/07/2022 17:35,356,4,-50,2459,Grandmaster
31,Codeforces Global Round 23,Oct/15/2022 17:35,330,4,-12,2447,Grandmaster
32,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,245,5,-12,2435,Grandmaster
33,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,109,5,58,2493,Grandmaster
34,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,63,5,81,2574,Grandmaster
35,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,345,5,-30,2544,Grandmaster
36,Hello 2023,Jan/03/2023 17:35,62,6,94,2638,International Grandmaster
37,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,323,5,-71,2567,Grandmaster
38,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,84,6,59,2626,International Grandmaster
39,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,196,4,-32,2594,Grandmaster
