#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,11,6,259,1759,Expert
2,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,78,4,175,1934,Candidate Master
3,Codeforces Global Round 7,Mar/19/2020 17:35,584,5,77,2011,Candidate Master
4,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,170,5,74,2085,Candidate Master
5,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,864,2,-33,2052,Candidate Master
6,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,2588,2,-85,1967,Candidate Master
7,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,44,5,155,2122,Master
8,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,1061,2,-76,2046,Candidate Master
9,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,527,2,23,2069,Candidate Master
10,Codeforces Global Round 11,Oct/10/2020 17:50,372,4,80,2149,Master
11,Good Bye 2020,Dec/30/2020 17:35,611,6,30,2179,Master
12,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,252,3,70,2249,Master
13,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,118,6,101,2350,International Master
14,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,242,3,22,2372,International Master
15,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,200,3,-9,2363,International Master
16,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,225,5,29,2392,International Master
17,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,3859,2,-245,2147,Master
18,Codeforces Global Round 18,Dec/24/2021 17:35,242,5,82,2229,Master
19,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,101,5,147,2376,International Master
20,Codeforces Global Round 19,Feb/12/2022 17:35,67,6,124,2500,Grandmaster
21,Codeforces Global Round 23,Oct/15/2022 17:35,160,5,34,2534,Grandmaster
