#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,330,5,780,780,Newbie
2,Codeforces Global Round 22,Sep/30/2022 17:35,237,6,573,1353,Pupil
3,Dytechlab Cup 2022,Oct/07/2022 17:35,567,3,312,1665,Expert
4,Codeforces Global Round 23,Oct/15/2022 17:35,516,4,228,1893,Expert
5,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,514,4,138,2031,Candidate Master
6,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,159,5,171,2202,Master
7,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,632,5,-21,2181,Master
8,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,174,5,124,2305,International Master
9,Hello 2023,Jan/03/2023 17:35,103,6,120,2425,Grandmaster
10,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,96,6,73,2498,Grandmaster
11,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,108,6,58,2556,Grandmaster
12,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,146,4,9,2565,Grandmaster
13,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,114,7,21,2586,Grandmaster
