#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 598 (Div. 3),Nov/04/2019 16:15,25,5,221,1721,Expert
2,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,226,5,109,1830,Expert
3,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,1486,3,-49,1781,Expert
4,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,103,5,117,1898,Expert
5,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,758,4,5,1903,Candidate Master
6,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,75,5,150,2053,Candidate Master
7,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,21,5,139,2192,Master
8,Codeforces Global Round 13,Feb/28/2021 16:35,1595,4,-74,2118,Master
9,"Codeforces Round 707 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,170,2,90,2208,Master
10,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,420,3,-8,2200,Master
11,Codeforces Round 722 (Div. 1),May/24/2021 17:35,157,4,94,2294,Master
12,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,395,5,10,2304,International Master
13,Dytechlab Cup 2022,Oct/07/2022 17:35,94,5,111,2415,Grandmaster
