#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,8327,1,433,433,Newbie
2,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,10423,0,223,656,Newbie
3,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,6477,2,253,909,Newbie
4,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,8880,1,103,1012,Newbie
5,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,3758,2,161,1173,Newbie
6,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,6653,2,36,1209,Pupil
7,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,4201,3,7,1216,Pupil
8,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,8100,1,-33,1183,Newbie
9,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,4663,2,10,1193,Newbie
10,Codeforces Global Round 13,Feb/28/2021 16:35,6507,1,-13,1180,Newbie
11,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,7800,1,-39,1141,Newbie
12,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,8544,1,-80,1061,Newbie
13,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,7746,1,-48,1013,Newbie
14,"Codeforces Round 707 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/13/2021 12:05,5530,1,-31,982,Newbie
15,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,2640,2,151,1133,Newbie
16,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,9819,0,-116,1017,Newbie
17,Codeforces Round 720 (Div. 2),May/07/2021 17:35,6245,2,62,1079,Newbie
18,Codeforces Round 721 (Div. 2),May/20/2021 17:35,12615,1,-65,1014,Newbie
19,Codeforces Round 722 (Div. 2),May/24/2021 17:35,4750,2,97,1111,Newbie
20,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,3015,2,103,1214,Pupil
21,Codeforces Round 725 (Div. 3),Jun/10/2021 17:35,4332,3,19,1233,Pupil
22,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,7692,2,-14,1219,Pupil
23,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,5880,2,-5,1214,Pupil
24,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,3580,2,64,1278,Pupil
25,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,3620,2,42,1320,Pupil
26,Codeforces Round 731 (Div. 3),Jul/10/2021 17:35,8517,2,-74,1246,Pupil
27,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,1943,3,97,1343,Pupil
28,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,2258,3,77,1420,Specialist
29,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,6750,2,-70,1350,Pupil
30,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,4285,2,-20,1330,Pupil
31,Codeforces Global Round 15,Jul/25/2021 17:35,2662,3,78,1408,Specialist
32,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,11039,1,-121,1287,Pupil
33,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,1594,4,118,1405,Specialist
34,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,6458,2,-58,1347,Pupil
35,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,4912,2,-5,1342,Pupil
36,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,1912,4,89,1431,Specialist
37,Codeforces Round 739 (Div. 3),Aug/18/2021 17:35,2915,4,-13,1418,Specialist
38,"Codeforces Round 740 (Div. 2, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,4866,2,-47,1371,Pupil
39,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,4678,2,-20,1351,Pupil
40,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1888,3,106,1457,Specialist
41,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,8546,1,-105,1352,Pupil
42,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,9052,1,-91,1261,Pupil
43,Codeforces Global Round 16,Sep/12/2021 17:35,4100,4,30,1291,Pupil
44,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,968,3,151,1442,Specialist
