#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,2517,3,525,525,Newbie
2,Codeforces Round 674 (Div. 3),Sep/28/2020 11:05,406,4,440,965,Newbie
3,Grakn Forces 2020,Sep/30/2020 17:35,4821,1,182,1147,Newbie
4,Codeforces Round 686 (Div. 3),Nov/24/2020 17:35,317,4,261,1408,Specialist
5,Codeforces Global Round 12,Dec/06/2020 17:35,1813,3,149,1557,Specialist
6,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,78,7,180,1737,Expert
7,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,139,4,82,1819,Expert
8,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,140,4,79,1898,Expert
9,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,412,3,23,1921,Candidate Master
10,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,400,3,16,1937,Candidate Master
11,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,1741,3,-60,1877,Expert
12,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,712,3,-4,1873,Expert
13,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Dec/27/2022 17:35,89,5,116,1989,Candidate Master
14,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,60,5,112,2101,Master
15,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,1188,3,-50,2051,Candidate Master
16,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,563,2,2,2053,Candidate Master
17,Codeforces Round 851 (Div. 2),Feb/09/2023 17:35,41,5,105,2158,Master
