#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 805 (Div. 3),Jul/10/2022 17:35,223,7,648,648,Newbie
2,Codeforces Round 806 (Div. 4),Jul/12/2022 17:35,18,7,560,1208,Pupil
3,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,11,5,508,1716,Expert
4,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,735,4,118,1834,Expert
5,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,220,4,141,1975,Candidate Master
6,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,416,4,36,2011,Candidate Master
7,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,518,4,-23,1988,Candidate Master
8,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,286,3,18,2006,Candidate Master
9,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,225,4,19,2025,Candidate Master
10,Codeforces Global Round 22,Sep/30/2022 17:35,722,4,19,2044,Candidate Master
11,Dytechlab Cup 2022,Oct/07/2022 17:35,530,3,32,2076,Candidate Master
12,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,3405,3,-151,1925,Candidate Master
13,Codeforces Global Round 23,Oct/15/2022 17:35,2494,3,-78,1847,Expert
14,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,611,4,10,1857,Expert
15,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,237,5,60,1917,Candidate Master
16,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,374,4,101,2018,Candidate Master
17,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,325,3,86,2104,Master
18,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,421,5,31,2135,Master
