#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,8823,2,430,430,Newbie
2,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,4191,3,351,781,Newbie
3,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,3288,2,309,1090,Newbie
4,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,6513,2,110,1200,Pupil
5,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,9361,1,23,1223,Pupil
6,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,7514,2,19,1242,Pupil
7,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,1175,3,160,1402,Specialist
8,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,2085,4,62,1464,Specialist
9,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,4412,3,-21,1443,Specialist
10,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,949,3,102,1545,Specialist
11,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,880,5,25,1570,Specialist
12,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,2450,3,-55,1515,Specialist
13,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,1152,3,42,1557,Specialist
14,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,10208,0,-158,1399,Pupil
15,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,3370,3,9,1408,Specialist
16,Codeforces Global Round 12,Dec/06/2020 17:35,2562,2,46,1454,Specialist
17,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,5244,3,-74,1380,Pupil
18,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,1710,2,38,1418,Specialist
19,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,1371,2,54,1472,Specialist
20,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,2513,3,25,1497,Specialist
21,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,1265,3,68,1565,Specialist
22,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,22,5,275,1840,Expert
23,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,2659,2,-74,1766,Expert
24,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,2263,3,-78,1688,Expert
25,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1027,4,61,1749,Expert
26,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,900,4,4,1753,Expert
27,Codeforces Round 751 (Div. 2),Oct/25/2021 09:35,94,4,98,1851,Expert
28,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,162,4,99,1950,Candidate Master
29,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,626,4,-41,1909,Candidate Master
30,Codeforces Global Round 17,Nov/23/2021 17:35,1468,3,-33,1876,Expert
31,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,913,4,23,1899,Expert
32,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,33,4,159,2058,Candidate Master
33,Hello 2022,Jan/03/2022 17:35,717,4,23,2081,Candidate Master
34,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,120,5,44,2125,Master
35,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,395,4,73,2198,Master
36,Hello 2023,Jan/03/2023 17:35,338,5,54,2252,Master
