#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 731 (Div. 3),Jul/10/2021 17:35,218,6,654,654,Newbie
2,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,68,6,516,1170,Newbie
3,Codeforces Global Round 16,Sep/12/2021 17:35,1562,5,276,1446,Specialist
4,Codeforces Round 753 (Div. 3),Nov/02/2021 17:35,70,5,244,1690,Expert
5,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,525,4,119,1809,Expert
6,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,34,5,224,2033,Candidate Master
7,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,1195,3,-77,1956,Candidate Master
8,Codeforces Round 791 (Div. 2),May/14/2022 12:35,657,3,-29,1927,Candidate Master
9,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,230,4,50,1977,Candidate Master
10,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,110,4,85,2062,Candidate Master
11,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,72,5,88,2150,Master
12,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,784,0,-104,2046,Candidate Master
13,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,50,5,92,2138,Master
14,Dytechlab Cup 2022,Oct/07/2022 17:35,2101,2,-135,2003,Candidate Master
15,Codeforces Global Round 23,Oct/15/2022 17:35,273,5,127,2130,Master
