#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,4503,3,494,494,Newbie
2,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2209,3,425,919,Newbie
3,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,2594,3,263,1182,Newbie
4,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,2051,3,179,1361,Pupil
5,Codeforces Global Round 16,Sep/12/2021 17:35,2264,5,138,1499,Specialist
6,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,2411,3,46,1545,Specialist
7,Codeforces Round 744 (Div. 3),Sep/28/2021 17:35,1804,4,-15,1530,Specialist
8,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,388,2,104,1634,Expert
9,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,1624,2,1,1635,Expert
10,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,1589,4,-9,1626,Expert
11,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,2101,3,-40,1586,Specialist
12,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,2463,4,-48,1538,Specialist
13,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,837,4,125,1663,Expert
14,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,2040,3,-20,1643,Expert
15,Codeforces Round 752 (Div. 2),Oct/30/2021 17:35,348,4,82,1725,Expert
16,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,546,3,53,1778,Expert
17,"Codeforces Round 755 (Div. 2, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,915,3,-47,1731,Expert
18,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,215,5,86,1817,Expert
19,Codeforces Global Round 17,Nov/23/2021 17:35,355,5,130,1947,Candidate Master
20,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,1060,3,-52,1895,Expert
21,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,713,4,44,1939,Candidate Master
22,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,2046,3,-87,1852,Expert
23,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,953,3,8,1860,Expert
24,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,204,4,60,1920,Candidate Master
25,Codeforces Round 761 (Div. 2),Dec/16/2021 16:35,1112,3,-50,1870,Expert
26,Codeforces Global Round 18,Dec/24/2021 17:35,1162,3,12,1882,Expert
27,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,903,3,-16,1866,Expert
28,Codeforces Round 763 (Div. 2),Dec/28/2021 16:35,139,4,92,1958,Candidate Master
29,Hello 2022,Jan/03/2022 17:35,1344,3,-11,1947,Candidate Master
30,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,741,3,-25,1922,Candidate Master
31,Codeforces Round 766 (Div. 2),Jan/15/2022 17:35,767,4,-17,1905,Candidate Master
32,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,704,2,2,1907,Candidate Master
33,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,565,2,27,1934,Candidate Master
34,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,208,4,68,2002,Candidate Master
35,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,275,4,33,2035,Candidate Master
36,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,426,4,-7,2028,Candidate Master
37,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,84,5,69,2097,Candidate Master
38,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,131,5,31,2128,Master
39,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,785,1,-79,2049,Candidate Master
40,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,512,3,-37,2012,Candidate Master
41,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,406,3,40,2052,Candidate Master
42,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,130,4,37,2089,Candidate Master
43,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,447,4,-30,2059,Candidate Master
44,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,470,4,42,2101,Master
45,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,763,4,3,2104,Master
46,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,708,1,-69,2035,Candidate Master
47,Codeforces Round 788 (Div. 2),May/06/2022 17:35,816,4,-60,1975,Candidate Master
48,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,408,4,2,1977,Candidate Master
49,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,561,4,47,2024,Candidate Master
50,Codeforces Round 793 (Div. 2),May/22/2022 17:35,108,4,62,2086,Candidate Master
51,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,2795,3,-135,1951,Candidate Master
52,Codeforces Round 794 (Div. 1),May/25/2022 20:35,204,2,100,2051,Candidate Master
53,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,571,4,-38,2013,Candidate Master
54,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,305,3,76,2089,Candidate Master
55,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,112,5,43,2132,Master
56,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,428,2,4,2136,Master
57,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,794,4,-8,2128,Master
58,Codeforces Global Round 22,Sep/30/2022 17:35,5038,1,-210,1918,Candidate Master
59,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,99,4,93,2011,Candidate Master
60,Dytechlab Cup 2022,Oct/07/2022 17:35,1705,3,-82,1929,Candidate Master
61,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,118,4,83,2012,Candidate Master
62,Codeforces Global Round 23,Oct/15/2022 17:35,601,4,51,2063,Candidate Master
63,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,763,4,-53,2010,Candidate Master
64,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,180,4,35,2045,Candidate Master
65,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,625,3,-13,2032,Candidate Master
66,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,1870,3,-119,1913,Candidate Master
67,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,242,5,110,2023,Candidate Master
68,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,142,4,49,2072,Candidate Master
69,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,226,5,100,2172,Master
70,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,200,5,77,2249,Master
71,Codeforces Global Round 24,Nov/26/2022 17:05,273,5,29,2278,Master
72,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,525,5,-24,2254,Master
73,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,319,5,56,2310,International Master
74,Hello 2023,Jan/03/2023 17:35,465,5,-2,2308,International Master
75,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,773,4,-66,2242,Master
76,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,1152,4,-80,2162,Master
77,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,519,2,-14,2148,Master
78,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,528,5,-2,2146,Master
