#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,3140,3,512,512,Newbie
2,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,3143,2,390,902,Newbie
3,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,5929,2,206,1108,Newbie
4,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,3002,2,186,1294,Pupil
5,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,2618,3,146,1440,Specialist
6,Codeforces Global Round 10,Aug/16/2020 17:35,4871,3,15,1455,Specialist
7,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,6273,2,-51,1404,Specialist
8,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,948,4,142,1546,Specialist
9,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,4413,1,-44,1502,Specialist
10,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,482,3,168,1670,Expert
11,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,6357,1,-110,1560,Specialist
12,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1602,5,41,1601,Expert
13,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,1333,4,51,1652,Expert
14,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,576,3,45,1697,Expert
15,Grakn Forces 2020,Sep/30/2020 17:35,4821,1,-107,1590,Specialist
16,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,1298,3,30,1620,Expert
17,Codeforces Global Round 11,Oct/10/2020 17:50,2675,2,-4,1616,Expert
18,Educational Codeforces Round 96 (Rated for Div. 2),Oct/11/2020 12:05,1974,3,-22,1594,Specialist
19,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,3466,3,-27,1567,Specialist
20,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,1626,3,20,1587,Specialist
21,Codeforces Round 677 (Div. 3),Oct/20/2020 17:35,900,5,12,1599,Specialist
22,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,702,3,79,1678,Expert
23,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,144,4,114,1792,Expert
24,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,783,4,21,1813,Expert
25,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,108,4,90,1903,Candidate Master
26,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,875,0,-90,1813,Expert
27,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,1383,3,-64,1749,Expert
28,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,1141,4,0,1749,Expert
29,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,2079,3,-29,1720,Expert
30,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,1364,3,-43,1677,Expert
31,Codeforces Global Round 12,Dec/06/2020 17:35,1168,3,67,1744,Expert
32,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,312,3,52,1796,Expert
33,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,2290,2,-79,1717,Expert
34,Good Bye 2020,Dec/30/2020 17:35,1821,5,42,1759,Expert
35,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,6242,1,-112,1647,Expert
36,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,4729,2,-76,1571,Specialist
37,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,663,3,104,1675,Expert
38,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,1010,3,29,1704,Expert
39,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,660,4,72,1776,Expert
40,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,662,4,46,1822,Expert
41,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,300,4,86,1908,Candidate Master
42,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,2450,4,-81,1827,Expert
43,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,156,5,124,1951,Candidate Master
44,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,710,3,-12,1939,Candidate Master
45,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,307,3,48,1987,Candidate Master
46,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,428,3,3,1990,Candidate Master
47,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,396,3,61,2051,Candidate Master
48,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,900,3,-59,1992,Candidate Master
49,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,621,2,8,2000,Candidate Master
50,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,31,5,136,2136,Master
51,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,856,4,-26,2110,Master
52,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,675,2,-40,2070,Candidate Master
53,Codeforces Round 851 (Div. 2),Feb/09/2023 17:35,110,5,52,2122,Master
54,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,444,5,21,2143,Master
