#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,37,3,833,833,Newbie
2,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,24,6,526,1359,Pupil
3,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,2592,2,183,1542,Specialist
4,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,388,4,217,1759,Expert
5,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,7,5,321,2080,Candidate Master
6,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,498,2,68,2148,Master
7,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,103,4,138,2286,Master
8,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,917,3,-60,2226,Master
9,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,377,2,0,2226,Master
10,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,1880,3,-134,2092,Candidate Master
11,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,392,5,65,2157,Master
12,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,357,2,19,2176,Master
13,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,141,6,121,2297,Master
14,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,633,4,-70,2227,Master
15,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,719,5,-65,2162,Master
16,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,1018,4,-55,2107,Master
17,Hello 2023,Jan/03/2023 17:35,135,6,154,2261,Master
