#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,1673,2,-1,1499,Specialist
2,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,4184,1,-82,1417,Specialist
3,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,2279,3,-5,1412,Specialist
4,Codeforces Round 587 (Div. 3),Sep/21/2019 10:05,634,4,62,1474,Specialist
5,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,1156,3,65,1539,Specialist
6,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,581,3,73,1612,Expert
7,"Codeforces Round 596 (Div. 2, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,2847,2,-79,1533,Specialist
8,Codeforces Round 607 (Div. 2),Dec/15/2019 08:05,3072,1,-102,1431,Specialist
9,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,1826,3,23,1454,Specialist
10,Hello 2020,Jan/04/2020 15:05,3193,2,28,1482,Specialist
11,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,768,4,121,1603,Expert
12,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,1530,3,55,1658,Expert
13,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,246,4,169,1827,Expert
14,Codeforces Round 638 (Div. 2),May/01/2020 17:35,1335,3,15,1842,Expert
15,Codeforces Round 641 (Div. 2),May/12/2020 15:35,1033,3,-1,1841,Expert
16,Codeforces Round 643 (Div. 2),May/16/2020 14:35,810,3,38,1879,Expert
17,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,302,5,69,1948,Candidate Master
18,Codeforces Round 645 (Div. 2),May/26/2020 17:35,283,4,64,2012,Candidate Master
19,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,54,5,125,2137,Master
20,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,1114,0,-110,2027,Candidate Master
21,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,32,5,148,2175,Master
22,Codeforces Global Round 8,Jun/18/2020 17:45,1128,4,-31,2144,Master
23,Codeforces Global Round 9,Jul/04/2020 17:45,923,4,3,2147,Master
24,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,384,3,34,2181,Master
25,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,1170,0,-111,2070,Candidate Master
26,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,962,3,-45,2025,Candidate Master
27,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,605,1,15,2040,Candidate Master
28,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,363,4,17,2057,Candidate Master
29,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,967,2,-65,1992,Candidate Master
30,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1703,4,-70,1922,Candidate Master
31,Codeforces Global Round 11,Oct/10/2020 17:50,459,4,103,2025,Candidate Master
32,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,966,4,4,2029,Candidate Master
33,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,35,4,122,2151,Master
34,"Codeforces Round 679 (Div. 1, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,584,2,-54,2097,Candidate Master
35,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,475,2,0,2097,Candidate Master
36,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,654,2,-45,2052,Candidate Master
37,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,873,1,-85,1967,Candidate Master
38,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,488,2,19,1986,Candidate Master
39,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,8209,1,-183,1803,Expert
40,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,39,5,164,1967,Candidate Master
41,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,116,4,90,2057,Candidate Master
42,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,681,2,-9,2048,Candidate Master
43,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,229,5,39,2087,Candidate Master
44,Codeforces Global Round 13,Feb/28/2021 16:35,1653,3,-53,2034,Candidate Master
