#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 37 (Rated for Div. 2),Feb/02/2018 17:35,1183,3,9,1509,Specialist
2,Codeforces Round 462 (Div. 2),Feb/14/2018 15:05,1452,2,7,1516,Specialist
3,Educational Codeforces Round 41 (Rated for Div. 2),Apr/04/2018 17:05,364,4,84,1600,Expert
4,"Codeforces Round 477 (rated, Div. 2, based on VK Cup 2018 Round 3)",Apr/29/2018 16:15,125,3,110,1710,Expert
5,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,252,3,62,1772,Expert
6,"Codeforces Round 503 (by SIS, Div. 2)",Aug/11/2018 16:35,656,3,-5,1767,Expert
7,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,2257,2,-63,1704,Expert
8,Educational Codeforces Round 49 (Rated for Div. 2),Aug/18/2018 17:35,1840,3,-44,1660,Expert
9,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,335,4,143,1803,Expert
10,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,260,4,61,1864,Expert
11,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,463,5,9,1873,Expert
12,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,369,4,-9,1864,Expert
13,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,337,5,62,1926,Candidate Master
14,"Codeforces Round 516 (Div. 1, by Moscow Team Olympiad)",Oct/14/2018 13:05,367,2,-25,1901,Candidate Master
15,"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,277,2,46,1947,Candidate Master
16,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,21,6,152,2099,Candidate Master
17,Good Bye 2018,Dec/30/2018 17:35,505,4,26,2125,Master
18,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,428,4,25,2150,Master
