#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 680 (Div. 2, based on Moscow Team Olympiad)",Nov/01/2020 14:05,535,3,622,622,Newbie
2,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,875,3,411,1033,Newbie
3,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,28,4,479,1512,Specialist
4,Good Bye 2020,Dec/30/2020 17:35,398,6,311,1823,Expert
5,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,594,3,82,1905,Candidate Master
6,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,430,3,133,2038,Candidate Master
7,Codeforces Global Round 13,Feb/28/2021 16:35,1615,4,-39,1999,Candidate Master
8,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,1027,1,-70,1929,Candidate Master
9,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,399,3,81,2010,Candidate Master
10,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,503,3,33,2043,Candidate Master
11,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,809,1,-66,1977,Candidate Master
12,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1986,3,-56,1921,Candidate Master
13,Codeforces Global Round 14,May/02/2021 17:35,764,4,55,1976,Candidate Master
14,Codeforces Round 722 (Div. 1),May/24/2021 17:35,495,2,42,2018,Candidate Master
15,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,3341,2,-127,1891,Expert
16,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,131,5,101,1992,Candidate Master
17,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,1067,3,-23,1969,Candidate Master
18,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,83,4,90,2059,Candidate Master
19,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,450,1,-11,2048,Candidate Master
20,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,66,4,98,2146,Master
21,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,380,2,24,2170,Master
22,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,386,5,32,2202,Master
23,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,780,4,-34,2168,Master
24,Codeforces Global Round 15,Jul/25/2021 17:35,1219,4,-57,2111,Master
25,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1134,4,-38,2073,Candidate Master
26,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,183,4,25,2098,Candidate Master
27,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,596,3,-38,2060,Candidate Master
28,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,463,5,42,2102,Master
29,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,346,2,2,2104,Master
30,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,454,2,24,2128,Master
31,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,518,1,-74,2054,Candidate Master
32,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,112,5,33,2087,Candidate Master
33,Codeforces Global Round 17,Nov/23/2021 17:35,1259,3,-62,2025,Candidate Master
34,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,908,4,-14,2011,Candidate Master
35,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,266,3,82,2093,Candidate Master
36,"Codeforces Round 759 (Div. 2, based on Technocup 2022 Elimination Round 3)",Dec/12/2021 18:15,53,5,66,2159,Master
37,Hello 2022,Jan/03/2022 17:35,324,5,66,2225,Master
38,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,409,2,-9,2216,Master
39,Codeforces Round 789 (Div. 1),May/08/2022 17:35,626,3,-73,2143,Master
40,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,207,3,69,2212,Master
41,Codeforces Global Round 21,Jun/25/2022 17:35,555,5,3,2215,Master
42,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1925,3,-109,2106,Master
43,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,531,2,-20,2086,Candidate Master
44,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,215,4,15,2101,Master
45,Codeforces Global Round 23,Oct/15/2022 17:35,425,4,60,2161,Master
46,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,174,5,98,2259,Master
47,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,950,3,-80,2179,Master
48,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,487,5,6,2185,Master
49,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,702,4,9,2194,Master
50,Hello 2023,Jan/03/2023 17:35,262,5,76,2270,Master
51,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,673,4,-44,2226,Master
52,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,416,5,19,2245,Master
