#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 638 (Div. 2),May/01/2020 17:35,13575,1,-119,1381,Pupil
2,Codeforces Round 640 (Div. 4),May/09/2020 17:35,1151,5,72,1453,Specialist
3,Codeforces Round 641 (Div. 2),May/12/2020 15:35,5223,2,-18,1435,Specialist
4,Codeforces Round 642 (Div. 3),May/14/2020 17:35,902,4,90,1525,Specialist
5,Codeforces Round 643 (Div. 2),May/16/2020 14:35,8628,1,-84,1441,Specialist
6,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,5310,3,-22,1419,Specialist
7,Codeforces Round 644 (Div. 3),May/24/2020 16:35,271,6,153,1572,Specialist
8,Codeforces Round 645 (Div. 2),May/26/2020 17:35,1177,4,89,1661,Expert
9,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,600,4,105,1766,Expert
10,Codeforces Round 646 (Div. 2),May/31/2020 17:35,1549,3,22,1788,Expert
11,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,3040,3,-56,1732,Expert
12,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,917,5,62,1794,Expert
13,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,882,4,38,1832,Expert
14,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,2714,3,-47,1785,Expert
15,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,2249,3,-24,1761,Expert
16,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,732,4,54,1815,Expert
17,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,1378,4,-6,1809,Expert
18,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,271,5,98,1907,Candidate Master
19,Codeforces Global Round 9,Jul/04/2020 17:45,2273,3,-21,1886,Expert
20,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,3936,1,-88,1798,Expert
21,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,2169,4,-37,1761,Expert
22,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,1312,2,15,1776,Expert
23,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,795,4,56,1832,Expert
24,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,877,3,27,1859,Expert
25,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,775,3,26,1885,Expert
26,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,951,3,0,1885,Expert
27,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,926,3,-7,1878,Expert
28,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,4870,2,-113,1765,Expert
29,Codeforces Global Round 10,Aug/16/2020 17:35,2545,3,-27,1738,Expert
30,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,1748,3,-4,1734,Expert
31,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,1742,3,-1,1733,Expert
32,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,92,4,148,1881,Expert
33,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,247,4,50,1931,Candidate Master
34,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,3118,2,-96,1835,Expert
35,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,202,5,104,1939,Candidate Master
36,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,736,2,-12,1927,Candidate Master
37,Grakn Forces 2020,Sep/30/2020 17:35,2903,2,-91,1836,Expert
38,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,495,3,32,1868,Expert
39,Codeforces Global Round 11,Oct/10/2020 17:50,1516,3,0,1868,Expert
