#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 776 (Div. 3),Mar/08/2022 17:35,3028,4,501,501,Newbie
2,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,1643,3,409,910,Newbie
3,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,2010,3,280,1190,Newbie
4,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,2875,3,141,1331,Pupil
5,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,1409,3,153,1484,Specialist
6,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,3491,3,40,1524,Specialist
7,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,1032,4,61,1585,Specialist
8,Codeforces Round 780 (Div. 3),Mar/31/2022 17:35,1258,4,-8,1577,Specialist
9,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,544,3,86,1663,Expert
10,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,1626,3,-13,1650,Expert
11,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,1372,3,2,1652,Expert
12,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,415,4,87,1739,Expert
13,Codeforces Round 788 (Div. 2),May/06/2022 17:35,819,4,11,1750,Expert
14,Codeforces Round 789 (Div. 2),May/08/2022 17:35,92,5,121,1871,Expert
15,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,565,4,9,1880,Expert
16,Codeforces Round 791 (Div. 2),May/14/2022 12:35,2120,3,-90,1790,Expert
17,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,544,4,98,1888,Expert
18,Codeforces Round 793 (Div. 2),May/22/2022 17:35,377,4,31,1919,Candidate Master
19,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,1964,3,-77,1842,Expert
20,Codeforces Round 794 (Div. 2),May/25/2022 20:35,133,4,60,1902,Candidate Master
21,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,2044,3,-79,1823,Expert
22,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,45,5,138,1961,Candidate Master
23,Codeforces Round 798 (Div. 2),Jun/10/2022 19:35,734,3,-50,1911,Candidate Master
24,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,314,4,30,1941,Candidate Master
25,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,684,2,-52,1889,Expert
26,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,269,3,51,1940,Candidate Master
27,Codeforces Global Round 21,Jun/25/2022 17:35,957,4,20,1960,Candidate Master
28,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,99,5,85,2045,Candidate Master
29,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,300,3,8,2053,Candidate Master
30,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,356,4,-7,2046,Candidate Master
31,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,373,4,-8,2038,Candidate Master
32,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,394,2,41,2079,Candidate Master
33,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,349,4,-6,2073,Candidate Master
34,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,305,4,0,2073,Candidate Master
35,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1966,3,-80,1993,Candidate Master
36,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,76,4,101,2094,Candidate Master
37,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,277,4,5,2099,Candidate Master
38,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,335,4,-2,2097,Candidate Master
39,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,283,3,59,2156,Master
40,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,257,5,40,2196,Master
41,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,739,4,-33,2163,Master
42,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,597,4,-15,2148,Master
43,Codeforces Global Round 24,Nov/26/2022 17:05,448,4,10,2158,Master
44,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,189,5,92,2250,Master
45,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,823,4,-21,2229,Master
46,Hello 2023,Jan/03/2023 17:35,647,4,-10,2219,Master
47,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,562,4,-15,2204,Master
48,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,732,4,-28,2176,Master
49,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,504,2,-14,2162,Master
