#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,3168,2,-51,1449,Specialist
2,Codeforces Round 552 (Div. 3),Apr/16/2019 17:35,3078,2,-50,1399,Pupil
3,Codeforces Round 569 (Div. 2),Jun/21/2019 20:05,1414,2,29,1428,Specialist
4,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,754,5,70,1498,Specialist
5,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,1356,3,62,1560,Specialist
6,Good Bye 2019,Dec/29/2019 17:05,2441,3,21,1581,Specialist
7,Hello 2020,Jan/04/2020 15:05,1656,3,66,1647,Expert
8,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,175,4,133,1780,Expert
9,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,655,4,46,1826,Expert
10,Codeforces Round 619 (Div. 2),Feb/13/2020 17:35,758,3,19,1845,Expert
11,Codeforces Round 620 (Div. 2),Feb/15/2020 16:05,776,4,14,1859,Expert
12,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,2492,3,-67,1792,Expert
13,Codeforces Round 622 (Div. 2),Feb/23/2020 12:05,2142,2,-60,1732,Expert
14,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,791,3,32,1764,Expert
15,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,457,4,65,1829,Expert
16,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,1841,3,-35,1794,Expert
17,Codeforces Global Round 7,Mar/19/2020 17:35,3950,3,-61,1733,Expert
18,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,1029,4,51,1784,Expert
19,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,2437,3,-17,1767,Expert
20,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,786,4,32,1799,Expert
21,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,409,4,68,1867,Expert
22,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,534,4,40,1907,Candidate Master
23,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,1308,3,-2,1905,Candidate Master
24,Codeforces Round 638 (Div. 2),May/01/2020 17:35,259,4,88,1993,Candidate Master
25,Codeforces Round 641 (Div. 1),May/12/2020 15:35,1073,1,-57,1936,Candidate Master
26,Codeforces Round 643 (Div. 2),May/16/2020 14:35,378,5,56,1992,Candidate Master
27,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,519,4,8,2000,Candidate Master
28,Codeforces Round 645 (Div. 2),May/26/2020 17:35,1674,3,-50,1950,Candidate Master
29,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,163,5,91,2041,Candidate Master
30,Codeforces Round 646 (Div. 2),May/31/2020 17:35,1556,2,-46,1995,Candidate Master
31,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,578,5,17,2012,Candidate Master
32,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,509,4,13,2025,Candidate Master
33,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,62,4,122,2147,Master
34,Codeforces Global Round 8,Jun/18/2020 17:45,1071,4,-20,2127,Master
35,Codeforces Global Round 9,Jul/04/2020 17:45,2021,3,-61,2066,Candidate Master
36,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,137,3,80,2146,Master
37,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,1312,1,-107,2039,Candidate Master
38,Codeforces Round 659 (Div. 1),Jul/24/2020 17:35,503,2,38,2077,Candidate Master
39,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,191,5,53,2130,Master
40,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,542,1,-1,2129,Master
41,Codeforces Global Round 10,Aug/16/2020 17:35,838,5,-13,2116,Master
