#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 84 (Div. 2 Only),Aug/29/2011 20:00,293,3,31,1531,Specialist
2,Codeforces Beta Round 85 (Div. 2 Only),Sep/03/2011 16:00,723,2,-69,1462,Specialist
3,Codeforces Beta Round 86 (Div. 2 Only),Sep/08/2011 19:00,288,2,44,1506,Specialist
4,Codeforces Beta Round 87 (Div. 2 Only),Sep/15/2011 19:00,422,3,-28,1478,Specialist
5,Codeforces Beta Round 88,Sep/23/2011 19:00,788,0,-41,1437,Specialist
6,"School Regional Team Contest, Saratov, 2011",Oct/18/2011 10:30,176,6,101,1538,Specialist
7,Codeforces Beta Round 92 (Div. 2 Only),Nov/03/2011 19:10,49,3,113,1651,Expert
8,Codeforces Beta Round 93 (Div. 2 Only),Nov/09/2011 21:00,278,2,-37,1614,Expert
9,Codeforces Beta Round 94 (Div. 2 Only),Nov/15/2011 10:10,125,3,30,1644,Expert
10,Codeforces Beta Round 95 (Div. 2),Nov/25/2011 19:00,35,5,92,1736,Expert
11,Codeforces Beta Round 96 (Div. 1),Dec/03/2011 19:00,358,1,-46,1690,Expert
12,Codeforces Beta Round 97 (Div. 2),Dec/09/2011 19:05,792,2,-78,1612,Expert
13,Codeforces Beta Round 98 (Div. 2),Dec/16/2011 10:00,24,4,86,1698,Expert
14,Codeforces Beta Round 99 (Div. 2),Dec/24/2011 16:00,501,1,-78,1620,Expert
15,Codeforces Round 100,Jan/04/2012 19:00,86,4,284,1904,Candidate Master
16,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,430,1,-71,1833,Expert
17,Codeforces Round 109 (Div. 1),Feb/24/2012 19:00,279,1,-20,1813,Expert
18,Codeforces Round 110 (Div. 1),Feb/29/2012 21:30,216,2,9,1822,Expert
19,VK Cup 2012 Round 1,Mar/11/2012 19:05,935,1,-93,1729,Expert
20,Codeforces Round 114 (Div. 1),Mar/27/2012 19:00,251,1,-9,1720,Expert
21,Croc Champ 2012 - Round 1,Apr/06/2012 19:00,168,2,118,1838,Expert
22,VK Cup 2012 Round 3,Apr/08/2012 19:05,314,0,-69,1769,Expert
23,Croc Champ 2012 - Round 2,Apr/20/2012 19:05,114,2,57,1826,Expert
24,ABBYY Cup 2.0 - Hard,Apr/28/2012 16:00,127,12,23,1849,Expert
25,Codeforces Round 119 (Div. 1),May/10/2012 19:30,267,1,-59,1790,Expert
26,Codeforces Round 122 (Div. 1),Jun/03/2012 19:30,247,0,-55,1735,Expert
27,Codeforces Round 124 (Div. 1),Jun/12/2012 17:00,190,1,32,1767,Expert
28,Codeforces Round 125 (Div. 1),Jun/22/2012 19:30,195,1,-19,1748,Expert
29,Codeforces Round 127 (Div. 1),Jun/29/2012 19:30,256,1,-43,1705,Expert
30,Codeforces Round 129 (Div. 1),Jul/11/2012 19:30,169,2,30,1735,Expert
31,Codeforces Round 134 (Div. 1),Aug/18/2012 11:05,258,1,-39,1696,Expert
32,Codeforces Round 135 (Div. 2),Aug/27/2012 19:30,78,3,35,1731,Expert
33,Codeforces Round 136 (Div. 1),Aug/31/2012 19:30,433,0,-63,1668,Expert
34,Codeforces Round 138 (Div. 2),Sep/16/2012 19:30,610,1,-85,1583,Specialist
35,Codeforces Round 139 (Div. 2),Sep/19/2012 19:45,8,4,143,1726,Expert
36,"Codeforces Round 145 (Div. 1, ACM-ICPC Rules)",Oct/16/2012 11:00,56,4,100,1826,Expert
37,Codeforces Round 146 (Div. 1),Oct/21/2012 11:10,30,2,133,1959,Candidate Master
38,Codeforces Round 153 (Div. 1),Dec/06/2012 19:30,212,2,-47,1912,Candidate Master
39,Codeforces Round 157 (Div. 1),Dec/22/2012 19:30,140,2,53,1965,Candidate Master
40,Codeforces Round 165 (Div. 1),Feb/01/2013 19:30,273,1,-45,1920,Candidate Master
41,Codeforces Round 167 (Div. 1),Feb/13/2013 19:30,21,3,151,2071,Candidate Master
42,Codeforces Round 168 (Div. 1),Feb/20/2013 19:30,252,2,-68,2003,Candidate Master
43,Codeforces Round 170 (Div. 1),Feb/28/2013 19:30,319,1,-63,1940,Candidate Master
44,Codeforces Round 180 (Div. 1),Apr/19/2013 19:30,319,2,-53,1887,Expert
45,Croc Champ 2013 - Round 2,Apr/22/2013 19:35,319,1,-32,1855,Expert
46,Codeforces Round 183 (Div. 1),May/12/2013 17:00,198,2,9,1864,Expert
47,"Croc Champ 2013 - Finals (online version, Div. 1)",May/17/2013 19:10,43,2,67,1931,Candidate Master
48,ABBYY Cup 3.0,Jun/12/2013 17:00,286,6,11,1942,Candidate Master
49,Codeforces Round 188 (Div. 1),Jun/14/2013 19:30,353,1,-55,1887,Expert
