#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 317 [AimFund Thanks-Round] (Div. 2),Aug/22/2015 19:30,528,2,139,1639,Expert
2,Codeforces Round 331 (Div. 2),Nov/15/2015 19:35,87,3,124,1763,Expert
3,Codeforces Round 332 (Div. 2),Nov/20/2015 19:35,670,3,-26,1737,Expert
4,Codeforces Round 336 (Div. 2),Dec/23/2015 19:35,870,2,-34,1703,Expert
5,Codeforces Round 337 (Div. 2),Dec/27/2015 14:20,783,2,-31,1672,Expert
6,Good Bye 2015,Dec/30/2015 18:05,1239,3,22,1694,Expert
7,Codeforces Round 338 (Div. 2),Jan/08/2016 17:05,1222,1,-56,1638,Expert
8,Codeforces Round 341 (Div. 2),Jan/31/2016 17:05,410,3,52,1690,Expert
9,Codeforces Round 352 (Div. 2),May/11/2016 19:35,138,3,85,1775,Expert
10,Codeforces Round 354 (Div. 2),May/25/2016 18:05,145,4,61,1836,Expert
11,Codeforces Round 356 (Div. 2),Jun/08/2016 19:35,109,3,63,1899,Expert
12,Codeforces Round 358 (Div. 2),Jun/17/2016 19:35,251,3,-1,1898,Expert
13,Canada Cup 2016,Oct/22/2016 18:05,406,4,44,1942,Candidate Master
14,"Codeforces Round 380 (Div. 1, Rated, Based on Technocup 2017 - Elimination Round 2)",Nov/20/2016 12:05,310,2,-30,1912,Candidate Master
15,Codeforces Round 383 (Div. 1),Dec/06/2016 17:35,231,2,53,1965,Candidate Master
16,Good Bye 2016,Dec/30/2016 17:15,483,4,48,2013,Candidate Master
17,"Codecraft-17 and Codeforces Round 391 (Div. 1 + Div. 2, combined)",Jan/12/2017 18:35,1455,2,-90,1923,Candidate Master
18,8VC Venture Cup 2017 - Elimination Round,Jan/15/2017 20:05,917,3,-35,1888,Expert
19,Codeforces Round 395 (Div. 2),Feb/02/2017 16:35,18,4,137,2025,Candidate Master
20,"Codeforces Round 403 (Div. 1, based on Technocup 2017 Finals)",Mar/05/2017 16:05,441,1,-75,1950,Candidate Master
21,Codeforces Round 429 (Div. 1),Aug/18/2017 18:05,268,2,25,1975,Candidate Master
22,AIM Tech Round 4 (Div. 1),Aug/24/2017 19:35,385,1,-41,1934,Candidate Master
23,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,269,2,43,1977,Candidate Master
24,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,361,1,-74,1903,Candidate Master
25,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Sep/06/2017 15:55,433,1,-51,1852,Expert
26,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,1452,2,-78,1774,Expert
27,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,820,4,29,1803,Expert
28,Educational Codeforces Round 54 (Rated for Div. 2),Nov/12/2018 17:35,540,3,1,1804,Expert
29,Codeforces Round 523 (Div. 2),Nov/22/2018 18:45,559,3,8,1812,Expert
30,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,1478,2,-81,1731,Expert
31,Educational Codeforces Round 55 (Rated for Div. 2),Nov/28/2018 17:35,554,3,30,1761,Expert
32,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,2191,2,-83,1678,Expert
33,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,12,5,218,1896,Expert
34,Educational Codeforces Round 56 (Rated for Div. 2),Dec/15/2018 17:35,1119,3,-69,1827,Expert
35,Avito Cool Challenge 2018,Dec/16/2018 17:35,273,5,93,1920,Candidate Master
36,"Codeforces Round 528 (Div. 1, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,285,2,35,1955,Candidate Master
37,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,582,4,-27,1928,Candidate Master
38,Good Bye 2018,Dec/30/2018 17:35,427,4,86,2014,Candidate Master
39,Hello 2019,Jan/04/2019 17:45,1616,3,-62,1952,Candidate Master
40,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,849,3,-57,1895,Expert
41,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,118,3,87,1982,Candidate Master
42,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,1209,3,-78,1904,Candidate Master
43,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,276,4,19,1923,Candidate Master
