#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 528 (Div. 2, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,870,3,38,1538,Specialist
2,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,600,4,86,1624,Expert
3,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,439,5,178,1802,Expert
4,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,233,4,89,1891,Expert
5,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,415,4,35,1926,Candidate Master
6,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,919,4,-13,1913,Candidate Master
7,Codeforces Global Round 7,Mar/19/2020 17:35,937,5,43,1956,Candidate Master
8,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,216,5,78,2034,Candidate Master
9,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,82,5,107,2141,Master
10,"Codeforces Round 631 (Div. 1) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,144,3,127,2268,Master
11,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,1005,2,-89,2179,Master
12,Codeforces Round 635 (Div. 1),Apr/15/2020 17:35,500,3,8,2187,Master
13,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,902,1,-78,2109,Master
14,Codeforces Global Round 8,Jun/18/2020 17:45,1113,4,-14,2095,Candidate Master
15,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,99,5,73,2168,Master
16,Codeforces Global Round 9,Jul/04/2020 17:45,338,5,74,2242,Master
17,Codeforces Round 658 (Div. 1),Jul/21/2020 17:35,384,3,7,2249,Master
18,Codeforces Round 664 (Div. 1),Aug/12/2020 17:35,97,3,113,2362,International Master
19,Codeforces Global Round 10,Aug/16/2020 17:35,259,6,18,2380,International Master
20,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,169,3,30,2410,Grandmaster
21,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,348,3,-40,2370,International Master
22,Grakn Forces 2020,Sep/30/2020 17:35,650,4,-49,2321,International Master
23,Codeforces Global Round 11,Oct/10/2020 17:50,974,3,-65,2256,Master
24,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,421,2,-23,2233,Master
25,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,344,2,-5,2228,Master
26,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,251,5,49,2277,Master
27,Codeforces Global Round 21,Jun/25/2022 17:35,1081,4,-74,2203,Master
28,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,466,5,20,2223,Master
29,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,255,4,33,2256,Master
30,Codeforces Global Round 22,Sep/30/2022 17:35,294,5,37,2293,Master
31,Dytechlab Cup 2022,Oct/07/2022 17:35,896,3,-80,2213,Master
32,Codeforces Global Round 23,Oct/15/2022 17:35,670,4,-11,2202,Master
33,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,337,4,22,2224,Master
34,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,207,5,38,2262,Master
35,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,80,6,127,2389,International Master
36,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,467,4,-49,2340,International Master
37,Codeforces Global Round 24,Nov/26/2022 17:05,138,6,62,2402,Grandmaster
38,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,311,6,-12,2390,International Master
39,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,1187,4,-85,2305,International Master
40,Hello 2023,Jan/03/2023 17:35,545,4,-13,2292,Master
41,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,333,5,12,2304,International Master
42,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,428,5,-4,2300,International Master
43,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,94,4,116,2416,Grandmaster
44,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,340,6,-29,2387,International Master
