#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,2044,3,-17,1483,Specialist
2,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,594,3,59,1542,Specialist
3,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,282,4,136,1678,Expert
4,Good Bye 2018,Dec/30/2018 17:35,4166,2,-69,1609,Expert
5,Codeforces Round 530 (Div. 2),Jan/05/2019 19:35,1294,3,-6,1603,Expert
6,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,747,3,41,1644,Expert
7,Codeforces Global Round 1,Feb/07/2019 16:35,956,3,83,1727,Expert
8,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,690,3,37,1764,Expert
9,Codeforces Round 549 (Div. 2),Mar/30/2019 20:10,209,4,54,1818,Expert
10,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,1386,3,-51,1767,Expert
11,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,431,4,61,1828,Expert
12,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,117,4,88,1916,Candidate Master
13,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,1720,2,-60,1856,Expert
14,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,924,3,21,1877,Expert
15,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,824,3,-39,1838,Expert
16,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,3,5,247,2085,Candidate Master
17,Good Bye 2019,Dec/29/2019 17:05,663,4,11,2096,Candidate Master
18,Hello 2020,Jan/04/2020 15:05,1337,3,-46,2050,Candidate Master
19,Educational Codeforces Round 84 (Rated for Div. 2),Mar/23/2020 17:35,655,4,-7,2043,Candidate Master
20,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,506,4,13,2056,Candidate Master
21,Codeforces Round 632 (Div. 2),Apr/08/2020 17:35,126,5,80,2136,Master
22,Codeforces Round 633 (Div. 1),Apr/12/2020 17:05,803,2,-36,2100,Master
23,"Codeforces Round 647 (Div. 1) - Thanks, Algo Muse!",Jun/04/2020 17:35,336,2,52,2152,Master
24,Codeforces Global Round 8,Jun/18/2020 17:45,133,5,130,2282,Master
25,Codeforces Global Round 9,Jul/04/2020 17:45,144,6,101,2383,International Master
26,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,202,3,18,2401,Grandmaster
27,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,346,5,-20,2381,International Master
28,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,515,4,-14,2367,International Master
29,Hello 2023,Jan/03/2023 17:35,1015,4,-83,2284,Master
30,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,949,4,-71,2213,Master
31,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,781,4,-56,2157,Master
