#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,163,4,747,747,Newbie
2,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,167,5,511,1258,Pupil
3,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,2,5,582,1840,Expert
4,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,132,5,190,2030,Candidate Master
5,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,577,4,44,2074,Candidate Master
6,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,28,4,161,2235,Master
7,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,149,3,53,2288,Master
8,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,180,6,60,2348,International Master
9,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,236,5,55,2403,Grandmaster
10,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,44,6,135,2538,Grandmaster
