#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 241 (Div. 2),Apr/13/2014 12:00,875,1,-64,1436,Specialist
2,Codeforces Round 282 (Div. 2),Dec/13/2014 19:30,195,2,195,1631,Expert
3,Codeforces Round 285 (Div. 2),Jan/12/2015 12:00,807,2,-100,1531,Specialist
4,Codeforces Round 286 (Div. 2),Jan/18/2015 16:00,830,1,-58,1473,Specialist
5,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,34,5,331,1804,Expert
6,Codeforces Round 646 (Div. 2),May/31/2020 17:35,763,4,58,1862,Expert
7,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,263,6,99,1961,Candidate Master
8,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,232,4,74,2035,Candidate Master
9,Codeforces Global Round 8,Jun/18/2020 17:45,645,4,50,2085,Candidate Master
10,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,74,5,86,2171,Master
11,Codeforces Global Round 9,Jul/04/2020 17:45,5499,2,-169,2002,Candidate Master
12,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,665,3,-8,1994,Candidate Master
13,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,3,5,245,2239,Master
14,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,456,3,-31,2208,Master
15,Codeforces Global Round 12,Dec/06/2020 17:35,439,5,19,2227,Master
16,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,229,3,33,2260,Master
17,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,238,3,49,2309,International Master
18,Codeforces Global Round 15,Jul/25/2021 17:35,443,5,-4,2305,International Master
19,Codeforces Round 736 (Div. 1),Aug/01/2021 17:35,765,2,-81,2224,Master
20,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,82,4,140,2364,International Master
21,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,516,5,-30,2334,International Master
22,Codeforces Global Round 16,Sep/12/2021 17:35,767,6,-56,2278,Master
23,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,133,3,95,2373,International Master
24,Codeforces Global Round 17,Nov/23/2021 17:35,97,5,89,2462,Grandmaster
25,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,464,4,-57,2405,Grandmaster
26,Codeforces Round 794 (Div. 1),May/25/2022 20:35,438,1,-113,2292,Master
27,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,131,3,70,2362,International Master
28,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,297,3,-18,2344,International Master
29,Codeforces Global Round 21,Jun/25/2022 17:35,256,5,35,2379,International Master
30,Codeforces Global Round 22,Sep/30/2022 17:35,216,6,28,2407,Grandmaster
