#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 68 (Rated for Div. 2),Jul/14/2019 17:45,1718,3,18,1518,Specialist
2,Codeforces Round 575 (Div. 3),Jul/24/2019 17:35,3072,2,-57,1461,Specialist
3,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,1552,3,81,1542,Specialist
4,Codeforces Round 582 (Div. 3),Aug/30/2019 17:35,500,5,58,1600,Expert
5,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,830,5,107,1707,Expert
6,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,3017,2,-71,1636,Expert
7,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,2821,2,-51,1585,Specialist
8,Technocup 2020 - Elimination Round 2,Oct/26/2019 14:05,299,3,41,1626,Expert
9,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,3366,3,-63,1563,Specialist
10,Codeforces Round 598 (Div. 3),Nov/04/2019 16:15,140,4,118,1681,Expert
11,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,3220,2,-86,1595,Specialist
12,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,3441,3,-58,1537,Specialist
13,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,2501,2,-17,1520,Specialist
14,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,1041,3,40,1560,Specialist
15,Technocup 2020 - Elimination Round 3,Nov/24/2019 11:05,498,2,-23,1537,Specialist
16,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,4018,1,-85,1452,Specialist
17,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,1833,3,26,1478,Specialist
18,Codeforces Round 605 (Div. 3),Dec/12/2019 16:35,45,5,188,1666,Expert
19,Technocup 2020 - Elimination Round 4,Dec/14/2019 14:05,463,3,-57,1609,Expert
20,Codeforces Round 608 (Div. 2),Dec/15/2019 12:15,1169,3,16,1625,Expert
21,Codeforces Global Round 6,Dec/17/2019 18:05,2741,3,-40,1585,Specialist
22,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,2736,2,-44,1541,Specialist
23,Codeforces Round 609 (Div. 2),Dec/21/2019 14:05,988,2,38,1579,Specialist
24,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,1136,4,42,1621,Expert
25,Codeforces Round 618 (Div. 2),Feb/09/2020 17:05,1104,3,33,1654,Expert
26,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,1633,3,17,1671,Expert
27,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,2444,3,-10,1661,Expert
28,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,3929,2,-72,1589,Specialist
29,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,535,5,45,1634,Expert
30,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,1905,3,12,1646,Expert
31,Codeforces Global Round 7,Mar/19/2020 17:35,5374,3,-61,1585,Specialist
32,Codeforces Round 629 (Div. 3),Mar/26/2020 17:35,153,4,135,1720,Expert
33,Codeforces Round 630 (Div. 2),Mar/31/2020 16:35,1290,4,44,1764,Expert
34,"Codeforces Round 631 (Div. 2) - Thanks, Denis aramis Shitov!",Apr/03/2020 17:35,659,3,48,1812,Expert
35,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,3290,3,-43,1769,Expert
36,Codeforces Round 633 (Div. 2),Apr/12/2020 17:05,5135,3,-89,1680,Expert
37,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,3134,3,-21,1659,Expert
38,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,319,4,128,1787,Expert
39,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,10449,1,-132,1655,Expert
40,Codeforces Round 643 (Div. 2),May/16/2020 14:35,785,4,94,1749,Expert
41,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,1799,3,-6,1743,Expert
42,Codeforces Round 645 (Div. 2),May/26/2020 17:35,2092,3,-2,1741,Expert
43,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,1608,5,20,1761,Expert
44,Codeforces Global Round 8,Jun/18/2020 17:45,4495,3,-61,1700,Expert
45,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,695,4,82,1782,Expert
46,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,3765,3,-67,1715,Expert
47,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,9669,2,-135,1580,Specialist
48,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,273,3,164,1744,Expert
49,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,2970,2,-40,1704,Expert
50,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,577,4,86,1790,Expert
51,Codeforces Global Round 10,Aug/16/2020 17:35,1340,4,32,1822,Expert
52,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,2426,3,-49,1773,Expert
53,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,4397,1,-90,1683,Expert
54,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1539,4,46,1729,Expert
55,Codeforces Round 676 (Div. 2),Oct/18/2020 12:05,16,4,253,1982,Candidate Master
56,Technocup 2021 - Elimination Round 1,Oct/25/2020 14:05,780,2,-143,1839,Expert
57,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,955,4,-4,1835,Expert
58,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,995,3,-32,1803,Expert
59,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,603,4,30,1833,Expert
60,Technocup 2021 - Elimination Round 2,Nov/29/2020 10:05,61,3,41,1874,Expert
61,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,270,4,69,1943,Candidate Master
62,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,902,3,-32,1911,Candidate Master
63,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,772,0,-88,1823,Expert
64,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,2822,2,-70,1753,Expert
65,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,718,3,46,1799,Expert
66,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,607,5,43,1842,Expert
67,Codeforces Global Round 13,Feb/28/2021 16:35,919,4,67,1909,Candidate Master
68,Технокубок 2021 - Финал,Mar/21/2021 13:20,188,4,11,1920,Candidate Master
69,Codeforces Global Round 14,May/02/2021 17:35,461,5,100,2020,Candidate Master
70,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,692,5,22,2042,Candidate Master
71,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,126,5,61,2103,Master
72,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,567,2,-72,2031,Candidate Master
73,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,193,4,38,2069,Candidate Master
74,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,110,5,31,2100,Master
75,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,740,5,-11,2089,Candidate Master
76,Hello 2023,Jan/03/2023 17:35,1365,4,-43,2046,Candidate Master
77,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,510,4,-21,2025,Candidate Master
78,Codeforces Round 845 (Div. 2) and ByteRace 2023,Jan/21/2023 17:35,29,5,122,2147,Master
