#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,1481,3,25,1525,Specialist
2,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,5374,1,-114,1411,Specialist
3,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,1775,3,61,1472,Specialist
4,Codeforces Round 590 (Div. 3),Oct/01/2019 17:35,2428,3,-18,1454,Specialist
5,Technocup 2020 - Elimination Round 2,Oct/26/2019 14:05,784,2,3,1457,Specialist
6,Technocup 2020 - Elimination Round 3,Nov/24/2019 11:05,169,4,87,1544,Specialist
7,Codeforces Round 605 (Div. 3),Dec/12/2019 16:35,272,4,80,1624,Expert
8,"Codeforces Round 606 (Div. 2, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,1949,3,-57,1567,Specialist
9,Технокубок 2020 - Финал,Mar/01/2020 13:10,454,3,-34,1533,Specialist
10,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,1577,3,77,1610,Expert
11,Codeforces Round 641 (Div. 2),May/12/2020 15:35,256,4,143,1753,Expert
12,Codeforces Round 645 (Div. 2),May/26/2020 17:35,1216,4,33,1786,Expert
13,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,815,4,52,1838,Expert
14,Technocup 2021 - Elimination Round 1,Oct/25/2020 14:05,91,4,79,1917,Candidate Master
15,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,159,5,83,2000,Candidate Master
16,"Codeforces Round 687 (Div. 1, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,634,1,-27,1973,Candidate Master
17,Технокубок 2021 - Финал,Mar/21/2021 13:20,55,5,95,2068,Candidate Master
18,Technocup 2022 - Elimination Round 2,Nov/14/2021 09:05,61,3,-46,2022,Candidate Master
19,Технокубок 2022 - Финал,Mar/20/2022 11:15,126,4,-3,2019,Candidate Master
20,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,31,4,126,2145,Master
21,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,993,4,-11,2134,Master
22,Hello 2023,Jan/03/2023 17:35,164,6,130,2264,Master
23,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,413,5,1,2265,Master
