#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,1137,3,638,638,Newbie
2,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,2982,2,366,1004,Newbie
3,Codeforces Round 650 (Div. 3),Jun/16/2020 17:35,20,6,474,1478,Specialist
4,Codeforces Global Round 8,Jun/18/2020 17:45,150,5,385,1863,Expert
5,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,439,4,120,1983,Candidate Master
6,Codeforces Global Round 9,Jul/04/2020 17:45,101,6,249,2232,Master
7,Codeforces Global Round 10,Aug/16/2020 17:35,458,5,10,2242,Master
8,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,106,3,114,2356,International Master
9,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,166,3,38,2394,International Master
10,Codeforces Round 673 (Div. 1),Sep/27/2020 18:05,737,2,-104,2290,Master
11,Grakn Forces 2020,Sep/30/2020 17:35,493,4,-9,2281,Master
12,Codeforces Global Round 11,Oct/10/2020 17:50,178,5,78,2359,International Master
13,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,1713,3,-126,2233,Master
14,"Codeforces Round 680 (Div. 1, based on Moscow Team Olympiad)",Nov/01/2020 14:05,287,2,18,2251,Master
15,"Codeforces Round 681 (Div. 1, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,200,3,43,2294,Master
16,Codeforces Round 684 (Div. 1),Nov/17/2020 17:35,780,1,-103,2191,Master
17,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,630,1,-82,2109,Master
18,"Codeforces Round 692 (Div. 1, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,142,3,113,2222,Master
19,Good Bye 2020,Dec/30/2020 17:35,932,6,-24,2198,Master
20,Codeforces Round 698 (Div. 1),Jan/28/2021 17:35,400,2,-13,2185,Master
21,Codeforces Round 706 (Div. 1),Mar/10/2021 15:05,638,2,-28,2157,Master
22,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,640,2,-38,2119,Master
23,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,313,2,42,2161,Master
24,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1953,3,-97,2064,Candidate Master
25,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,620,4,-32,2032,Candidate Master
26,Codeforces Global Round 14,May/02/2021 17:35,107,6,186,2218,Master
27,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,67,5,171,2389,International Master
28,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,70,6,100,2489,Grandmaster
29,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,47,4,80,2569,Grandmaster
30,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,161,5,20,2589,Grandmaster
31,Codeforces Global Round 19,Feb/12/2022 17:35,50,6,89,2678,International Grandmaster
32,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,224,5,-39,2639,International Grandmaster
33,Dytechlab Cup 2022,Oct/07/2022 17:35,107,5,13,2652,International Grandmaster
