#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,2671,2,-41,1459,Specialist
2,Codeforces Round 515 (Div. 3),Oct/12/2018 17:35,482,4,63,1522,Specialist
3,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,1001,4,47,1569,Specialist
4,Codeforces Round 550 (Div. 3),Mar/31/2019 17:05,681,4,11,1580,Specialist
5,Codeforces Global Round 2,Apr/06/2019 14:35,1041,4,75,1655,Expert
6,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,326,4,100,1755,Expert
7,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,1625,2,-46,1709,Expert
8,Codeforces Round 561 (Div. 2),May/17/2019 18:05,973,3,-5,1704,Expert
9,Codeforces Global Round 3,Jun/01/2019 17:35,2813,1,-82,1622,Expert
10,Codeforces Round 563 (Div. 2),Jun/03/2019 17:05,782,3,42,1664,Expert
11,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,219,4,120,1784,Expert
12,Codeforces Round 564 (Div. 2),Jun/07/2019 15:05,267,3,44,1828,Expert
13,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,1177,2,-47,1781,Expert
14,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,765,4,24,1805,Expert
15,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,1962,2,-42,1763,Expert
16,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,1191,4,25,1788,Expert
17,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,235,4,79,1867,Expert
18,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,1227,3,-56,1811,Expert
19,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,855,3,-20,1791,Expert
20,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,2046,3,-44,1747,Expert
21,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,1874,3,-41,1706,Expert
22,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,1350,3,-13,1693,Expert
23,Codeforces Global Round 5,Oct/16/2019 17:35,5629,1,-123,1570,Specialist
24,Codeforces Round 595 (Div. 3),Oct/22/2019 17:35,292,6,76,1646,Expert
25,Educational Codeforces Round 76 (Rated for Div. 2),Nov/13/2019 17:35,607,4,69,1715,Expert
26,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,659,4,44,1759,Expert
27,Good Bye 2019,Dec/29/2019 17:05,1194,4,44,1803,Expert
28,Hello 2020,Jan/04/2020 15:05,2582,3,-38,1765,Expert
29,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,643,4,44,1809,Expert
30,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,6280,0,-157,1652,Expert
31,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,829,4,90,1742,Expert
32,Codeforces Round 660 (Div. 2),Jul/30/2020 17:35,504,4,87,1829,Expert
33,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,414,4,67,1896,Expert
34,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,84,4,114,2010,Candidate Master
35,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,2293,3,-83,1927,Candidate Master
36,Codeforces Global Round 10,Aug/16/2020 17:35,2879,3,-79,1848,Expert
37,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,183,4,109,1957,Candidate Master
38,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,93,5,112,2069,Candidate Master
39,Codeforces Round 666 (Div. 1),Aug/30/2020 17:35,1122,1,-79,1990,Candidate Master
40,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,773,2,-12,1978,Candidate Master
41,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,2757,2,-89,1889,Expert
42,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,2703,2,-75,1814,Expert
43,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,931,5,14,1828,Expert
44,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,235,5,98,1926,Candidate Master
45,Grakn Forces 2020,Sep/30/2020 17:35,940,4,30,1956,Candidate Master
46,Good Bye 2020,Dec/30/2020 17:35,1653,5,-9,1947,Candidate Master
47,Codeforces Round 694 (Div. 1),Jan/05/2021 17:35,633,2,14,1961,Candidate Master
48,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,1028,2,-24,1937,Candidate Master
49,Codeforces Round 716 (Div. 2),Apr/19/2021 16:35,181,4,63,2000,Candidate Master
50,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,29,4,146,2146,Master
51,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1834,3,-87,2059,Candidate Master
52,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,27,4,134,2193,Master
53,Codeforces Global Round 14,May/02/2021 17:35,426,5,32,2225,Master
54,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,781,1,-84,2141,Master
55,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,541,5,23,2164,Master
56,Codeforces Global Round 16,Sep/12/2021 17:35,271,6,75,2239,Master
57,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,482,5,-9,2230,Master
58,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,79,3,155,2385,International Master
59,"Codeforces Round 755 (Div. 1, based on Technocup 2022 Elimination Round 2)",Nov/14/2021 09:05,386,2,-76,2309,International Master
60,Codeforces Global Round 17,Nov/23/2021 17:35,402,4,-10,2299,Master
61,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,450,4,-13,2286,Master
62,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,315,3,-4,2282,Master
63,Codeforces Global Round 18,Dec/24/2021 17:35,747,3,-49,2233,Master
64,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,984,4,-46,2187,Master
65,Hello 2022,Jan/03/2022 17:35,414,4,38,2225,Master
66,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,210,5,65,2290,Master
67,Codeforces Global Round 19,Feb/12/2022 17:35,849,4,-55,2235,Master
68,Codeforces Round 773 (Div. 1),Feb/23/2022 13:10,352,2,5,2240,Master
69,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,116,3,97,2337,International Master
70,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,343,5,-2,2335,International Master
71,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,84,6,123,2458,Grandmaster
72,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,246,2,-19,2439,Grandmaster
73,Codeforces Global Round 20,Apr/23/2022 17:05,574,5,-62,2377,International Master
74,Codeforces Round 789 (Div. 1),May/08/2022 17:35,287,3,-19,2358,International Master
75,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,130,5,68,2426,Grandmaster
76,Codeforces Round 794 (Div. 1),May/25/2022 20:35,65,3,71,2497,Grandmaster
77,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,88,3,47,2544,Grandmaster
78,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,68,4,72,2616,International Grandmaster
79,Codeforces Global Round 21,Jun/25/2022 17:35,206,5,-17,2599,Grandmaster
80,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,475,2,-113,2486,Grandmaster
81,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,467,5,-51,2435,Grandmaster
82,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,51,4,110,2545,Grandmaster
83,Codeforces Global Round 22,Sep/30/2022 17:35,241,6,-21,2524,Grandmaster
84,Dytechlab Cup 2022,Oct/07/2022 17:35,255,4,-25,2499,Grandmaster
85,Codeforces Global Round 23,Oct/15/2022 17:35,126,5,52,2551,Grandmaster
86,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,629,3,-119,2432,Grandmaster
87,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,699,4,-92,2340,International Master
88,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,34,6,170,2510,Grandmaster
89,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,83,6,75,2585,Grandmaster
