#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,2951,3,546,546,Newbie
2,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,2239,3,401,947,Newbie
3,Educational Codeforces Round 93 (Rated for Div. 2),Aug/14/2020 17:35,3303,3,259,1206,Pupil
4,Codeforces Global Round 10,Aug/16/2020 17:35,1531,4,246,1452,Specialist
5,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,2616,2,102,1554,Specialist
6,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,318,4,174,1728,Expert
7,Codeforces Round 668 (Div. 2),Sep/06/2020 17:35,2068,3,-33,1695,Expert
8,Codeforces Round 669 (Div. 2),Sep/08/2020 17:35,3676,2,-52,1643,Expert
9,Codeforces Round 670 (Div. 2),Sep/12/2020 16:45,4607,2,-70,1573,Specialist
10,Codeforces Round 671 (Div. 2),Sep/19/2020 17:35,1723,4,31,1604,Expert
11,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,1575,4,37,1641,Expert
12,Codeforces Round 673 (Div. 2),Sep/27/2020 18:05,1226,3,-3,1638,Expert
13,Grakn Forces 2020,Sep/30/2020 17:35,4258,2,-76,1562,Specialist
14,Codeforces Global Round 11,Oct/10/2020 17:50,3412,2,-21,1541,Specialist
15,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,4207,3,-40,1501,Specialist
16,Codeforces Round 678 (Div. 2),Oct/24/2020 17:05,558,4,125,1626,Expert
17,"Codeforces Round 679 (Div. 2, based on Technocup 2021 Elimination Round 1)",Oct/25/2020 14:05,2639,2,-73,1553,Specialist
18,Educational Codeforces Round 97 (Rated for Div. 2),Oct/27/2020 17:35,1191,3,57,1610,Expert
19,"Codeforces Round 681 (Div. 2, based on VK Cup 2019-2020 - Final)",Nov/02/2020 17:35,806,4,34,1644,Expert
20,"Codeforces Round 683 (Div. 2, by Meet IT)",Nov/15/2020 17:35,854,3,11,1655,Expert
21,Codeforces Round 684 (Div. 2),Nov/17/2020 17:35,567,4,50,1705,Expert
22,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,813,4,36,1741,Expert
23,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,158,6,146,1887,Expert
24,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,2755,2,-129,1758,Expert
25,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,1491,4,-11,1747,Expert
26,Codeforces Round 688 (Div. 2),Dec/04/2020 16:05,739,4,32,1779,Expert
27,Codeforces Global Round 12,Dec/06/2020 17:35,669,4,97,1876,Expert
28,"Codeforces Round 689 (Div. 2, based on Zed Code Competition)",Dec/11/2020 17:35,350,4,42,1918,Candidate Master
29,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,744,3,1,1919,Candidate Master
30,Codeforces Round 691 (Div. 1),Dec/19/2020 12:35,661,1,-48,1871,Expert
31,Good Bye 2020,Dec/30/2020 17:35,1635,5,13,1884,Expert
32,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,5578,1,-126,1758,Expert
33,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,1471,3,-10,1748,Expert
34,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,1877,3,-29,1719,Expert
35,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,1354,4,20,1739,Expert
36,Codeforces Round 699 (Div. 2),Feb/05/2021 17:35,880,3,37,1776,Expert
37,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,2813,2,-60,1716,Expert
38,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,761,3,54,1770,Expert
39,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,1188,3,-3,1767,Expert
40,Codeforces Global Round 13,Feb/28/2021 16:35,1614,3,28,1795,Expert
41,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,2683,2,-61,1734,Expert
42,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,653,3,46,1780,Expert
43,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,4290,3,-112,1668,Expert
44,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,1064,3,26,1694,Expert
45,CodeCraft-21 and Codeforces Round 711 (Div. 2),Mar/29/2021 17:35,941,3,26,1720,Expert
46,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,134,4,120,1840,Expert
