#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 299 (Div. 2),Apr/14/2015 19:35,1418,2,-55,1445,Specialist
2,Codeforces Round 304 (Div. 2),May/22/2015 19:30,754,3,70,1515,Specialist
3,Codeforces Round 305 (Div. 2),May/26/2015 19:35,340,2,105,1620,Expert
4,Codeforces Round 306 (Div. 2),Jun/04/2015 19:30,440,3,7,1627,Expert
5,Looksery Cup 2015,Jun/06/2015 16:00,1172,2,87,1714,Expert
6,Codeforces Round 309 (Div. 1),Jun/24/2015 19:30,745,0,-70,1644,Expert
7,Codeforces Round 310 (Div. 2),Jun/27/2015 17:10,1278,2,-85,1559,Specialist
8,Codeforces Round 311 (Div. 2),Jun/30/2015 18:00,1363,1,-90,1469,Specialist
9,Codeforces Round 312 (Div. 2),Jul/14/2015 18:10,117,3,215,1684,Expert
10,Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 2),Aug/29/2015 19:30,540,3,-62,1622,Expert
11,Codeforces Round 319 (Div. 2),Sep/10/2015 19:30,866,2,-62,1560,Specialist
12,Codeforces Round 320 (Div. 2) [Bayan Thanks-Round],Sep/16/2015 18:15,825,2,5,1565,Specialist
13,Codeforces Round 323 (Div. 2),Oct/03/2015 19:45,754,3,26,1591,Specialist
14,Codeforces Round 326 (Div. 2),Oct/15/2015 19:30,2300,1,-59,1532,Specialist
15,Codeforces Round 333 (Div. 2),Nov/24/2015 19:35,2392,0,-117,1415,Specialist
16,Codeforces Round 336 (Div. 2),Dec/23/2015 19:35,1479,1,0,1415,Specialist
17,Good Bye 2015,Dec/30/2015 18:05,2396,3,17,1432,Specialist
18,Codeforces Round 340 (Div. 2),Jan/23/2016 18:35,2203,1,-46,1386,Pupil
19,Codeforces Round 344 (Div. 2),Mar/03/2016 19:35,1061,2,27,1413,Specialist
20,Codeforces Round 366 (Div. 2),Aug/07/2016 17:05,1318,2,38,1451,Specialist
21,Codeforces Round 372 (Div. 2),Sep/17/2016 16:45,456,3,116,1567,Specialist
22,Codeforces Round 379 (Div. 2),Nov/15/2016 19:35,1794,2,-45,1522,Specialist
23,Codeforces Round 381 (Div. 2),Nov/23/2016 19:35,1517,2,-16,1506,Specialist
24,"Codeforces Round 389 (Div. 2, Rated, Based on Technocup 2017 - Elimination Round 3)",Dec/25/2016 12:05,210,3,104,1610,Expert
