#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 690 (Div. 3),Dec/15/2020 17:35,9334,2,393,393,Newbie
2,Educational Codeforces Round 100 (Rated for Div. 2),Dec/17/2020 17:35,4364,1,364,757,Newbie
3,Codeforces Round 691 (Div. 2),Dec/19/2020 12:35,6175,1,165,922,Newbie
4,"Codeforces Round 692 (Div. 2, based on Technocup 2021 Elimination Round 3)",Dec/20/2020 18:05,3202,2,181,1103,Newbie
5,Educational Codeforces Round 101 (Rated for Div. 2),Dec/28/2020 17:35,7169,2,69,1172,Newbie
6,Good Bye 2020,Dec/30/2020 17:35,6804,3,62,1234,Pupil
7,Codeforces Round 693 (Div. 3),Jan/04/2021 17:35,4925,3,3,1237,Pupil
8,Codeforces Round 694 (Div. 2),Jan/05/2021 17:35,5657,2,7,1244,Pupil
9,Codeforces Round 695 (Div. 2),Jan/08/2021 17:35,2771,1,92,1336,Pupil
10,Educational Codeforces Round 102 (Rated for Div. 2),Jan/14/2021 17:35,3140,3,40,1376,Pupil
11,Codeforces Round 696 (Div. 2),Jan/19/2021 17:35,6190,2,-38,1338,Pupil
12,Codeforces Round 698 (Div. 2),Jan/28/2021 17:35,7808,1,-52,1286,Pupil
13,Educational Codeforces Round 103 (Rated for Div. 2),Jan/29/2021 17:35,1533,4,135,1421,Specialist
14,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,2656,2,32,1453,Specialist
15,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,3599,2,-14,1439,Specialist
16,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,1160,4,99,1538,Specialist
17,Codeforces Round 702 (Div. 3),Feb/16/2021 17:35,2571,4,-38,1500,Specialist
18,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1653,3,64,1564,Specialist
19,Codeforces Round 704 (Div. 2),Feb/23/2021 12:05,2348,3,-8,1556,Specialist
20,Codeforces Global Round 13,Feb/28/2021 16:35,3253,2,-1,1555,Specialist
21,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,5168,1,-69,1486,Specialist
22,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,575,3,130,1616,Expert
23,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,3240,2,-50,1566,Specialist
24,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,1001,3,27,1593,Specialist
