#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 234 (Div. 2),Mar/05/2014 19:30,685,2,-2,1498,Specialist
2,Codeforces Round 236 (Div. 2),Mar/16/2014 19:30,552,2,2,1500,Specialist
3,Codeforces Round 244 (Div. 2),May/02/2014 19:30,50,4,194,1694,Expert
4,Codeforces Round 250 (Div. 2),Jun/01/2014 17:00,14,4,79,1773,Expert
5,Codeforces Round 253 (Div. 1),Jun/19/2014 19:30,147,2,104,1877,Expert
6,Codeforces Round 260 (Div. 1),Aug/08/2014 19:30,186,2,128,2005,Candidate Master
7,Codeforces Round 286 (Div. 1),Jan/18/2015 16:00,202,2,37,2042,Candidate Master
8,Codeforces Round 290 (Div. 1),Feb/02/2015 19:30,556,1,-81,1961,Candidate Master
9,Rockethon 2015,Feb/07/2015 20:00,365,5,88,2049,Candidate Master
10,Codeforces Round 292 (Div. 1),Feb/17/2015 19:35,518,1,-77,1972,Candidate Master
11,Codeforces Round 296 (Div. 1),Mar/17/2015 19:45,132,2,144,2116,Master
12,"VK Cup 2015 - Round 1 (unofficial online mirror, Div. 1 only)",Mar/21/2015 19:45,56,3,73,2189,Master
13,ZeptoLab Code Rush 2015,Apr/04/2015 19:35,550,3,-78,2111,Master
14,Codeforces Round 299 (Div. 1),Apr/14/2015 19:35,224,1,-14,2097,Candidate Master
15,"VK Cup 2015 - Round 2 (unofficial online mirror, Div. 1 only)",Apr/17/2015 19:00,42,4,88,2185,Master
16,Codeforces Round 300,Apr/26/2015 19:00,314,5,-10,2175,Master
17,"VK Cup 2015 - Round 3 (unofficial online mirror, Div. 1 only)",May/03/2015 19:00,37,2,87,2262,Master
18,Codeforces Round 302 (Div. 1),May/07/2015 19:30,102,2,38,2300,International Master
19,Codeforces Round 305 (Div. 1),May/26/2015 19:35,249,2,-71,2229,Master
20,Looksery Cup 2015,Jun/06/2015 16:00,316,4,9,2238,Master
21,Codeforces Round 309 (Div. 1),Jun/24/2015 19:30,146,3,2,2240,Master
22,Codeforces Round 310 (Div. 1),Jun/27/2015 17:10,161,3,30,2270,Master
23,"VK Cup 2015 - Finals, online mirror",Jul/30/2015 19:20,39,3,53,2323,International Master
24,Codeforces Round 315 (Div. 1),Aug/10/2015 19:30,98,2,18,2341,International Master
25,Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),Aug/22/2015 19:30,380,1,-106,2235,Master
26,Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 1),Aug/29/2015 19:30,692,2,-117,2118,Master
27,Codeforces Round 319 (Div. 1),Sep/10/2015 19:30,345,2,-63,2055,Candidate Master
28,Codeforces Round 320 (Div. 1) [Bayan Thanks-Round],Sep/16/2015 18:15,733,1,-112,1943,Candidate Master
29,Codeforces Round 326 (Div. 1),Oct/15/2015 19:30,174,3,43,1986,Candidate Master
30,Codeforces Round 333 (Div. 1),Nov/24/2015 19:35,67,3,134,2120,Master
31,Codeforces Round 334 (Div. 1),Dec/01/2015 18:35,26,3,170,2290,Master
