#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 19,Jun/24/2010 19:00,351,1,-68,1432,Specialist
2,Codeforces Beta Round 22 (Div. 2 Only),Jun/29/2010 19:00,15,4,148,1580,Specialist
3,Codeforces Beta Round 24,Jul/26/2010 17:00,126,3,105,1685,Expert
4,School Personal Contest #2 (Winter Computer School 2010/11) - Codeforces Beta Round 43 (ACM-ICPC Rules),Dec/05/2010 11:00,90,5,131,1816,Expert
5,Codeforces Beta Round 48,Dec/28/2010 19:00,263,1,-95,1721,Expert
6,Codeforces Beta Round 50,Jan/11/2011 11:15,185,1,-65,1656,Expert
7,Codeforces Beta Round 56,Feb/19/2011 19:00,73,3,193,1849,Expert
8,Codeforces Beta Round 58,Feb/25/2011 19:00,69,2,-45,1804,Expert
9,Codeforces Beta Round 60,Mar/05/2011 19:00,475,0,-131,1673,Expert
10,Codeforces Beta Round 62,Mar/18/2011 19:00,190,2,96,1769,Expert
11,Codeforces Beta Round 64,Mar/26/2011 19:00,460,1,-92,1677,Expert
12,Codeforces Beta Round 66,Apr/10/2011 12:00,100,3,121,1798,Expert
13,Codeforces Beta Round 69 (Div. 1 Only),Apr/19/2011 19:15,202,2,-16,1782,Expert
14,Codeforces Beta Round 71,Apr/30/2011 19:00,112,3,111,1893,Expert
15,Yandex.Algorithm 2011: Qualification 2,May/06/2011 19:00,299,3,-25,1868,Expert
16,Codeforces Beta Round 72 (Div. 1 Only),May/13/2011 19:10,136,2,37,1905,Candidate Master
17,Yandex.Algorithm 2011: Round 1,May/20/2011 19:00,376,2,-65,1840,Expert
18,Codeforces Beta Round 73 (Div. 1 Only),Jun/07/2011 19:00,96,3,82,1922,Candidate Master
19,Codeforces Beta Round 74 (Div. 1 Only),Jun/16/2011 19:00,100,2,45,1967,Candidate Master
20,Codeforces Beta Round 75 (Div. 1 Only),Jun/20/2011 19:00,265,2,-85,1882,Expert
21,Codeforces Beta Round 76 (Div. 1 Only),Jun/30/2011 19:00,127,2,6,1888,Expert
22,Codeforces Beta Round 77 (Div. 1 Only),Jul/08/2011 19:00,166,2,-38,1850,Expert
23,Codeforces Beta Round 80 (Div. 1 Only),Aug/07/2011 15:00,274,1,-80,1770,Expert
24,Codeforces Beta Round 83 (Div. 1 Only),Aug/23/2011 19:00,76,1,104,1874,Expert
25,Codeforces Beta Round 84 (Div. 1 Only),Aug/29/2011 20:00,201,2,3,1877,Expert
26,Codeforces Beta Round 85 (Div. 1 Only),Sep/03/2011 16:00,143,2,39,1916,Candidate Master
27,Codeforces Beta Round 91 (Div. 1 Only),Oct/27/2011 19:00,127,3,51,1967,Candidate Master
28,Codeforces Beta Round 92 (Div. 1 Only),Nov/03/2011 19:10,117,2,21,1988,Candidate Master
29,Codeforces Beta Round 93 (Div. 1 Only),Nov/09/2011 21:00,143,1,-18,1970,Candidate Master
30,Codeforces Beta Round 97 (Div. 1),Dec/09/2011 19:05,322,2,-62,1908,Candidate Master
31,Codeforces Beta Round 99 (Div. 1),Dec/24/2011 16:00,208,1,-36,1872,Expert
32,Codeforces Round 100,Jan/04/2012 19:00,120,4,171,2043,Candidate Master
33,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,307,2,-68,1975,Candidate Master
34,Codeforces Round 110 (Div. 1),Feb/29/2012 21:30,147,2,12,1987,Candidate Master
35,VK Cup 2012 Round 1,Mar/11/2012 19:05,539,2,-78,1909,Candidate Master
36,VK Cup 2012 Round 2,Mar/25/2012 19:05,127,2,113,2022,Candidate Master
37,Codeforces Round 114 (Div. 1),Mar/27/2012 19:00,229,1,-73,1949,Candidate Master
38,Codeforces Round 119 (Div. 1),May/10/2012 19:30,289,1,-76,1873,Expert
39,Codeforces Round 121 (Div. 1),May/27/2012 19:30,234,2,-56,1817,Expert
40,Codeforces Round 122 (Div. 1),Jun/03/2012 19:30,247,0,-58,1759,Expert
41,Codeforces Round 124 (Div. 1),Jun/12/2012 17:00,213,1,9,1768,Expert
42,Codeforces Round 125 (Div. 1),Jun/22/2012 19:30,72,2,86,1854,Expert
43,Codeforces Round 127 (Div. 1),Jun/29/2012 19:30,60,3,90,1944,Candidate Master
44,Codeforces Round 129 (Div. 1),Jul/11/2012 19:30,206,2,-53,1891,Expert
45,Codeforces Round 136 (Div. 1),Aug/31/2012 19:30,282,1,-50,1841,Expert
46,Codeforces Round 138 (Div. 1),Sep/16/2012 19:30,288,1,-52,1789,Expert
47,Codeforces Round 140 (Div. 1),Sep/24/2012 19:30,297,1,-48,1741,Expert
48,Codeforces Round 153 (Div. 1),Dec/06/2012 19:30,281,1,-9,1732,Expert
49,Croc Champ 2013 - Round 1,Apr/15/2013 19:35,88,5,230,1962,Candidate Master
50,Croc Champ 2013 - Round 2,Apr/22/2013 19:35,278,1,-31,1931,Candidate Master
51,ABBYY Cup 3.0,Jun/12/2013 17:00,200,7,68,1999,Candidate Master
52,Codeforces Round 198 (Div. 1),Aug/30/2013 19:30,256,2,-51,1948,Candidate Master
53,Codeforces Round 202 (Div. 1),Sep/27/2013 19:30,124,2,66,2014,Candidate Master
54,Codeforces Round 219 (Div. 1),Dec/13/2013 18:00,349,2,-66,1948,Candidate Master
55,RCC 2014 Warmup (Div. 1),Apr/17/2014 19:40,164,2,38,1986,Candidate Master
56,Codeforces Round 290 (Div. 1),Feb/02/2015 19:30,318,2,40,2026,Candidate Master
57,Rockethon 2015,Feb/07/2015 20:00,260,6,93,2119,Master
58,VK Cup 2015 - Round 1,Mar/21/2015 17:00,96,4,8,2127,Master
59,VK Cup 2015 - Round 2,Apr/17/2015 19:00,177,2,-60,2067,Candidate Master
60,Codeforces Round 300,Apr/26/2015 19:00,263,5,73,2140,Master
61,Codeforces Round 325 (Div. 1),Oct/12/2015 12:10,91,3,34,2174,Master
62,Codeforces Round 333 (Div. 1),Nov/24/2015 19:35,94,3,46,2220,Master
63,AIM Tech Round (Div. 1),Feb/04/2016 20:05,436,0,-118,2102,Master
64,"Manthan, Codefest 16",Feb/26/2016 20:15,138,4,49,2151,Master
65,VK Cup 2016 - Round 1,Mar/28/2016 19:35,39,4,58,2209,Master
66,VK Cup 2016 - Round 2,Apr/24/2016 19:35,165,4,-81,2128,Master
67,VK Cup 2016 - Round 3,May/07/2016 18:05,116,1,-121,2007,Candidate Master
68,Codeforces Round 352 (Div. 1),May/11/2016 19:35,330,0,-40,1967,Candidate Master
69,Codeforces Round 356 (Div. 1),Jun/08/2016 19:35,350,1,-10,1957,Candidate Master
70,Codeforces Round 372 (Div. 1),Sep/17/2016 16:45,117,2,113,2070,Candidate Master
71,"Intel Code Challenge Elimination Round (Div. 1 + Div. 2, combined)",Oct/01/2016 17:05,392,3,10,2080,Candidate Master
72,"Intel Code Challenge Final Round (Div. 1 + Div. 2, Combined)",Oct/08/2016 15:15,400,4,-9,2071,Candidate Master
73,Codeforces Round 393 (Div. 1) (8VC Venture Cup 2017 - Final Round Div. 1 Edition),Jan/22/2017 21:15,137,3,13,2084,Candidate Master
74,Codeforces Round 397 by Kaspersky Lab and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Feb/14/2017 11:05,142,5,70,2154,Master
75,"ICM Technex 2017 and Codeforces Round 400 (Div. 1 + Div. 2, combined)",Feb/23/2017 17:45,503,3,-32,2122,Master
76,VK Cup 2017 - Round 1,Mar/18/2017 18:35,362,2,-102,2020,Candidate Master
77,Codeforces Round 407 (Div. 1),Mar/29/2017 19:05,67,3,143,2163,Master
78,VK Cup 2017 - Round 2,Apr/16/2017 18:35,178,2,-36,2127,Master
79,Tinkoff Challenge - Elimination Round,Apr/23/2017 19:45,285,3,1,2128,Master
80,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,158,4,60,2188,Master
81,"Manthan, Codefest 17",Sep/24/2017 17:35,268,3,-19,2169,Master
82,VK Cup 2018 - Round 1,Mar/10/2018 18:35,156,3,-28,2141,Master
83,VK Cup 2018 - Round 2,Mar/24/2018 18:35,42,4,59,2200,Master
84,VK Cup 2018 - Round 3,Apr/29/2018 16:15,94,1,-116,2084,Candidate Master
85,Codeforces Round 485 (Div. 1),May/29/2018 18:35,159,2,46,2130,Master
86,Codeforces Round 700 (Div. 1),Feb/07/2021 17:35,683,2,-27,2103,Master
87,Codeforces Global Round 13,Feb/28/2021 16:35,908,4,0,2103,Master
88,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,1041,3,-28,2075,Candidate Master
89,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,400,5,50,2125,Master
90,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,624,5,4,2129,Master
91,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,1662,3,-79,2050,Candidate Master
92,Codeforces Global Round 16,Sep/12/2021 17:35,830,6,6,2056,Candidate Master
93,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,2350,2,-120,1936,Candidate Master
94,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,635,1,-78,1858,Expert
95,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,184,4,90,1948,Candidate Master
96,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,608,2,27,1975,Candidate Master
97,Codeforces Global Round 17,Nov/23/2021 17:35,896,3,-1,1974,Candidate Master
98,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,240,5,36,2010,Candidate Master
99,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,35,5,124,2134,Master
100,Hello 2022,Jan/03/2022 17:35,1512,3,-65,2069,Candidate Master
101,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,334,3,-9,2060,Candidate Master
