#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 705 (Div. 2),Mar/06/2021 17:05,720,3,640,640,Newbie
2,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,813,4,486,1126,Newbie
3,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,2886,3,211,1337,Pupil
4,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,4,6,466,1803,Expert
5,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,1052,3,60,1863,Expert
6,Codeforces Round 791 (Div. 2),May/14/2022 12:35,59,5,172,2035,Candidate Master
7,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,31,5,120,2155,Master
8,Codeforces Global Round 22,Sep/30/2022 17:35,1100,4,-53,2102,Master
9,Dytechlab Cup 2022,Oct/07/2022 17:35,667,3,-6,2096,Candidate Master
10,Codeforces Global Round 23,Oct/15/2022 17:35,1269,4,-45,2051,Candidate Master
11,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,623,4,-14,2037,Candidate Master
12,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,29,6,124,2161,Master
