#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 640 (Div. 4),May/09/2020 17:35,567,5,73,1573,Specialist
2,Codeforces Round 641 (Div. 2),May/12/2020 15:35,691,3,99,1672,Expert
3,Codeforces Round 643 (Div. 2),May/16/2020 14:35,5047,2,-54,1618,Expert
4,Codeforces Round 645 (Div. 2),May/26/2020 17:35,2333,3,24,1642,Expert
5,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,10643,1,-125,1517,Specialist
6,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,5578,2,-46,1471,Specialist
7,Codeforces Round 650 (Div. 3),Jun/16/2020 17:35,182,4,149,1620,Expert
8,Codeforces Global Round 8,Jun/18/2020 17:45,978,4,131,1751,Expert
9,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,3024,3,-38,1713,Expert
10,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,1872,3,3,1716,Expert
11,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,2003,4,-8,1708,Expert
12,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,4924,3,-74,1634,Expert
13,Codeforces Global Round 9,Jul/04/2020 17:45,2191,3,53,1687,Expert
14,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2783,1,-21,1666,Expert
15,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,3036,2,-23,1643,Expert
16,Grakn Forces 2020,Sep/30/2020 17:35,4907,1,-99,1544,Specialist
17,Codeforces Round 710 (Div. 3),Mar/25/2021 17:35,3387,3,-60,1484,Specialist
18,Educational Codeforces Round 108 (Rated for Div. 2),Apr/29/2021 17:35,4250,2,-31,1453,Specialist
19,Codeforces Round 719 (Div. 3),May/05/2021 17:35,55,7,210,1663,Expert
20,Codeforces Round 720 (Div. 2),May/07/2021 17:35,1478,2,24,1687,Expert
21,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,2980,2,-68,1619,Expert
22,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,6287,2,-103,1516,Specialist
23,Codeforces Global Round 15,Jul/25/2021 17:35,11595,1,-158,1358,Pupil
24,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,6617,2,-40,1318,Pupil
25,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,83,4,316,1634,Expert
26,Educational Codeforces Round 115 (Rated for Div. 2),Oct/10/2021 12:05,2945,3,-72,1562,Specialist
27,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,93,6,138,1700,Expert
28,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,589,4,117,1817,Expert
29,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,413,4,54,1871,Expert
30,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,1073,3,-31,1840,Expert
31,Educational Codeforces Round 117 (Rated for Div. 2),Nov/22/2021 12:35,66,5,127,1967,Candidate Master
32,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,486,4,65,2032,Candidate Master
33,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,1942,2,-104,1928,Candidate Master
34,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,43,5,126,2054,Candidate Master
35,Codeforces Global Round 18,Dec/24/2021 17:35,1331,3,-47,2007,Candidate Master
36,Educational Codeforces Round 120 (Rated for Div. 2),Dec/27/2021 17:35,1111,3,-60,1947,Candidate Master
37,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,668,4,62,2009,Candidate Master
38,Hello 2022,Jan/03/2022 17:35,1201,4,-13,1996,Candidate Master
39,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,855,2,-64,1932,Candidate Master
40,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,557,2,22,1954,Candidate Master
41,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,179,4,70,2024,Candidate Master
42,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,268,4,16,2040,Candidate Master
43,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,681,3,-28,2012,Candidate Master
44,Codeforces Global Round 19,Feb/12/2022 17:35,6702,2,-191,1821,Expert
45,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,744,3,15,1836,Expert
46,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,83,5,127,1963,Candidate Master
47,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,53,5,107,2070,Candidate Master
48,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,4983,2,-175,1895,Expert
49,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,886,3,-22,1873,Expert
50,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,5666,2,-144,1729,Expert
51,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,349,4,72,1801,Expert
52,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,1756,3,-53,1748,Expert
53,Codeforces Global Round 20,Apr/23/2022 17:05,1095,4,41,1789,Expert
54,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,59,5,164,1953,Candidate Master
55,Codeforces Round 794 (Div. 1),May/25/2022 20:35,415,1,-20,1933,Candidate Master
56,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,1371,3,-60,1873,Expert
57,Codeforces Round 807 (Div. 2),Jul/15/2022 16:35,30,5,172,2045,Candidate Master
58,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,314,2,66,2111,Master
59,Codeforces Global Round 22,Sep/30/2022 17:35,375,5,56,2167,Master
60,Codeforces Global Round 23,Oct/15/2022 17:35,1338,3,-67,2100,Master
61,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,886,5,-28,2072,Candidate Master
62,Codeforces Round 840 (Div. 2) and Enigma 2022 - Cybros LNMIIT,Dec/19/2022 17:35,232,3,6,2078,Candidate Master
63,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,3403,2,-114,1964,Candidate Master
64,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,569,3,-7,1957,Candidate Master
65,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,146,5,175,2132,Master
66,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,692,2,-49,2083,Candidate Master
67,Codeforces Round 851 (Div. 2),Feb/09/2023 17:35,76,5,66,2149,Master
