#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,209,5,227,1727,Expert
2,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,387,4,63,1790,Expert
3,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,37,5,204,1994,Candidate Master
4,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,233,4,30,2024,Candidate Master
5,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,39,5,106,2130,Master
6,"Codeforces Round 775 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,449,3,-7,2123,Master
7,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,752,4,-19,2104,Master
8,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,201,5,114,2218,Master
9,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,563,2,-53,2165,Master
10,Codeforces Global Round 22,Sep/30/2022 17:35,1286,3,-71,2094,Candidate Master
11,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,180,4,12,2106,Master
12,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,583,4,10,2116,Master
