#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,2521,3,578,578,Newbie
2,Codeforces Round 664 (Div. 2),Aug/12/2020 17:35,9896,0,209,787,Newbie
3,Codeforces Round 713 (Div. 3),Apr/10/2021 17:35,3296,4,242,1029,Newbie
4,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,7131,1,67,1096,Newbie
5,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,1123,3,256,1352,Pupil
6,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,1699,3,119,1471,Specialist
7,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,922,3,81,1552,Specialist
8,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,643,4,93,1645,Expert
9,Codeforces Round 793 (Div. 2),May/22/2022 17:35,182,4,143,1788,Expert
10,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,47,5,175,1963,Candidate Master
11,CodeCraft-22 and Codeforces Round 795 (Div. 2),May/31/2022 17:35,1368,3,-67,1896,Expert
12,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,115,5,71,1967,Candidate Master
13,Codeforces Round 798 (Div. 2),Jun/10/2022 19:35,162,4,34,2001,Candidate Master
14,Educational Codeforces Round 130 (Rated for Div. 2),Jun/12/2022 17:35,108,4,62,2063,Candidate Master
15,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,426,2,14,2077,Candidate Master
16,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Jun/18/2022 17:35,403,3,-21,2056,Candidate Master
17,Codeforces Round 802 (Div. 2),Jun/19/2022 12:05,342,4,-13,2043,Candidate Master
18,Codeforces Global Round 21,Jun/25/2022 17:35,480,5,59,2102,Master
19,Dytechlab Cup 2022,Oct/07/2022 17:35,2084,2,-126,1976,Candidate Master
20,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,2059,3,-97,1879,Expert
21,Codeforces Global Round 23,Oct/15/2022 17:35,227,5,179,2058,Candidate Master
22,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,227,4,14,2072,Candidate Master
23,Codeforces Round 830 (Div. 2),Oct/23/2022 13:05,102,5,47,2119,Master
24,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,271,3,73,2192,Master
25,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,738,5,-46,2146,Master
