#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,1185,4,96,1596,Specialist
2,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,92,5,234,1830,Expert
3,Codeforces Round 649 (Div. 2),Jun/13/2020 18:05,845,3,35,1865,Expert
4,Codeforces Global Round 8,Jun/18/2020 17:45,1325,4,35,1900,Candidate Master
5,Codeforces Round 651 (Div. 2),Jun/20/2020 17:35,795,4,16,1916,Candidate Master
6,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,2122,4,-60,1856,Expert
7,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,1168,4,-2,1854,Expert
8,Codeforces Round 700 (Div. 2),Feb/07/2021 17:35,5330,2,-121,1733,Expert
9,Codeforces Round 706 (Div. 2),Mar/10/2021 15:05,356,4,64,1797,Expert
10,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,270,4,82,1879,Expert
11,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,568,4,20,1899,Expert
12,Codeforces Round 750 (Div. 2),Oct/24/2021 13:05,494,5,6,1905,Candidate Master
13,Codeforces Round 751 (Div. 1),Oct/25/2021 09:35,498,2,-3,1902,Candidate Master
14,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,1251,3,-41,1861,Expert
15,Codeforces Round 770 (Div. 2),Feb/06/2022 17:35,61,5,156,2017,Candidate Master
16,Codeforces Global Round 19,Feb/12/2022 17:35,515,5,59,2076,Candidate Master
17,Codeforces Round 771 (Div. 2),Feb/14/2022 17:35,281,4,6,2082,Candidate Master
18,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,114,5,39,2121,Master
19,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,405,5,55,2176,Master
20,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,445,2,-11,2165,Master
21,Codeforces Global Round 22,Sep/30/2022 17:35,441,5,28,2193,Master
22,Dytechlab Cup 2022,Oct/07/2022 17:35,154,5,100,2293,Master
23,Codeforces Global Round 23,Oct/15/2022 17:35,623,4,-25,2268,Master
