#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Coder-Strike 2014 - Round 1,Apr/18/2014 20:10,177,3,107,1607,Expert
2,"Coder-Strike 2014 - Finals (online edition, Div. 2)",Apr/22/2014 16:15,7,4,106,1713,Expert
3,Codeforces Round 243 (Div. 1),Apr/27/2014 19:30,351,1,13,1726,Expert
4,Codeforces Round 270,Sep/28/2014 19:35,1127,3,-14,1712,Expert
5,Codeforces Round 272 (Div. 1),Oct/12/2014 18:00,265,2,148,1860,Expert
6,Codeforces Round 274 (Div. 1),Oct/19/2014 13:00,580,1,-74,1786,Expert
7,Codeforces Round 275 (Div. 1),Oct/24/2014 21:00,42,2,217,2003,Candidate Master
8,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,383,2,-19,1984,Candidate Master
9,"Codeforces Round 433 (Div. 1, based on Olympiad of Metropolises)",Sep/06/2017 15:55,265,2,12,1996,Candidate Master
10,Codeforces Round 482 (Div. 2),May/14/2018 17:35,482,3,-26,1970,Candidate Master
11,Educational Codeforces Round 44 (Rated for Div. 2),May/21/2018 17:45,92,5,67,2037,Candidate Master
12,Codeforces Round 485 (Div. 1),May/29/2018 18:35,249,2,14,2051,Candidate Master
13,"Codeforces Round 503 (by SIS, Div. 1)",Aug/11/2018 16:35,131,2,80,2131,Master
14,"Codeforces Round 504 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/17/2018 17:35,306,5,13,2144,Master
15,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,297,5,9,2153,Master
16,"Codeforces Round 512 (Div. 1, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,121,2,35,2188,Master
17,"Codeforces Round 513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)",Oct/04/2018 10:05,301,4,-13,2175,Master
18,Codeforces Global Round 1,Feb/07/2019 16:35,240,5,53,2228,Master
19,Codeforces Round 576 (Div. 1),Jul/30/2019 17:35,55,5,116,2344,International Master
20,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,250,5,-25,2319,International Master
21,Codeforces Round 594 (Div. 1),Oct/20/2019 12:05,105,3,37,2356,International Master
22,Codeforces Global Round 6,Dec/17/2019 18:05,546,4,-60,2296,Master
23,Codeforces Round 621 (Div. 1 + Div. 2),Feb/17/2020 18:35,278,4,13,2309,International Master
24,Good Bye 2020,Dec/30/2020 17:35,841,6,-36,2273,Master
25,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,643,4,-6,2267,Master
