#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,697,4,109,1609,Expert
2,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,336,4,89,1698,Expert
3,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,61,5,192,1890,Expert
4,Codeforces Round 603 (Div. 2),Nov/29/2019 17:35,1101,4,-41,1849,Expert
5,Codeforces Round 604 (Div. 2),Dec/05/2019 17:35,2035,3,-86,1763,Expert
6,"Codeforces Round 606 (Div. 2, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,636,4,-6,1757,Expert
7,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,1173,3,-14,1743,Expert
8,Codeforces Round 613 (Div. 2),Jan/10/2020 17:05,159,4,126,1869,Expert
9,Educational Codeforces Round 81 (Rated for Div. 2),Jan/29/2020 17:35,145,5,100,1969,Candidate Master
10,Codeforces Round 616 (Div. 1),Feb/02/2020 17:05,651,2,-29,1940,Candidate Master
11,Codeforces Round 618 (Div. 1),Feb/09/2020 17:05,1001,1,-86,1854,Expert
12,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,141,5,113,1967,Candidate Master
13,"Codeforces Round 625 (Div. 1, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,483,3,30,1997,Candidate Master
14,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,572,5,47,2044,Candidate Master
15,CodeCraft-20 (Div. 2),Mar/04/2020 17:35,94,4,67,2111,Master
16,"Codeforces Round 626 (Div. 1, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,772,1,-102,2009,Candidate Master
17,Educational Codeforces Round 83 (Rated for Div. 2),Mar/09/2020 17:35,372,5,9,2018,Candidate Master
18,Codeforces Round 628 (Div. 2),Mar/14/2020 17:35,158,4,60,2078,Candidate Master
19,Codeforces Global Round 7,Mar/19/2020 17:35,1794,5,-54,2024,Candidate Master
20,Codeforces Round 638 (Div. 2),May/01/2020 17:35,133,4,87,2111,Master
21,Codeforces Round 745 (Div. 1),Sep/30/2021 13:15,461,1,-52,2059,Candidate Master
22,Codeforces Round 758 (Div.1 + Div. 2),Dec/11/2021 13:05,84,4,158,2217,Master
23,Codeforces Global Round 18,Dec/24/2021 17:35,69,6,165,2382,International Master
24,Hello 2022,Jan/03/2022 17:35,512,4,-29,2353,International Master
25,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,134,5,69,2422,Grandmaster
26,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,91,3,75,2497,Grandmaster
27,Codeforces Global Round 22,Sep/30/2022 17:35,181,6,11,2508,Grandmaster
28,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,80,5,58,2566,Grandmaster
