#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 555 (Div. 3),Apr/26/2019 17:35,2865,1,-70,1430,Specialist
2,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,3726,2,-82,1348,Pupil
3,Codeforces Round 558 (Div. 2),May/09/2019 18:05,1577,2,38,1386,Pupil
4,Codeforces Round 568 (Div. 2),Jun/19/2019 17:45,3859,2,-45,1341,Pupil
5,Codeforces Round 570 (Div. 3),Jun/26/2019 17:35,2238,3,5,1346,Pupil
6,Codeforces Round 573 (Div. 2),Jul/12/2019 17:35,3893,2,-32,1314,Pupil
7,Codeforces Global Round 4,Jul/20/2019 18:35,3099,3,12,1326,Pupil
8,Codeforces Round 575 (Div. 3),Jul/24/2019 17:35,3997,2,-38,1288,Pupil
9,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,1490,3,96,1384,Pupil
10,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,1878,2,36,1420,Specialist
11,Educational Codeforces Round 70 (Rated for Div. 2),Aug/07/2019 17:35,2665,1,-33,1387,Pupil
12,Codeforces Round 578 (Div. 2),Aug/11/2019 15:35,2393,3,40,1427,Specialist
13,Codeforces Round 579 (Div. 3),Aug/13/2019 17:35,1750,3,14,1441,Specialist
14,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,893,3,92,1533,Specialist
15,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,1876,3,30,1563,Specialist
16,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,1333,3,40,1603,Expert
17,"Manthan, Codefest 19 (open for everyone, rated, Div. 1 + Div. 2)",Aug/25/2019 17:35,2169,2,6,1609,Expert
18,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,3535,1,-113,1496,Specialist
19,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,1007,3,91,1587,Specialist
20,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,1690,4,36,1623,Expert
21,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,1480,3,-7,1616,Expert
22,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,693,4,52,1668,Expert
23,Codeforces Round 588 (Div. 2),Sep/23/2019 17:05,798,3,22,1690,Expert
24,Codeforces Round 589 (Div. 2),Sep/29/2019 16:05,1221,3,19,1709,Expert
25,Educational Codeforces Round 74 (Rated for Div. 2),Oct/08/2019 17:35,2310,2,-50,1659,Expert
26,Codeforces Round 592 (Div. 2),Oct/13/2019 12:05,1589,2,-15,1644,Expert
27,Codeforces Global Round 5,Oct/16/2019 17:35,1537,2,37,1681,Expert
28,Codeforces Round 593 (Div. 2),Oct/17/2019 16:35,1244,3,6,1687,Expert
29,Codeforces Round 594 (Div. 2),Oct/20/2019 12:05,571,3,30,1717,Expert
30,Educational Codeforces Round 75 (Rated for Div. 2),Oct/24/2019 18:05,1906,3,-43,1674,Expert
31,"Codeforces Round 596 (Div. 2, based on Technocup 2020 Elimination Round 2)",Oct/26/2019 14:05,144,4,110,1784,Expert
32,Codeforces Round 597 (Div. 2),Nov/01/2019 17:35,867,4,10,1794,Expert
33,Codeforces Round 599 (Div. 2),Nov/06/2019 18:05,2788,2,-96,1698,Expert
34,Codeforces Round 600 (Div. 2),Nov/16/2019 17:35,1995,3,-35,1663,Expert
35,Codeforces Round 601 (Div. 2),Nov/19/2019 17:35,702,3,27,1690,Expert
36,"Codeforces Round 602 (Div. 2, based on Technocup 2020 Elimination Round 3)",Nov/24/2019 11:05,1212,3,-53,1637,Expert
37,Educational Codeforces Round 77 (Rated for Div. 2),Nov/27/2019 16:50,2195,2,-38,1599,Specialist
