#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 462 (Div. 2),Feb/14/2018 15:05,3509,0,-117,1383,Pupil
2,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,3740,1,-76,1307,Pupil
3,Educational Codeforces Round 38 (Rated for Div. 2),Feb/16/2018 18:05,2540,2,-22,1285,Pupil
4,Codeforces Round 464 (Div. 2),Feb/17/2018 13:05,2904,1,-63,1222,Pupil
5,Codeforces Round 465 (Div. 2),Feb/19/2018 19:35,2755,2,1,1223,Pupil
6,Codeforces Round 466 (Div. 2),Feb/24/2018 12:35,2089,1,12,1235,Pupil
7,Codeforces Round 467 (Div. 2),Feb/25/2018 19:05,1798,2,34,1269,Pupil
8,Codeforces Round 469 (Div. 2),Mar/09/2018 11:10,2682,1,-59,1210,Pupil
9,Educational Codeforces Round 40 (Rated for Div. 2),Mar/22/2018 09:05,935,2,76,1286,Pupil
10,Codeforces Round 471 (Div. 2),Mar/23/2018 19:35,1039,2,61,1347,Pupil
11,"Divide by Zero 2018 and Codeforces Round 474 (Div. 1 + Div. 2, combined)",Apr/07/2018 19:05,2763,0,-112,1235,Pupil
12,Codeforces Round 478 (Div. 2),May/01/2018 17:05,2225,2,-19,1216,Pupil
13,Codeforces Round 479 (Div. 3),May/06/2018 17:05,3104,2,-24,1192,Newbie
14,Codeforces Round 482 (Div. 2),May/14/2018 17:35,2324,1,48,1240,Pupil
15,Educational Codeforces Round 44 (Rated for Div. 2),May/21/2018 17:45,2076,2,32,1272,Pupil
16,Codeforces Round 485 (Div. 2),May/29/2018 18:35,1934,2,27,1299,Pupil
17,Codeforces Round 486 (Div. 3),Jun/01/2018 17:35,201,4,165,1464,Specialist
18,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,4256,0,-127,1337,Pupil
19,Educational Codeforces Round 52 (Rated for Div. 2),Oct/11/2018 17:50,4254,1,-74,1263,Pupil
20,"Codeforces Round 517 (Div. 2, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,310,3,186,1449,Specialist
21,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,932,2,54,1503,Specialist
22,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,697,3,79,1582,Specialist
23,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 2),Nov/04/2018 21:10,834,2,-19,1563,Specialist
24,Codeforces Round 520 (Div. 2),Nov/14/2018 18:35,1740,2,-4,1559,Specialist
25,Codeforces Round 521 (Div. 3),Nov/16/2018 17:35,385,4,45,1604,Expert
26,Codeforces Round 523 (Div. 2),Nov/22/2018 18:45,1055,2,13,1617,Expert
27,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,1633,2,-52,1565,Specialist
28,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,2364,2,-48,1517,Specialist
29,Educational Codeforces Round 56 (Rated for Div. 2),Dec/15/2018 17:35,1560,3,-5,1512,Specialist
30,Codeforces Round 527 (Div. 3),Dec/18/2018 17:35,1273,2,-15,1497,Specialist
31,"Codeforces Round 528 (Div. 2, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,813,3,44,1541,Specialist
32,Hello 2019,Jan/04/2019 17:45,1209,3,87,1628,Expert
33,Codeforces Round 530 (Div. 2),Jan/05/2019 19:35,876,4,17,1645,Expert
34,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,299,4,94,1739,Expert
35,Codeforces Global Round 1,Feb/07/2019 16:35,1202,3,35,1774,Expert
36,Codeforces Round 539 (Div. 2),Feb/16/2019 19:35,707,3,-11,1763,Expert
37,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,1849,2,-59,1704,Expert
38,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 2),Feb/24/2019 18:35,309,5,50,1754,Expert
39,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,585,3,11,1765,Expert
40,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,503,3,29,1794,Expert
41,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,1548,3,-58,1736,Expert
42,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,1213,3,-24,1712,Expert
43,Educational Codeforces Round 63 (Rated for Div. 2),Apr/22/2019 17:35,528,4,42,1754,Expert
44,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,542,3,34,1788,Expert
45,Codeforces Round 556 (Div. 2),Apr/29/2019 17:35,431,3,19,1807,Expert
46,Codeforces Round 557 (Div. 2) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,946,2,-77,1730,Expert
47,Codeforces Round 558 (Div. 2),May/09/2019 18:05,313,5,64,1794,Expert
48,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,488,4,22,1816,Expert
49,Codeforces Round 561 (Div. 2),May/17/2019 18:05,979,3,-32,1784,Expert
50,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,1671,2,-53,1731,Expert
51,Codeforces Round 568 (Div. 2),Jun/19/2019 17:45,347,6,68,1799,Expert
52,Codeforces Round 569 (Div. 2),Jun/21/2019 20:05,469,3,-3,1796,Expert
53,Educational Codeforces Round 67 (Rated for Div. 2),Jun/30/2019 17:45,921,3,-18,1778,Expert
54,Codeforces Round 576 (Div. 2),Jul/30/2019 17:35,642,4,8,1786,Expert
55,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,858,3,-9,1777,Expert
56,Codeforces Round 580 (Div. 2),Aug/18/2019 16:45,735,3,5,1782,Expert
57,Codeforces Round 581 (Div. 2),Aug/20/2019 17:35,1497,3,-18,1764,Expert
58,Educational Codeforces Round 71 (Rated for Div. 2),Aug/22/2019 17:35,351,5,73,1837,Expert
59,Educational Codeforces Round 72 (Rated for Div. 2),Sep/05/2019 17:35,183,4,99,1936,Candidate Master
