#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,2144,3,525,525,Newbie
2,Codeforces Round 744 (Div. 3),Sep/28/2021 17:35,432,6,450,975,Newbie
3,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,4357,1,151,1126,Newbie
4,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,958,3,252,1378,Pupil
5,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,545,5,204,1582,Specialist
6,Codeforces Round 748 (Div. 3),Oct/13/2021 17:35,662,5,66,1648,Expert
7,Codeforces Round 768 (Div. 2),Jan/27/2022 17:35,537,4,72,1720,Expert
8,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,1804,3,-31,1689,Expert
9,Educational Codeforces Round 123 (Rated for Div. 2),Feb/22/2022 17:35,4069,3,-80,1609,Expert
10,Codeforces Round 773 (Div. 2),Feb/23/2022 13:10,669,3,45,1654,Expert
11,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,382,4,86,1740,Expert
12,"Codeforces Round 775 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/06/2022 12:55,710,3,5,1745,Expert
13,Educational Codeforces Round 124 (Rated for Div. 2),Mar/10/2022 17:35,260,4,87,1832,Expert
14,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,2558,3,-80,1752,Expert
15,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,1331,3,-15,1737,Expert
16,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1144,4,57,1794,Expert
17,Codeforces Round 779 (Div. 2),Mar/27/2022 17:35,1804,3,-52,1742,Expert
18,Codeforces Round 781 (Div. 2),Apr/08/2022 17:35,607,3,32,1774,Expert
19,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,1115,3,-14,1760,Expert
20,Codeforces Round 782 (Div. 2),Apr/17/2022 17:35,1190,3,-15,1745,Expert
21,Codeforces Round 783 (Div. 2),Apr/19/2022 17:35,659,3,10,1755,Expert
22,Educational Codeforces Round 127 (Rated for Div. 2),Apr/22/2022 17:35,238,5,91,1846,Expert
23,Codeforces Global Round 20,Apr/23/2022 17:05,1070,4,19,1865,Expert
24,Codeforces Round 785 (Div. 2),Apr/30/2022 17:35,1327,3,-49,1816,Expert
25,Codeforces Round 788 (Div. 2),May/06/2022 17:35,131,5,102,1918,Candidate Master
26,Codeforces Round 789 (Div. 1),May/08/2022 17:35,548,3,18,1936,Candidate Master
27,Educational Codeforces Round 128 (Rated for Div. 2),May/13/2022 17:35,284,4,32,1968,Candidate Master
28,Codeforces Round 793 (Div. 2),May/22/2022 17:35,185,4,49,2017,Candidate Master
29,Educational Codeforces Round 129 (Rated for Div. 2),May/23/2022 17:35,40,5,116,2133,Master
30,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,395,2,5,2138,Master
31,Codeforces Global Round 21,Jun/25/2022 17:35,1789,3,-92,2046,Candidate Master
32,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,101,5,60,2106,Master
33,Codeforces Round 808 (Div. 1),Jul/16/2022 17:35,397,2,19,2125,Master
34,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1121,4,-37,2088,Candidate Master
35,Educational Codeforces Round 133 (Rated for Div. 2),Aug/04/2022 17:35,160,4,37,2125,Master
36,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,784,0,-102,2023,Candidate Master
37,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,1944,3,-97,1926,Candidate Master
38,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,170,5,64,1990,Candidate Master
39,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,3656,3,-138,1852,Expert
40,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,600,4,10,1862,Expert
41,Codeforces Round 822 (Div. 2),Sep/23/2022 15:05,46,5,152,2014,Candidate Master
42,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,305,3,7,2021,Candidate Master
43,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,265,4,7,2028,Candidate Master
44,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,634,4,-40,1988,Candidate Master
45,Dytechlab Cup 2022,Oct/07/2022 17:35,310,4,98,2086,Candidate Master
46,Codeforces Round 825 (Div. 2),Oct/10/2022 17:35,288,4,-7,2079,Candidate Master
47,Codeforces Global Round 23,Oct/15/2022 17:35,754,4,11,2090,Candidate Master
48,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,191,4,14,2104,Master
49,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,251,5,56,2160,Master
50,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,370,4,36,2196,Master
51,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,813,4,-44,2152,Master
52,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,2388,3,-95,2057,Candidate Master
53,Hello 2023,Jan/03/2023 17:35,1352,4,-34,2023,Candidate Master
54,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,41,5,121,2144,Master
