#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 650 (Div. 3),Jun/16/2020 17:35,534,4,618,618,Newbie
2,Codeforces Round 652 (Div. 2),Jun/23/2020 17:05,2473,3,384,1002,Newbie
3,Educational Codeforces Round 90 (Rated for Div. 2),Jun/25/2020 17:35,1378,4,316,1318,Pupil
4,Codeforces Round 653 (Div. 3),Jun/28/2020 17:35,307,5,222,1540,Specialist
5,Codeforces Round 656 (Div. 3),Jul/17/2020 17:35,1806,4,63,1603,Expert
6,Codeforces Round 657 (Div. 2),Jul/19/2020 12:00,3400,1,23,1626,Expert
7,Codeforces Round 658 (Div. 2),Jul/21/2020 17:35,2411,4,-2,1624,Expert
8,Codeforces Round 659 (Div. 2),Jul/24/2020 17:35,2783,1,-6,1618,Expert
9,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,2143,3,27,1645,Expert
10,Codeforces Round 662 (Div. 2),Aug/07/2020 17:35,701,3,94,1739,Expert
11,Codeforces Round 663 (Div. 2),Aug/09/2020 17:35,5252,2,-93,1646,Expert
12,Codeforces Round 672 (Div. 2),Sep/24/2020 17:35,2829,3,-23,1623,Expert
13,Codeforces Round 675 (Div. 2),Oct/04/2020 19:05,352,3,117,1740,Expert
14,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,950,4,81,1821,Expert
15,Educational Codeforces Round 98 (Rated for Div. 2),Nov/19/2020 17:35,1054,4,-13,1808,Expert
16,Codeforces Round 685 (Div. 2),Nov/21/2020 17:35,867,4,19,1827,Expert
17,"Codeforces Round 687 (Div. 2, based on Technocup 2021 Elimination Round 2)",Nov/29/2020 10:05,1056,3,-50,1777,Expert
18,Educational Codeforces Round 99 (Rated for Div. 2),Nov/30/2020 17:35,2663,3,-61,1716,Expert
19,Codeforces Round 701 (Div. 2),Feb/12/2021 17:50,1198,3,20,1736,Expert
20,Educational Codeforces Round 104 (Rated for Div. 2),Feb/15/2021 17:35,310,5,102,1838,Expert
21,Codeforces Round 703 (Div. 2),Feb/18/2021 17:35,1573,3,-22,1816,Expert
22,Codeforces Global Round 13,Feb/28/2021 16:35,2093,3,-13,1803,Expert
23,Educational Codeforces Round 105 (Rated for Div. 2),Mar/02/2021 17:45,1253,2,-5,1798,Expert
24,Educational Codeforces Round 106 (Rated for Div. 2),Mar/18/2021 17:50,1207,3,-17,1781,Expert
25,"Codeforces Round 709 (Div. 2, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,418,3,24,1805,Expert
26,Codeforces Round 712 (Div. 2),Apr/03/2021 17:35,108,4,106,1911,Candidate Master
27,Divide by Zero 2021 and Codeforces Round 714 (Div. 2),Apr/11/2021 17:35,461,4,15,1926,Candidate Master
28,Educational Codeforces Round 107 (Rated for Div. 2),Apr/12/2021 17:35,349,4,28,1954,Candidate Master
29,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,715,1,-23,1931,Candidate Master
30,Codeforces Round 717 (Div. 2),Apr/21/2021 16:35,910,3,-22,1909,Candidate Master
31,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,1066,4,23,1932,Candidate Master
32,Codeforces Global Round 14,May/02/2021 17:35,2110,4,-48,1884,Expert
33,Codeforces Round 721 (Div. 2),May/20/2021 17:35,951,3,-7,1877,Expert
34,Codeforces Round 723 (Div. 2),May/28/2021 17:05,301,4,62,1939,Candidate Master
35,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,1234,3,-4,1935,Candidate Master
36,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,559,4,6,1941,Candidate Master
37,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,78,6,120,2061,Candidate Master
38,Codeforces Round 727 (Div. 2),Jun/20/2021 13:05,213,4,16,2077,Candidate Master
39,Codeforces Round 728 (Div. 1),Jun/25/2021 18:35,563,1,-43,2034,Candidate Master
40,Codeforces Round 729 (Div. 2),Jul/03/2021 16:05,825,3,-38,1996,Candidate Master
41,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,1692,3,-75,1921,Candidate Master
42,Codeforces Round 732 (Div. 1),Jul/11/2021 17:05,535,2,47,1968,Candidate Master
43,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,351,3,32,2000,Candidate Master
44,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,604,5,40,2040,Candidate Master
45,Codeforces Global Round 15,Jul/25/2021 17:35,985,4,-6,2034,Candidate Master
46,Codeforces Round 735 (Div. 2),Jul/29/2021 17:35,466,4,-6,2028,Candidate Master
47,"Codeforces Round 740 (Div. 1, based on VK Cup 2021 - Final (Engine))",Aug/24/2021 17:35,541,3,8,2036,Candidate Master
48,Codeforces Round 741 (Div. 2),Aug/26/2021 17:35,130,5,57,2093,Candidate Master
49,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,2158,3,-98,1995,Candidate Master
50,Codeforces Round 742 (Div. 2),Sep/05/2021 17:35,1022,3,-48,1947,Candidate Master
51,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,99,4,92,2039,Candidate Master
52,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,844,3,-46,1993,Candidate Master
53,Codeforces Round 746 (Div. 2),Oct/03/2021 17:35,260,3,29,2022,Candidate Master
54,Codeforces Round 747 (Div. 2),Oct/08/2021 18:05,162,5,37,2059,Candidate Master
55,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,1379,3,-64,1995,Candidate Master
56,Educational Codeforces Round 116 (Rated for Div. 2),Oct/29/2021 17:35,546,3,-10,1985,Candidate Master
57,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,664,2,2,1987,Candidate Master
58,Codeforces Round 754 (Div. 2),Nov/12/2021 17:35,166,4,50,2037,Candidate Master
59,Codeforces Global Round 17,Nov/23/2021 17:35,626,4,18,2055,Candidate Master
60,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,352,4,-11,2044,Candidate Master
61,Educational Codeforces Round 118 (Rated for Div. 2),Dec/01/2021 17:35,407,4,-11,2033,Candidate Master
62,Educational Codeforces Round 119 (Rated for Div. 2),Dec/18/2021 18:35,179,5,26,2059,Candidate Master
63,Codeforces Global Round 18,Dec/24/2021 17:35,407,4,61,2120,Master
64,Codeforces Round 768 (Div. 1),Jan/27/2022 17:35,583,2,-34,2086,Candidate Master
65,Codeforces Global Round 19,Feb/12/2022 17:35,468,5,48,2134,Master
66,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,507,5,32,2166,Master
67,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,257,2,54,2220,Master
68,Codeforces Global Round 20,Apr/23/2022 17:05,427,6,20,2240,Master
69,Codeforces Round 794 (Div. 1),May/25/2022 20:35,245,2,-9,2231,Master
70,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,151,3,74,2305,International Master
71,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,442,2,-50,2255,Master
72,Codeforces Round 814 (Div. 1),Aug/16/2022 17:35,576,2,-64,2191,Master
73,Codeforces Global Round 22,Sep/30/2022 17:35,693,4,-19,2172,Master
74,Dytechlab Cup 2022,Oct/07/2022 17:35,725,3,-31,2141,Master
75,Codeforces Global Round 23,Oct/15/2022 17:35,1637,3,-82,2059,Candidate Master
76,Educational Codeforces Round 137 (Rated for Div. 2),Oct/17/2022 17:35,578,4,-36,2023,Candidate Master
77,Educational Codeforces Round 138 (Rated for Div. 2),Oct/20/2022 17:35,12,5,163,2186,Master
78,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,633,4,-18,2168,Master
79,Pinely Round 1 (Div. 1 + Div. 2),Nov/20/2022 17:35,523,4,-4,2164,Master
80,Codeforces Global Round 24,Nov/26/2022 17:05,416,4,13,2177,Master
81,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,825,4,-40,2137,Master
82,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,683,4,24,2161,Master
83,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,439,5,22,2183,Master
84,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,494,5,15,2198,Master
85,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,250,3,58,2256,Master
86,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,339,5,11,2267,Master
