#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,508,4,670,670,Newbie
2,Codeforces Round 731 (Div. 3),Jul/10/2021 17:35,78,6,506,1176,Newbie
3,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,2265,2,205,1381,Pupil
4,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,1524,3,165,1546,Specialist
5,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,224,5,161,1707,Expert
6,Educational Codeforces Round 112 (Rated for Div. 2),Jul/30/2021 17:35,699,4,93,1800,Expert
7,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,552,4,53,1853,Expert
8,Educational Codeforces Round 113 (Rated for Div. 2),Sep/08/2021 17:35,1108,3,-20,1833,Expert
9,Codeforces Global Round 16,Sep/12/2021 17:35,3560,4,-93,1740,Expert
10,Codeforces Global Round 17,Nov/23/2021 17:35,1254,3,25,1765,Expert
11,Codeforces Round 772 (Div. 2),Feb/20/2022 17:35,2132,3,-54,1711,Expert
12,Codeforces Round 773 (Div. 2),Feb/23/2022 13:10,995,3,-8,1703,Expert
13,Codeforces Round 774 (Div. 2),Mar/04/2022 18:35,1059,3,4,1707,Expert
14,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,319,4,93,1800,Expert
15,Codeforces Round 796 (Div. 2),Jun/03/2022 17:35,3060,2,-86,1714,Expert
16,Codeforces Round 800 (Div. 2),Jun/16/2022 17:35,798,4,18,1732,Expert
17,Codeforces Round 802 (Div. 2),Jun/19/2022 12:05,2283,2,-59,1673,Expert
18,Codeforces Global Round 21,Jun/25/2022 17:35,1117,4,72,1745,Expert
19,Codeforces Round 803 (Div. 2),Jun/28/2022 17:35,236,4,100,1845,Expert
20,Educational Codeforces Round 131 (Rated for Div. 2),Jul/08/2022 17:35,128,4,105,1950,Candidate Master
21,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,2219,3,-87,1863,Expert
22,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,1145,3,-38,1825,Expert
23,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,4693,2,-128,1697,Expert
24,Codeforces Round 823 (Div. 2),Sep/25/2022 17:35,373,3,82,1779,Expert
25,Educational Codeforces Round 136 (Rated for Div. 2),Sep/29/2022 17:35,30,5,195,1974,Candidate Master
26,Codeforces Global Round 22,Sep/30/2022 17:35,535,4,62,2036,Candidate Master
27,Codeforces Round 824 (Div. 2),Oct/02/2022 17:35,3,5,225,2261,Master
28,Dytechlab Cup 2022,Oct/07/2022 17:35,646,3,-42,2219,Master
29,Codeforces Global Round 23,Oct/15/2022 17:35,414,4,30,2249,Master
