#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 82 (Rated for Div. 2),Feb/12/2020 17:35,5816,1,-68,1432,Specialist
2,"Codeforces Round 625 (Div. 2, based on Technocup 2020 Final Round)",Mar/01/2020 16:15,788,3,96,1528,Specialist
3,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,6893,1,-126,1402,Specialist
4,"Codeforces Round 626 (Div. 2, based on Moscow Open Olympiad in Informatics)",Mar/07/2020 12:35,4446,1,-92,1310,Pupil
5,Codeforces Round 627 (Div. 3),Mar/12/2020 16:05,6109,2,-66,1244,Pupil
6,Educational Codeforces Round 85 (Rated for Div. 2),Apr/10/2020 17:35,5785,2,56,1300,Pupil
7,Codeforces Round 635 (Div. 2),Apr/15/2020 17:35,5965,2,25,1325,Pupil
8,Codeforces Round 636 (Div. 3),Apr/21/2020 17:35,9598,2,-45,1280,Pupil
9,"Codeforces Round 637 (Div. 2) - Thanks, Ivan Belonogov!",Apr/23/2020 17:45,5252,2,54,1334,Pupil
10,Educational Codeforces Round 86 (Rated for Div. 2),Apr/26/2020 17:35,4744,2,53,1387,Pupil
11,Codeforces Round 640 (Div. 4),May/09/2020 17:35,727,5,95,1482,Specialist
12,Educational Codeforces Round 87 (Rated for Div. 2),May/17/2020 12:20,3408,3,12,1494,Specialist
13,Codeforces Round 645 (Div. 2),May/26/2020 17:35,12239,1,-117,1377,Pupil
14,Educational Codeforces Round 88 (Rated for Div. 2),May/28/2020 17:35,3819,2,44,1421,Specialist
15,"Codeforces Round 647 (Div. 2) - Thanks, Algo Muse!",Jun/04/2020 17:35,8462,1,-76,1345,Pupil
16,Codeforces Round 648 (Div. 2),Jun/07/2020 17:35,3108,3,77,1422,Specialist
17,Educational Codeforces Round 89 (Rated for Div. 2),Jun/11/2020 17:35,6565,2,-40,1382,Pupil
18,Codeforces Round 650 (Div. 3),Jun/16/2020 17:35,7669,2,-63,1319,Pupil
19,Codeforces Round 654 (Div. 2),Jul/01/2020 16:35,4992,3,19,1338,Pupil
20,Codeforces Global Round 9,Jul/04/2020 17:45,3565,3,77,1415,Specialist
21,Educational Codeforces Round 92 (Rated for Div. 2),Jul/29/2020 17:35,12985,1,-122,1293,Pupil
22,Codeforces Round 661 (Div. 3),Aug/05/2020 17:35,1025,4,111,1404,Specialist
23,Codeforces Round 665 (Div. 2),Aug/21/2020 17:35,1650,3,94,1498,Specialist
24,Educational Codeforces Round 94 (Rated for Div. 2),Aug/25/2020 17:35,2513,2,33,1531,Specialist
25,Codeforces Round 666 (Div. 2),Aug/30/2020 17:35,6334,1,-79,1452,Specialist
