#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 42 (Rated for Div. 2),Apr/10/2018 17:35,2188,1,-51,1449,Specialist
2,Educational Codeforces Round 43 (Rated for Div. 2),Apr/30/2018 17:40,2445,1,-67,1382,Pupil
3,Codeforces Round 478 (Div. 2),May/01/2018 17:05,2891,1,-96,1286,Pupil
4,Codeforces Round 480 (Div. 2),May/08/2018 18:05,2787,1,-22,1264,Pupil
5,Codeforces Round 481 (Div. 3),May/13/2018 12:05,2892,2,-63,1201,Pupil
6,"Codeforces Round 483 (Div. 2) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,2060,2,34,1235,Pupil
7,Codeforces Round 484 (Div. 2),May/17/2018 19:35,2254,1,13,1248,Pupil
8,Codeforces Round 485 (Div. 2),May/29/2018 18:35,1997,2,31,1279,Pupil
9,Codeforces Round 486 (Div. 3),Jun/01/2018 17:35,1254,3,52,1331,Pupil
10,Codeforces Round 488 by NEAR (Div. 2),Jun/16/2018 19:35,955,2,71,1402,Specialist
11,Codeforces Round 490 (Div. 3),Jun/21/2018 17:35,1940,3,-26,1376,Pupil
12,Codeforces Round 491 (Div. 2),Jun/23/2018 18:35,1487,3,47,1423,Specialist
13,"Codeforces Round 492 (Div. 2) [Thanks, uDebug!]",Jun/24/2018 19:35,490,3,101,1524,Specialist
14,Educational Codeforces Round 46 (Rated for Div. 2),Jun/27/2018 17:35,1800,1,-31,1493,Specialist
15,Codeforces Round 493 (Div. 2),Jul/01/2018 17:05,1515,2,-10,1483,Specialist
16,Codeforces Round 494 (Div. 3),Jul/03/2018 17:35,993,3,3,1486,Specialist
17,Codeforces Round 495 (Div. 2),Jul/05/2018 19:35,510,3,91,1577,Specialist
18,Codeforces Round 497 (Div. 2),Jul/13/2018 17:35,1655,3,-27,1550,Specialist
19,Educational Codeforces Round 47 (Rated for Div. 2),Jul/14/2018 17:35,471,4,88,1638,Expert
20,Codeforces Round 499 (Div. 2),Jul/26/2018 18:05,775,3,19,1657,Expert
21,Codeforces Round 500 (Div. 2) [based on EJOI],Jul/30/2018 11:15,1819,2,-75,1582,Specialist
22,Codeforces Round 501 (Div. 3),Jul/31/2018 17:35,341,4,39,1621,Expert
23,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,1963,2,-11,1610,Expert
24,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,870,3,53,1663,Expert
25,"Manthan, Codefest 18 (rated, Div. 1 + Div. 2)",Sep/02/2018 17:35,1713,3,-14,1649,Expert
26,"Codeforces Round 507 (Div. 2, based on Olympiad of Metropolises)",Sep/05/2018 19:35,1259,2,-29,1620,Expert
27,Codeforces Round 508 (Div. 2),Sep/06/2018 18:35,1229,3,11,1631,Expert
28,Educational Codeforces Round 50 (Rated for Div. 2),Sep/07/2018 17:35,1045,3,13,1644,Expert
29,Codeforces Round 509 (Div. 2),Sep/16/2018 13:35,1632,3,-26,1618,Expert
30,Educational Codeforces Round 51 (Rated for Div. 2),Sep/20/2018 17:45,291,4,102,1720,Expert
31,Codeforces Round 511 (Div. 2),Sep/21/2018 17:35,1817,2,-66,1654,Expert
32,"Codeforces Round 512 (Div. 2, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,615,4,18,1672,Expert
33,Codeforces Round 514 (Div. 2),Oct/05/2018 17:35,741,3,30,1702,Expert
34,Lyft Level 5 Challenge 2018 - Elimination Round,Oct/07/2018 20:05,600,3,62,1764,Expert
35,Educational Codeforces Round 52 (Rated for Div. 2),Oct/11/2018 17:50,272,3,66,1830,Expert
36,"Codeforces Round 516 (Div. 2, by Moscow Team Olympiad)",Oct/14/2018 13:05,972,3,-54,1776,Expert
37,Mail.Ru Cup 2018 Round 1,Oct/18/2018 19:35,655,4,26,1802,Expert
38,"Codeforces Round 517 (Div. 2, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,859,2,-56,1746,Expert
39,"Codeforces Round 518 (Div. 2) [Thanks, Mail.Ru!]",Oct/24/2018 19:35,1354,2,-52,1694,Expert
40,Educational Codeforces Round 53 (Rated for Div. 2),Oct/25/2018 17:35,571,3,39,1733,Expert
41,Codeforces Round 519 by Botan Investments,Oct/28/2018 18:35,1470,3,-20,1713,Expert
42,Codeforces Round 523 (Div. 2),Nov/22/2018 18:45,412,3,54,1767,Expert
43,Codeforces Round 524 (Div. 2),Nov/24/2018 10:35,1235,3,-56,1711,Expert
44,Mail.Ru Cup 2018 Round 3,Nov/25/2018 19:35,580,4,45,1756,Expert
45,Codeforces Round 525 (Div. 2),Dec/04/2018 17:35,384,3,46,1802,Expert
46,Codeforces Round 526 (Div. 2),Dec/10/2018 19:35,380,3,0,1802,Expert
47,Avito Cool Challenge 2018,Dec/16/2018 17:35,1013,3,-23,1779,Expert
48,"Codeforces Round 528 (Div. 2, based on Technocup 2019 Elimination Round 4)",Dec/23/2018 16:35,820,3,-32,1747,Expert
49,Educational Codeforces Round 57 (Rated for Div. 2),Dec/28/2018 17:35,1203,3,-25,1722,Expert
50,Good Bye 2018,Dec/30/2018 17:35,1863,4,8,1730,Expert
51,Hello 2019,Jan/04/2019 17:45,586,3,100,1830,Expert
52,Codeforces Round 530 (Div. 2),Jan/05/2019 19:35,223,4,43,1873,Expert
53,Educational Codeforces Round 58 (Rated for Div. 2),Jan/11/2019 17:35,312,4,35,1908,Candidate Master
54,Codeforces Round 532 (Div. 2),Jan/13/2019 17:35,347,3,19,1927,Candidate Master
55,Codeforces Round 533 (Div. 2),Jan/20/2019 15:05,698,3,-25,1902,Candidate Master
56,Educational Codeforces Round 59 (Rated for Div. 2),Jan/26/2019 18:35,98,4,80,1982,Candidate Master
57,CodeCraft-19 and Codeforces Round 537 (Div. 2),Feb/03/2019 18:35,1077,2,-62,1920,Candidate Master
58,Codeforces Global Round 1,Feb/07/2019 16:35,889,3,15,1935,Candidate Master
59,Codeforces Round 538 (Div. 2),Feb/10/2019 17:05,1202,2,-53,1882,Expert
60,Codeforces Round 539 (Div. 2),Feb/16/2019 19:35,83,4,74,1956,Candidate Master
61,Educational Codeforces Round 60 (Rated for Div. 2),Feb/18/2019 18:40,335,3,13,1969,Candidate Master
62,Codeforces Round 541 (Div. 2),Feb/23/2019 13:20,1351,3,-82,1887,Expert
63,Codeforces Round 542 [Alex Lopashev Thanks-Round] (Div. 2),Feb/24/2019 18:35,68,5,77,1964,Candidate Master
64,Educational Codeforces Round 61 (Rated for Div. 2),Mar/05/2019 18:05,448,3,-21,1943,Candidate Master
65,Codeforces Round 546 (Div. 2),Mar/11/2019 19:35,703,3,-48,1895,Expert
66,Codeforces Round 548 (Div. 2),Mar/21/2019 18:35,300,3,25,1920,Candidate Master
67,Educational Codeforces Round 62 (Rated for Div. 2),Mar/22/2019 18:05,284,4,20,1940,Candidate Master
68,Codeforces Round 549 (Div. 1),Mar/30/2019 20:10,292,1,-13,1927,Candidate Master
69,Codeforces Global Round 2,Apr/06/2019 14:35,1587,3,-58,1869,Expert
70,Codeforces Round 551 (Div. 2),Apr/13/2019 17:05,1203,2,-48,1821,Expert
71,Codeforces Round 553 (Div. 2),Apr/18/2019 18:35,787,3,-14,1807,Expert
72,Forethought Future Cup - Elimination Round,Apr/20/2019 21:05,699,3,-2,1805,Expert
73,Codeforces Round 554 (Div. 2),Apr/24/2019 17:35,29,4,184,1989,Candidate Master
74,Codeforces Round 556 (Div. 1),Apr/29/2019 17:35,454,1,-17,1972,Candidate Master
75,Codeforces Round 557 (Div. 1) [based on Forethought Future Cup - Final Round],May/04/2019 20:05,285,2,-3,1969,Candidate Master
76,Codeforces Round 558 (Div. 2),May/09/2019 18:05,1250,2,-92,1877,Expert
77,Codeforces Round 559 (Div. 2),May/12/2019 17:35,161,3,26,1903,Candidate Master
78,Educational Codeforces Round 65 (Rated for Div. 2),May/15/2019 17:35,310,4,21,1924,Candidate Master
79,Codeforces Round 561 (Div. 2),May/17/2019 18:05,73,5,96,2020,Candidate Master
80,Codeforces Global Round 3,Jun/01/2019 17:35,493,4,19,2039,Candidate Master
81,Educational Codeforces Round 66 (Rated for Div. 2),Jun/05/2019 17:35,495,3,-31,2008,Candidate Master
82,Codeforces Round 566 (Div. 2),Jun/11/2019 16:05,1285,2,-84,1924,Candidate Master
83,Codeforces Round 567 (Div. 2),Jun/16/2019 12:35,1763,1,-99,1825,Expert
84,Codeforces Round 568 (Div. 2),Jun/19/2019 17:45,124,7,100,1925,Candidate Master
85,Codeforces Round 569 (Div. 1),Jun/21/2019 20:05,384,2,-16,1909,Candidate Master
86,Codeforces Round 574 (Div. 2),Jul/17/2019 17:35,321,5,31,1940,Candidate Master
87,Codeforces Global Round 4,Jul/20/2019 18:35,224,6,106,2046,Candidate Master
88,Educational Codeforces Round 69 (Rated for Div. 2),Jul/22/2019 17:35,114,4,50,2096,Candidate Master
89,Codeforces Round 577 (Div. 2),Aug/04/2019 19:35,38,4,78,2174,Master
90,"Codeforces Round 583 (Div. 1 + Div. 2, based on Olympiad of Metropolises)",Sep/04/2019 12:05,630,4,-56,2118,Master
91,"Codeforces Round 584 - Dasha Code Championship - Elimination Round (rated, open for everyone, Div. 1 + Div. 2)",Sep/14/2019 16:05,1073,4,-54,2064,Candidate Master
92,Codeforces Round 585 (Div. 2),Sep/15/2019 13:35,1393,3,-102,1962,Candidate Master
93,Codeforces Round 586 (Div. 1 + Div. 2),Sep/18/2019 19:05,547,4,18,1980,Candidate Master
94,Educational Codeforces Round 73 (Rated for Div. 2),Sep/19/2019 17:35,23,5,140,2120,Master
95,Codeforces Round 604 (Div. 1),Dec/05/2019 17:35,315,2,7,2127,Master
96,"Codeforces Round 606 (Div. 1, based on Technocup 2020 Elimination Round 4)",Dec/14/2019 14:05,629,1,-99,2028,Candidate Master
97,Codeforces Global Round 6,Dec/17/2019 18:05,1150,3,-45,1983,Candidate Master
98,Educational Codeforces Round 78 (Rated for Div. 2),Dec/19/2019 17:35,453,3,-8,1975,Candidate Master
99,Educational Codeforces Round 79 (Rated for Div. 2),Dec/27/2019 17:40,50,4,114,2089,Candidate Master
100,Good Bye 2019,Dec/29/2019 17:05,423,5,46,2135,Master
101,"Ozon Tech Challenge 2020 (Div.1 + Div.2, Rated, T-shirts + prizes!)",Mar/03/2020 17:35,597,5,7,2142,Master
102,Codeforces Global Round 7,Mar/19/2020 17:35,1216,5,-37,2105,Master
103,Codeforces Global Round 8,Jun/18/2020 17:45,156,5,133,2238,Master
104,Codeforces Round 668 (Div. 1),Sep/06/2020 17:35,488,2,-20,2218,Master
105,Grakn Forces 2020,Sep/30/2020 17:35,467,5,15,2233,Master
106,Codeforces Global Round 11,Oct/10/2020 17:50,380,4,34,2267,Master
107,Codeforces Raif Round 1 (Div. 1 + Div. 2),Oct/17/2020 16:05,615,5,-18,2249,Master
108,"Codeforces Round 683 (Div. 1, by Meet IT)",Nov/15/2020 17:35,176,3,60,2309,International Master
109,Codeforces Global Round 13,Feb/28/2021 16:35,715,4,-30,2279,Master
110,"Codeforces Round 709 (Div. 1, based on Technocup 2021 Final Round)",Mar/21/2021 16:20,238,3,28,2307,International Master
111,Codeforces Round 712 (Div. 1),Apr/03/2021 17:35,486,3,-41,2266,Master
112,Codeforces Round 715 (Div. 1),Apr/16/2021 17:35,626,2,-70,2196,Master
113,Contest 2050 and Codeforces Round 718 (Div. 1 + Div. 2),Apr/23/2021 17:35,120,5,130,2326,International Master
114,Codeforces Global Round 14,May/02/2021 17:35,186,6,61,2387,International Master
115,Codeforces Round 722 (Div. 1),May/24/2021 17:35,231,3,8,2395,International Master
116,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,135,5,69,2464,Grandmaster
117,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,141,6,35,2499,Grandmaster
118,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,300,5,-32,2467,Grandmaster
119,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,349,5,-35,2432,Grandmaster
120,Codeforces Global Round 15,Jul/25/2021 17:35,300,6,-3,2429,Grandmaster
121,"Deltix Round, Summer 2021 (open for everyone, rated, Div. 1 + Div. 2)",Aug/29/2021 17:35,278,5,4,2433,Grandmaster
122,Codeforces Global Round 16,Sep/12/2021 17:35,266,6,5,2438,Grandmaster
123,"Codeforces Round 749 (Div. 1 + Div. 2, based on Technocup 2022 Elimination Round 1)",Oct/17/2021 14:05,283,5,-15,2423,Grandmaster
124,Codeforces Round 752 (Div. 1),Oct/30/2021 17:35,311,3,-19,2404,Grandmaster
125,Codeforces Global Round 17,Nov/23/2021 17:35,139,5,52,2456,Grandmaster
126,"Deltix Round, Autumn 2021 (open for everyone, rated, Div. 1 + Div. 2)",Nov/28/2021 17:35,72,6,94,2550,Grandmaster
127,Good Bye 2021: 2022 is NEAR,Dec/29/2021 18:35,75,6,82,2632,International Grandmaster
128,Hello 2022,Jan/03/2022 17:35,156,5,2,2634,International Grandmaster
129,Codeforces Round 767 (Div. 1),Jan/22/2022 17:35,195,4,-35,2599,Grandmaster
130,Codeforces Global Round 19,Feb/12/2022 17:35,142,6,10,2609,International Grandmaster
131,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,116,5,13,2622,International Grandmaster
132,Codeforces Round 783 (Div. 1),Apr/19/2022 17:35,91,3,22,2644,International Grandmaster
133,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,1420,3,-192,2452,Grandmaster
134,Codeforces Round 794 (Div. 1),May/25/2022 20:35,277,2,-73,2379,International Master
135,Codeforces Round 796 (Div. 1),Jun/03/2022 17:35,143,3,38,2417,Grandmaster
