#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Beta Round 73 (Div. 2 Only),Jun/07/2011 19:00,237,2,0,1500,Specialist
2,Codeforces Beta Round 74 (Div. 2 Only),Jun/16/2011 19:00,509,2,-61,1439,Specialist
3,Codeforces Beta Round 75 (Div. 2 Only),Jun/20/2011 19:00,402,2,-25,1414,Specialist
4,Codeforces Beta Round 76 (Div. 2 Only),Jun/30/2011 19:00,311,2,24,1438,Specialist
5,Codeforces Beta Round 77 (Div. 2 Only),Jul/08/2011 19:00,674,1,-60,1378,Pupil
6,Codeforces Beta Round 79 (Div. 2 Only),Aug/03/2011 21:00,339,2,14,1392,Pupil
7,Codeforces Beta Round 81,Aug/13/2011 19:00,286,1,171,1563,Specialist
8,Codeforces Beta Round 82 (Div. 2),Aug/19/2011 19:00,153,3,27,1590,Specialist
9,Codeforces Beta Round 83 (Div. 2 Only),Aug/23/2011 19:00,68,4,57,1647,Expert
10,Codeforces Beta Round 84 (Div. 2 Only),Aug/29/2011 20:00,225,3,-40,1607,Expert
11,Codeforces Beta Round 85 (Div. 2 Only),Sep/03/2011 16:00,179,3,-1,1606,Expert
12,Codeforces Beta Round 86 (Div. 2 Only),Sep/08/2011 19:00,238,2,-28,1578,Specialist
13,Codeforces Beta Round 87 (Div. 2 Only),Sep/15/2011 19:00,55,4,83,1661,Expert
14,Codeforces Beta Round 88,Sep/23/2011 19:00,211,2,138,1799,Expert
15,"School Regional Team Contest, Saratov, 2011",Oct/18/2011 10:30,235,6,-48,1751,Expert
16,Codeforces Beta Round 91 (Div. 1 Only),Oct/27/2011 19:00,395,1,-44,1707,Expert
17,Codeforces Beta Round 92 (Div. 1 Only),Nov/03/2011 19:10,109,2,100,1807,Expert
18,Codeforces Beta Round 93 (Div. 1 Only),Nov/09/2011 21:00,240,0,-40,1767,Expert
19,Codeforces Beta Round 94 (Div. 1 Only),Nov/15/2011 10:10,236,1,-29,1738,Expert
20,Codeforces Beta Round 96 (Div. 1),Dec/03/2011 19:00,314,1,-38,1700,Expert
21,Codeforces Beta Round 97 (Div. 1),Dec/09/2011 19:05,96,3,116,1816,Expert
22,Codeforces Beta Round 99 (Div. 1),Dec/24/2011 16:00,272,1,-42,1774,Expert
23,Codeforces Round 100,Jan/04/2012 19:00,386,2,87,1861,Expert
24,Codeforces Round 102 (Div. 1),Jan/12/2012 19:05,194,2,28,1889,Expert
25,Codeforces Round 104 (Div. 1),Jan/22/2012 11:00,163,2,6,1895,Expert
26,Codeforces Round 107 (Div. 1),Feb/17/2012 19:00,322,1,-49,1846,Expert
27,Codeforces Round 109 (Div. 1),Feb/24/2012 19:00,339,1,-46,1800,Expert
28,Codeforces Round 110 (Div. 1),Feb/29/2012 21:30,304,1,-41,1759,Expert
29,VK Cup 2012 Round 1,Mar/11/2012 19:05,1305,0,-109,1650,Expert
30,Codeforces Round 113 (Div. 2),Mar/23/2012 19:30,70,3,38,1688,Expert
31,VK Cup 2012 Round 2 (Unofficial Div. 2 Edition),Mar/25/2012 19:05,22,3,15,1703,Expert
32,Codeforces Round 114 (Div. 1),Mar/27/2012 19:00,150,2,65,1768,Expert
33,Croc Champ 2012 - Round 1,Apr/06/2012 19:00,500,1,-72,1696,Expert
34,VK Cup 2012 Round 3 (Unofficial Div. 2 Edition),Apr/08/2012 19:05,36,3,-2,1694,Expert
35,Codeforces Round 115,Apr/14/2012 12:00,145,3,70,1764,Expert
36,Croc Champ 2012 - Round 2,Apr/20/2012 19:05,242,2,-42,1722,Expert
37,Croc Champ 2012 - Final,Apr/27/2012 17:20,108,1,-6,1716,Expert
38,ABBYY Cup 2.0 - Hard,Apr/28/2012 16:00,215,7,-13,1703,Expert
39,Codeforces Round 119 (Div. 1),May/10/2012 19:30,213,1,-5,1698,Expert
40,Codeforces Round 121 (Div. 2),May/27/2012 19:30,28,4,46,1744,Expert
41,Codeforces Round 125 (Div. 1),Jun/22/2012 19:30,83,2,80,1824,Expert
42,Codeforces Round 127 (Div. 1),Jun/29/2012 19:30,275,0,-61,1763,Expert
43,Codeforces Round 129 (Div. 1),Jul/11/2012 19:30,282,1,-51,1712,Expert
44,Codeforces Round 134 (Div. 1),Aug/18/2012 11:05,100,2,87,1799,Expert
45,Codeforces Round 136 (Div. 1),Aug/31/2012 19:30,117,2,96,1895,Expert
46,Codeforces Round 138 (Div. 1),Sep/16/2012 19:30,274,1,-56,1839,Expert
47,Codeforces Round 140 (Div. 1),Sep/24/2012 19:30,225,2,-27,1812,Expert
48,Codeforces Round 142 (Div. 1),Oct/01/2012 19:30,94,3,99,1911,Candidate Master
49,Codeforces Round 144 (Div. 1),Oct/11/2012 19:30,225,1,-51,1860,Expert
50,Codeforces Round 150 (Div. 1),Nov/16/2012 19:30,143,1,25,1885,Expert
51,Codeforces Round 152 (Div. 1),Nov/25/2012 19:30,108,0,-52,1833,Expert
52,Codeforces Round 153 (Div. 1),Dec/06/2012 19:30,210,2,5,1838,Expert
53,Codeforces Round 156 (Div. 1),Dec/16/2012 19:30,210,1,6,1844,Expert
54,Codeforces Round 160 (Div. 1),Jan/13/2013 19:30,100,3,87,1931,Candidate Master
55,Codeforces Round 162 (Div. 1),Jan/20/2013 17:00,271,2,-40,1891,Expert
56,Codeforces Round 165 (Div. 1),Feb/01/2013 19:30,167,2,66,1957,Candidate Master
57,Codeforces Round 167 (Div. 1),Feb/13/2013 19:30,204,2,-14,1943,Candidate Master
58,Codeforces Round 168 (Div. 1),Feb/20/2013 19:30,159,2,27,1970,Candidate Master
59,Codeforces Round 170 (Div. 1),Feb/28/2013 19:30,452,1,-82,1888,Expert
60,Codeforces Round 172 (Div. 1),Mar/10/2013 19:30,118,2,69,1957,Candidate Master
61,Codeforces Round 174 (Div. 1),Mar/17/2013 19:30,163,2,36,1993,Candidate Master
62,Codeforces Round 176 (Div. 1),Mar/23/2013 12:00,193,1,-29,1964,Candidate Master
63,Codeforces Round 177 (Div. 1),Apr/02/2013 19:30,246,3,-25,1939,Candidate Master
64,Codeforces Round 179 (Div. 1),Apr/11/2013 19:30,402,2,-66,1873,Expert
65,Croc Champ 2013 - Round 1,Apr/15/2013 19:35,1056,2,-95,1778,Expert
66,Codeforces Round 180 (Div. 1),Apr/19/2013 19:30,135,2,120,1898,Expert
67,Croc Champ 2013 - Round 2,Apr/22/2013 19:35,225,1,30,1928,Candidate Master
68,Codeforces Round 183 (Div. 1),May/12/2013 17:00,70,2,94,2022,Candidate Master
69,Codeforces Round 187 (Div. 1),Jun/07/2013 19:30,90,3,66,2088,Candidate Master
70,ABBYY Cup 3.0,Jun/12/2013 17:00,342,6,-70,2018,Candidate Master
71,Codeforces Round 188 (Div. 1),Jun/14/2013 19:30,70,2,110,2128,Master
72,Codeforces Round 190 (Div. 1),Jun/28/2013 19:30,376,0,-96,2032,Candidate Master
73,MemSQL start[c]up Round 1,Jul/13/2013 21:00,418,1,-80,1952,Candidate Master
74,Codeforces Round 192 (Div. 1),Jul/20/2013 17:30,35,3,140,2092,Candidate Master
75,Codeforces Round 194 (Div. 1),Jul/27/2013 12:30,234,2,-61,2031,Candidate Master
76,Codeforces Round 196 (Div. 1),Aug/16/2013 20:00,151,2,-16,2015,Candidate Master
77,Codeforces Round 198 (Div. 1),Aug/30/2013 19:30,139,3,33,2048,Candidate Master
78,Codeforces Round 200 (Div. 1),Sep/14/2013 19:30,59,4,100,2148,Master
79,Codeforces Round 202 (Div. 1),Sep/27/2013 19:30,25,2,94,2242,Master
80,Codeforces Round 204 (Div. 1),Oct/04/2013 19:30,30,3,66,2308,International Master
81,Codeforces Round 206 (Div. 1),Oct/13/2013 19:30,94,2,-45,2263,Master
82,Codeforces Round 210 (Div. 1),Nov/10/2013 21:00,94,2,-51,2212,Master
