#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 114 (Rated for Div. 2),Sep/20/2021 17:35,42,4,826,826,Newbie
2,Codeforces Round 757 (Div. 2),Nov/26/2021 14:15,15,6,606,1432,Specialist
3,Educational Codeforces Round 122 (Rated for Div. 2),Jan/31/2022 17:35,39,5,375,1807,Expert
4,Educational Codeforces Round 125 (Rated for Div. 2),Mar/22/2022 17:45,9,5,312,2119,Master
5,Codeforces Global Round 20,Apr/23/2022 17:05,128,6,213,2332,International Master
6,Codeforces Round 800 (Div. 1),Jun/16/2022 17:35,78,3,154,2486,Grandmaster
7,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,26,6,147,2633,International Grandmaster
8,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)",Jan/29/2023 17:35,121,6,14,2647,International Grandmaster
9,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)",Feb/05/2023 15:05,197,4,-37,2610,International Grandmaster
10,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Feb/27/2023 17:35,125,7,3,2613,International Grandmaster
