#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,3151,2,505,505,Newbie
2,Codeforces Round 722 (Div. 2),May/24/2021 17:35,2924,2,373,878,Newbie
3,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,5761,1,186,1064,Newbie
4,Educational Codeforces Round 110 (Rated for Div. 2),Jun/04/2021 17:35,4163,3,159,1223,Pupil
5,Codeforces Round 724 (Div. 2),Jun/06/2021 17:35,6603,1,36,1259,Pupil
6,Codeforces Round 725 (Div. 3),Jun/10/2021 17:35,3241,3,65,1324,Pupil
7,Codeforces LATOKEN Round 1 (Div. 1 + Div. 2),Jun/13/2021 18:35,3459,3,6,1330,Pupil
8,Codeforces Round 726 (Div. 2),Jun/18/2021 17:35,2628,4,72,1402,Specialist
9,Codeforces Round 728 (Div. 2),Jun/25/2021 18:35,3285,3,3,1405,Specialist
10,Codeforces Round 730 (Div. 2),Jul/07/2021 17:35,6605,2,-54,1351,Pupil
11,Codeforces Round 732 (Div. 2),Jul/11/2021 17:05,6008,1,-52,1299,Pupil
12,Educational Codeforces Round 111 (Rated for Div. 2),Jul/14/2021 17:35,5196,2,3,1302,Pupil
13,"Codeforces Round 733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))",Jul/17/2021 17:35,4075,3,26,1328,Pupil
14,"Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)",Jul/22/2021 17:35,4603,3,8,1336,Pupil
15,Codeforces Round 734 (Div. 3),Jul/23/2021 17:35,4898,2,-28,1308,Pupil
16,Codeforces Global Round 15,Jul/25/2021 17:35,2110,3,112,1420,Specialist
17,Codeforces Round 736 (Div. 2),Aug/01/2021 17:35,2625,3,22,1442,Specialist
18,Codeforces Round 737 (Div. 2),Aug/09/2021 17:35,2957,2,19,1461,Specialist
19,Codeforces Round 738 (Div. 2),Aug/15/2021 17:35,3640,4,-5,1456,Specialist
20,Educational Codeforces Round 126 (Rated for Div. 2),Apr/09/2022 17:35,876,3,92,1548,Specialist
21,Codeforces Round 783 (Div. 2),Apr/19/2022 17:35,2500,3,-33,1515,Specialist
22,Codeforces Round 797 (Div. 3),Jun/07/2022 17:35,364,6,89,1604,Expert
23,Codeforces Round 804 (Div. 2),Jul/04/2022 17:35,2123,3,-3,1601,Expert
24,Codeforces Round 808 (Div. 2),Jul/16/2022 17:35,344,4,112,1713,Expert
25,Codeforces Round 809 (Div. 2),Jul/18/2022 17:35,3104,3,-58,1655,Expert
26,Educational Codeforces Round 132 (Rated for Div. 2),Jul/21/2022 17:35,673,4,67,1722,Expert
27,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1267,4,52,1774,Expert
28,Codeforces Round 812 (Div. 2),Aug/06/2022 17:35,1597,3,-23,1751,Expert
29,Codeforces Round 813 (Div. 2),Aug/13/2022 17:35,2097,3,-29,1722,Expert
30,Codeforces Round 814 (Div. 2),Aug/16/2022 17:35,458,4,51,1773,Expert
31,Codeforces Round 815 (Div. 2),Aug/18/2022 16:35,2915,3,-80,1693,Expert
32,Codeforces Round 816 (Div. 2),Aug/20/2022 17:35,1358,3,5,1698,Expert
33,Educational Codeforces Round 134 (Rated for Div. 2),Aug/27/2022 17:35,322,4,92,1790,Expert
34,Codeforces Round 818 (Div. 2),Sep/02/2022 17:35,557,4,34,1824,Expert
35,Educational Codeforces Round 135 (Rated for Div. 2),Sep/08/2022 17:35,693,4,9,1833,Expert
36,Codeforces Round 821 (Div. 2),Sep/19/2022 17:35,231,5,72,1905,Candidate Master
37,Dytechlab Cup 2022,Oct/07/2022 17:35,1006,3,1,1906,Candidate Master
38,Codeforces Round 831 (Div. 1 + Div. 2),Oct/29/2022 12:10,1153,5,-32,1874,Expert
39,Codeforces Round 832 (Div. 2),Nov/04/2022 17:35,372,4,37,1911,Candidate Master
40,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)",Nov/06/2022 17:35,9389,0,-243,1668,Expert
41,Codeforces Round 833 (Div. 2),Nov/12/2022 17:35,515,3,65,1733,Expert
42,Codeforces Round 836 (Div. 2),Nov/25/2022 18:35,1302,3,-16,1717,Expert
43,Codeforces Global Round 24,Nov/26/2022 17:05,2293,3,-50,1667,Expert
44,Codeforces Round 837 (Div. 2),Dec/11/2022 18:35,997,3,25,1692,Expert
45,Educational Codeforces Round 139 (Rated for Div. 2),Dec/12/2022 17:35,118,4,150,1842,Expert
46,Codeforces Round 838 (Div. 2),Dec/15/2022 17:35,389,3,40,1882,Expert
47,Educational Codeforces Round 140 (Rated for Div. 2),Dec/16/2022 17:35,209,4,71,1953,Candidate Master
48,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,2406,3,-48,1905,Candidate Master
49,Hello 2023,Jan/03/2023 17:35,1039,4,30,1935,Candidate Master
50,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,447,4,16,1951,Candidate Master
51,Codeforces Round 848 (Div. 2),Feb/01/2023 17:35,426,3,5,1956,Candidate Master
52,Codeforces Round 851 (Div. 2),Feb/09/2023 17:35,797,3,-27,1929,Candidate Master
53,Educational Codeforces Round 143 (Rated for Div. 2),Feb/16/2023 17:35,6,6,228,2157,Master
