#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Educational Codeforces Round 109 (Rated for Div. 2),May/16/2021 11:00,67,5,778,778,Newbie
2,Codeforces Round 721 (Div. 2),May/20/2021 17:35,129,4,520,1298,Pupil
3,Codeforces Round 723 (Div. 2),May/28/2021 17:05,579,4,280,1578,Specialist
4,"Deltix Round, Spring 2021 (open for everyone, rated, Div. 1 + Div. 2)",May/30/2021 17:35,4863,1,11,1589,Specialist
5,Codeforces Round 745 (Div. 2),Sep/30/2021 13:15,109,3,212,1801,Expert
6,Codeforces Round 767 (Div. 2),Jan/22/2022 17:35,2931,3,-36,1765,Expert
7,Codeforces Round 777 (Div. 2),Mar/11/2022 17:35,1314,3,-16,1749,Expert
8,"Codeforces Round 778 (Div. 1 + Div. 2, based on Technocup 2022 Final Round)",Mar/20/2022 14:35,1432,3,8,1757,Expert
9,"CodeTON Round 1 (Div. 1 + Div. 2, Rated, Prizes!)",Mar/24/2022 17:35,1492,4,25,1782,Expert
10,Codeforces Round 783 (Div. 2),Apr/19/2022 17:35,8,4,226,2008,Candidate Master
11,Codeforces Global Round 20,Apr/23/2022 17:05,237,6,132,2140,Master
12,Codeforces Round 792 (Div. 1 + Div. 2),May/19/2022 17:35,343,5,48,2188,Master
13,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)",Jul/31/2022 17:05,1341,4,-69,2119,Master
14,Codeforces Round 829 (Div. 1),Oct/23/2022 10:50,455,4,11,2130,Master
