#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 301 (Div. 2),Apr/30/2015 19:30,902,1,26,1526,Specialist
2,Codeforces Round 303 (Div. 2),May/19/2015 19:30,141,4,165,1691,Expert
3,Codeforces Round 304 (Div. 2),May/22/2015 19:30,316,3,-27,1664,Expert
4,Codeforces Round 305 (Div. 2),May/26/2015 19:35,253,2,12,1676,Expert
5,Codeforces Round 306 (Div. 2),Jun/04/2015 19:30,899,2,-80,1596,Specialist
6,Looksery Cup 2015,Jun/06/2015 16:00,784,3,173,1769,Expert
7,Codeforces Round 309 (Div. 1),Jun/24/2015 19:30,456,1,12,1781,Expert
8,Codeforces Round 310 (Div. 1),Jun/27/2015 17:10,984,1,-82,1699,Expert
9,Codeforces Round 311 (Div. 2),Jun/30/2015 18:00,159,2,22,1721,Expert
10,Codeforces Round 313 (Div. 1),Jul/22/2015 17:00,860,1,-53,1668,Expert
11,"VK Cup 2015 - Finals, online mirror",Jul/30/2015 19:20,402,1,-36,1632,Expert
12,Codeforces Round 316 (Div. 2),Aug/13/2015 19:30,30,3,109,1741,Expert
13,Codeforces Round 317 [AimFund Thanks-Round] (Div. 1),Aug/22/2015 19:30,360,1,54,1795,Expert
14,Codeforces Round 318 [RussianCodeCup Thanks-Round] (Div. 1),Aug/29/2015 19:30,281,2,149,1944,Candidate Master
15,Codeforces Round 319 (Div. 1),Sep/10/2015 19:30,139,3,150,2094,Candidate Master
16,Codeforces Round 320 (Div. 1) [Bayan Thanks-Round],Sep/16/2015 18:15,445,3,-78,2016,Candidate Master
17,Codeforces Round 323 (Div. 1),Oct/03/2015 19:45,434,0,-66,1950,Candidate Master
18,Codeforces Round 326 (Div. 1),Oct/15/2015 19:30,341,1,-24,1926,Candidate Master
19,Codeforces Round 327 (Div. 1),Oct/25/2015 12:00,331,1,-55,1871,Expert
20,Codeforces Round 328 (Div. 2),Oct/31/2015 19:30,319,3,1,1872,Expert
21,Codeforces Round 329 (Div. 2),Nov/04/2015 19:45,502,2,-23,1849,Expert
22,Codeforces Round 331 (Div. 2),Nov/15/2015 19:35,292,3,-4,1845,Expert
23,Codeforces Round 332 (Div. 2),Nov/20/2015 19:35,358,3,-10,1835,Expert
24,Codeforces Round 333 (Div. 2),Nov/24/2015 19:35,894,2,-53,1782,Expert
25,Codeforces Round 334 (Div. 2),Dec/01/2015 18:35,45,4,118,1900,Candidate Master
26,Codeforces Round 335 (Div. 1),Dec/09/2015 19:05,260,2,12,1912,Candidate Master
27,Codeforces Round 336 (Div. 1),Dec/23/2015 19:35,406,1,-61,1851,Expert
28,Codeforces Round 337 (Div. 2),Dec/27/2015 14:20,74,3,69,1920,Candidate Master
29,Good Bye 2015,Dec/30/2015 18:05,2519,2,-108,1812,Expert
30,Codeforces Round 338 (Div. 2),Jan/08/2016 17:05,892,2,-50,1762,Expert
31,Codeforces Round 340 (Div. 2),Jan/23/2016 18:35,393,3,9,1771,Expert
32,Wunder Fund Round 2016 (Div. 1 + Div. 2 combined),Jan/29/2016 20:10,1449,2,-42,1729,Expert
33,Codeforces Round 341 (Div. 2),Jan/31/2016 17:05,399,3,28,1757,Expert
34,AIM Tech Round (Div. 2),Feb/04/2016 20:05,811,2,-27,1730,Expert
35,Codeforces Round 342 (Div. 2),Feb/07/2016 12:05,58,3,120,1850,Expert
36,8VC Venture Cup 2016 - Elimination Round,Feb/13/2016 20:35,985,3,-37,1813,Expert
37,Codeforces Round 343 (Div. 2),Feb/20/2016 19:35,305,3,5,1818,Expert
38,"Manthan, Codefest 16",Feb/26/2016 20:15,631,2,-4,1814,Expert
39,8VC Venture Cup 2016 - Final Round (Div. 2 Edition),Feb/28/2016 21:10,177,3,10,1824,Expert
40,Codeforces Round 344 (Div. 2),Mar/03/2016 19:35,50,4,97,1921,Candidate Master
41,Codeforces Round 345 (Div. 1),Mar/07/2016 12:25,451,1,-62,1859,Expert
42,IndiaHacks 2016 - Online Edition (Div. 1 + Div. 2),Mar/19/2016 11:35,505,2,-9,1850,Expert
43,VK Cup 2016 - Round 1 (Div. 2 Edition),Mar/28/2016 19:35,17,4,123,1973,Candidate Master
44,"Codeforces Round 348 (VK Cup 2016 Round 2, Div. 1 Edition)",Apr/24/2016 19:35,135,3,33,2006,Candidate Master
45,Codeforces Round 356 (Div. 1),Jun/08/2016 19:35,283,1,8,2014,Candidate Master
46,Codeforces Round 359 (Div. 1),Jun/23/2016 19:35,404,1,-65,1949,Candidate Master
47,Codeforces Round 360 (Div. 1),Jun/29/2016 20:05,333,3,-4,1945,Candidate Master
48,Codeforces Round 363 (Div. 1),Jul/19/2016 16:05,98,3,130,2075,Candidate Master
49,Codeforces Round 366 (Div. 1),Aug/07/2016 17:05,464,1,-84,1991,Candidate Master
50,AIM Tech Round 3 (Div. 1),Aug/24/2016 19:35,59,3,173,2164,Master
51,Canada Cup 2016,Oct/22/2016 18:05,391,4,-21,2143,Master
52,Codeforces Round 381 (Div. 1),Nov/23/2016 19:35,301,2,-38,2105,Master
53,Codeforces Round 382 (Div. 1),Nov/27/2016 19:35,496,1,-87,2018,Candidate Master
54,Codeforces Round 385 (Div. 1),Dec/17/2016 19:35,268,2,10,2028,Candidate Master
55,Good Bye 2016,Dec/30/2016 17:15,314,4,63,2091,Candidate Master
56,Codeforces Round 393 (Div. 1) (8VC Venture Cup 2017 - Final Round Div. 1 Edition),Jan/22/2017 21:15,195,2,-26,2065,Candidate Master
57,Codeforces Round 395 (Div. 1),Feb/02/2017 16:35,269,1,2,2067,Candidate Master
58,"Divide by Zero 2017 and Codeforces Round 399 (Div. 1 + Div. 2, combined)",Feb/20/2017 19:05,671,3,-35,2032,Candidate Master
59,Codeforces Round 406 (Div. 1),Mar/23/2017 18:05,248,1,-29,2003,Candidate Master
60,Codeforces Round 407 (Div. 1),Mar/29/2017 19:05,168,2,57,2060,Candidate Master
61,"Codeforces Round 409 (rated, Div. 1, based on VK Cup 2017 Round 2)",Apr/16/2017 18:35,146,2,6,2066,Candidate Master
62,Tinkoff Challenge - Elimination Round,Apr/23/2017 19:45,933,2,-93,1973,Candidate Master
63,Codeforces Round 411 (Div. 1),May/04/2017 17:50,150,3,93,2066,Candidate Master
64,"Codeforces Round 412 (rated, Div. 1, based on VK Cup 2017 Round 3)",May/07/2017 18:45,226,2,-14,2052,Candidate Master
65,"Playrix Codescapes Cup (Codeforces Round 413, rated, Div. 1 + Div. 2)",May/11/2017 18:35,249,4,43,2095,Candidate Master
66,Codeforces Round 419 (Div. 1),Jun/17/2017 17:35,149,2,63,2158,Master
67,"Codeforces Round 424 (Div. 1, rated, based on VK Cup Finals)",Jul/13/2017 18:05,363,1,-74,2084,Candidate Master
68,AIM Tech Round 4 (Div. 1),Aug/24/2017 19:35,232,2,8,2092,Candidate Master
69,Codeforces Round 431 (Div. 1),Sep/01/2017 16:35,127,2,68,2160,Master
70,"Codeforces Round 432 (Div. 1, based on IndiaHacks Final Round 2017)",Sep/04/2017 17:35,96,2,45,2205,Master
71,MemSQL Start[c]UP 3.0 - Round 1,Sep/16/2017 20:35,515,3,-77,2128,Master
72,"Manthan, Codefest 17",Sep/24/2017 17:35,419,2,-38,2090,Candidate Master
73,MemSQL Start[c]UP 3.0 - Round 2 and Codeforces Round 437 (Div. 1),Sep/30/2017 20:05,374,1,-85,2005,Candidate Master
74,Codeforces Round 438 by Sberbank and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Oct/05/2017 10:05,48,5,150,2155,Master
75,"Codeforces Round 440 (Div. 1, based on Technocup 2018 Elimination Round 2)",Oct/15/2017 11:05,131,2,-2,2153,Master
76,Codeforces Round 443 (Div. 1),Oct/26/2017 17:45,229,1,-37,2116,Master
77,Codeforces Round 446 (Div. 1),Nov/17/2017 17:35,308,1,-54,2062,Candidate Master
78,Codeforces Round 449 (Div. 1),Dec/02/2017 17:05,120,2,28,2090,Candidate Master
79,Codeforces Round 453 (Div. 1),Dec/19/2017 18:35,159,2,21,2111,Master
80,Codeforces Round 459 (Div. 1),Jan/29/2018 17:35,370,1,-91,2020,Candidate Master
81,Codeforces Round 462 (Div. 1),Feb/14/2018 15:05,149,2,63,2083,Candidate Master
82,"ICM Technex 2018 and Codeforces Round 463 (Div. 1 + Div. 2, combined)",Feb/15/2018 17:35,90,5,103,2186,Master
83,"Codeforces Round 483 (Div. 1) [Thanks, Botan Investments and Victor Shaburov!]",May/15/2018 17:45,58,3,101,2287,Master
84,Avito Code Challenge 2018,May/27/2018 17:50,214,5,-15,2272,Master
85,Codeforces Round 485 (Div. 1),May/29/2018 18:35,113,2,26,2298,Master
86,Codeforces Round 488 by NEAR (Div. 1),Jun/16/2018 19:35,262,2,-74,2224,Master
87,"Codeforces Round 492 (Div. 1) [Thanks, uDebug!]",Jun/24/2018 19:35,99,3,40,2264,Master
88,Codeforces Round 493 (Div. 1),Jul/01/2018 17:05,233,2,-42,2222,Master
89,Codeforces Round 497 (Div. 1),Jul/13/2018 17:35,107,2,45,2267,Master
90,Codeforces Round 500 (Div. 1) [based on EJOI],Jul/30/2018 11:15,88,3,36,2303,International Master
91,"Codeforces Round 503 (by SIS, Div. 1)",Aug/11/2018 16:35,78,2,48,2351,International Master
92,"Codeforces Round 505 (rated, Div. 1 + Div. 2, based on VK Cup 2018 Final)",Aug/19/2018 16:35,263,3,-27,2324,International Master
93,"AIM Tech Round 5 (rated, Div. 1 + Div. 2)",Aug/27/2018 19:35,147,5,12,2336,International Master
94,"Codeforces Round 507 (Div. 1, based on Olympiad of Metropolises)",Sep/05/2018 19:35,254,1,-96,2240,Master
95,Codeforces Round 511 (Div. 1),Sep/21/2018 17:35,104,2,40,2280,Master
96,"Codeforces Round 512 (Div. 1, based on Technocup 2019 Elimination Round 1)",Sep/23/2018 16:05,123,2,-1,2279,Master
97,Mail.Ru Cup 2018 Round 1,Oct/18/2018 19:35,104,5,41,2320,International Master
98,"Codeforces Round 517 (Div. 1, based on Technocup 2019 Elimination Round 2)",Oct/21/2018 11:10,44,3,77,2397,International Master
