#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 402 (Div. 2),Feb/26/2017 11:05,2642,1,-100,1400,Specialist
2,"Codeforces Round 405 (rated, Div. 2, based on VK Cup 2017 Round 1)",Mar/18/2017 18:35,1578,1,-11,1389,Pupil
3,Codeforces Round 417 (Div. 2),Jun/01/2017 17:15,2542,0,-105,1284,Pupil
4,Codeforces Round 418 (Div. 2),Jun/07/2017 15:15,1162,2,73,1357,Pupil
5,Codeforces Round 419 (Div. 2),Jun/17/2017 17:35,1927,1,-3,1354,Pupil
6,Codeforces Round 427 (Div. 2),Jul/31/2017 17:35,2749,2,-26,1328,Pupil
7,Codeforces Round 430 (Div. 2),Aug/29/2017 18:05,4147,1,-68,1260,Pupil
8,Codeforces Round 438 by Sberbank and Barcelona Bootcamp (Div. 1 + Div. 2 combined),Oct/05/2017 10:05,2169,1,-28,1232,Pupil
9,Codeforces Round 765 (Div. 2),Jan/12/2022 15:05,207,3,281,1513,Specialist
10,Codeforces Round 769 (Div. 2),Jan/30/2022 17:35,55,4,274,1787,Expert
11,Codeforces Global Round 20,Apr/23/2022 17:05,2089,3,-42,1745,Expert
12,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,2,6,342,2087,Candidate Master
13,Codeforces Round 852 (Div. 2),Feb/12/2023 11:35,1,6,265,2352,International Master
