#,Contest,Start time,Rank,Solved,Rating change,New rating,Title
1,Codeforces Round 836 (Div. 2),Nov/25/2022 18:35,2751,3,512,512,Newbie
2,Codeforces Global Round 24,Nov/26/2022 17:05,915,4,483,995,Newbie
3,Codeforces Round 837 (Div. 2),Dec/11/2022 18:35,2286,2,305,1300,Pupil
4,Educational Codeforces Round 139 (Rated for Div. 2),Dec/12/2022 17:35,1839,3,144,1444,Specialist
5,Codeforces Round 838 (Div. 2),Dec/15/2022 17:35,839,3,158,1602,Expert
6,Educational Codeforces Round 140 (Rated for Div. 2),Dec/16/2022 17:35,946,3,92,1694,Expert
7,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)",Dec/17/2022 17:35,736,4,93,1787,Expert
8,Codeforces Round 840 (Div. 2) and Enigma 2022 - Cybros LNMIIT,Dec/19/2022 17:35,265,3,76,1863,Expert
9,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Dec/27/2022 17:35,950,4,-19,1844,Expert
10,Good Bye 2022: 2023 is NEAR,Dec/30/2022 17:35,525,4,126,1970,Candidate Master
11,Hello 2023,Jan/03/2023 17:35,1728,4,-36,1934,Candidate Master
12,Codeforces Round 842 (Div. 2),Jan/05/2023 17:35,694,4,-10,1924,Candidate Master
13,Educational Codeforces Round 141 (Rated for Div. 2),Jan/08/2023 17:35,63,5,122,2046,Candidate Master
14,Codeforces Round 843 (Div. 2),Jan/10/2023 14:15,57,6,93,2139,Master
15,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)",Jan/15/2023 15:05,1571,3,-96,2043,Candidate Master
16,Codeforces Round 845 (Div. 2) and ByteRace 2023,Jan/21/2023 17:35,534,4,-40,2003,Candidate Master
17,Educational Codeforces Round 142 (Rated for Div. 2),Jan/24/2023 17:35,25,5,140,2143,Master
